variable_name,variable_label,value_value,value_label
study_id_e,,,
study_date,,,
a1,1. Have you had COVID-19?,0,No
a1,1. Have you had COVID-19?,1,"Yes, diagnosed and recovered or diagnosed and still ill "
a1,1. Have you had COVID-19?,3,Not formally diagnosed but suspected and recovered
a1,1. Have you had COVID-19?,4,Not formally diagnosed but suspected and still ill
a1,1. Have you had COVID-19?,999906,Question seen but not answered
a2,"2. In the last week, do you believe you have come into CLOSE CONTACT with somebody who has had COVID-19? E.g. Living with, hugging, shaking hands with, or spending more than 15 minutes with",0,No
a2,"2. In the last week, do you believe you have come into CLOSE CONTACT with somebody who has had COVID-19? E.g. Living with, hugging, shaking hands with, or spending more than 15 minutes with",1,Yes
a2,"2. In the last week, do you believe you have come into CLOSE CONTACT with somebody who has had COVID-19? E.g. Living with, hugging, shaking hands with, or spending more than 15 minutes with",999902,Unsure
a2,"2. In the last week, do you believe you have come into CLOSE CONTACT with somebody who has had COVID-19? E.g. Living with, hugging, shaking hands with, or spending more than 15 minutes with",999906,Question seen but not answered
a3,"3. Are you self-isolating? By ""self-isolating"" we mean staying at home and avoiding contact with people outside the household. If you have symptoms you may also be avoiding contact with people within your household. This is different to social distancing, whereby you may be staying at home for the most part but leaving your home for food or medicine, to go to work if it's essential, or to exercise.",0,No
a3,"3. Are you self-isolating? By ""self-isolating"" we mean staying at home and avoiding contact with people outside the household. If you have symptoms you may also be avoiding contact with people within your household. This is different to social distancing, whereby you may be staying at home for the most part but leaving your home for food or medicine, to go to work if it's essential, or to exercise.",1,Yes
a3,"3. Are you self-isolating? By ""self-isolating"" we mean staying at home and avoiding contact with people outside the household. If you have symptoms you may also be avoiding contact with people within your household. This is different to social distancing, whereby you may be staying at home for the most part but leaving your home for food or medicine, to go to work if it's essential, or to exercise.",999906,Question seen but not answered
a4,4. Choose all that apply,1,I am self-isolating due to a diagnosis of COVID-19 or possible symptoms in me or someone in my household  
a4,4. Choose all that apply,2,"I am self-isolating because I have an existing medical condition, or am categorised as high risk"
a4,4. Choose all that apply,3,"I am self-isolating because a member of my household has an existing medical condition, or is high risk  "
a4,4. Choose all that apply,4,I am self-isolating as I am worried about spreading it to others or getting ill (but I am not high risk)  
a4,4. Choose all that apply,999906,Question seen but not answered
a4,4. Choose all that apply,999911,Question is skipped legitimately
a5,5. Choose all that apply,1,I am not self-isolating as I am choosing to live life as normal  
a5,5. Choose all that apply,2,"I am not self-isolating, but I am social "
a5,5. Choose all that apply,3,I am not self-isolating because I am a key worker  
a5,5. Choose all that apply,4,I am not self-isolating because I need to help others  
a5,5. Choose all that apply,5,I am not self-isolating because I've been told by authorities that I can leave self-isolation  
a5,5. Choose all that apply,999906,Question seen but not answered
a5,5. Choose all that apply,999911,Question is skipped legitimately
a6,6. Do you find the official guidance on COVID-19 easy to understand?,1,Extremely difficult
a6,6. Do you find the official guidance on COVID-19 easy to understand?,2,Fairly difficult
a6,6. Do you find the official guidance on COVID-19 easy to understand?,3,Neither easy nor difficult
a6,6. Do you find the official guidance on COVID-19 easy to understand?,4,Fairly easy
a6,6. Do you find the official guidance on COVID-19 easy to understand?,5,Extremely easy
a6,6. Do you find the official guidance on COVID-19 easy to understand?,999906,Question seen but not answered
a7,7. How would you rate your knowledge level on COVID-19?,1,Extremely or Fairly poor
a7,7. How would you rate your knowledge level on COVID-19?,3,Neither good nor poor  
a7,7. How would you rate your knowledge level on COVID-19?,4,Fairly good  
a7,7. How would you rate your knowledge level on COVID-19?,5,Extremely good
a7,7. How would you rate your knowledge level on COVID-19?,999906,Question seen but not answered
a8,8. How much confidence do you have in the GOVERNMENT that they can handle COVID-19 well?,1,Completely unconfident
a8,8. How much confidence do you have in the GOVERNMENT that they can handle COVID-19 well?,2,Fairly unconfident
a8,8. How much confidence do you have in the GOVERNMENT that they can handle COVID-19 well?,3,Somewhat unconfident
a8,8. How much confidence do you have in the GOVERNMENT that they can handle COVID-19 well?,4,Neither confident nor unconfident
a8,8. How much confidence do you have in the GOVERNMENT that they can handle COVID-19 well?,5,Somewhat confident
a8,8. How much confidence do you have in the GOVERNMENT that they can handle COVID-19 well?,6,Fairly confident
a8,8. How much confidence do you have in the GOVERNMENT that they can handle COVID-19 well?,7,Completely confident
a8,8. How much confidence do you have in the GOVERNMENT that they can handle COVID-19 well?,999906,Question seen but not answered
a9,9. How much confidence do you have in the HEALTH SERVICE to handle COVID-19 as well as it can with the resources available?,1,Completely unconfident
a9,9. How much confidence do you have in the HEALTH SERVICE to handle COVID-19 as well as it can with the resources available?,2,Fairly unconfident
a9,9. How much confidence do you have in the HEALTH SERVICE to handle COVID-19 as well as it can with the resources available?,3,Somewhat unconfident
a9,9. How much confidence do you have in the HEALTH SERVICE to handle COVID-19 as well as it can with the resources available?,4,Neither confident nor unconfident
a9,9. How much confidence do you have in the HEALTH SERVICE to handle COVID-19 as well as it can with the resources available?,5,Somewhat confident
a9,9. How much confidence do you have in the HEALTH SERVICE to handle COVID-19 as well as it can with the resources available?,6,Fairly confident
a9,9. How much confidence do you have in the HEALTH SERVICE to handle COVID-19 as well as it can with the resources available?,7,Completely confident
a9,9. How much confidence do you have in the HEALTH SERVICE to handle COVID-19 as well as it can with the resources available?,999906,Question seen but not answered
a10,"10. How much confidence do you have that ESSENTIALS (e.g. access to food, water, medicines, deliveries) will be maintained during COVID-19?",1,Completely unconfident
a10,"10. How much confidence do you have that ESSENTIALS (e.g. access to food, water, medicines, deliveries) will be maintained during COVID-19?",2,Fairly unconfident
a10,"10. How much confidence do you have that ESSENTIALS (e.g. access to food, water, medicines, deliveries) will be maintained during COVID-19?",3,Somewhat unconfident
a10,"10. How much confidence do you have that ESSENTIALS (e.g. access to food, water, medicines, deliveries) will be maintained during COVID-19?",4,Neither confident nor unconfident
a10,"10. How much confidence do you have that ESSENTIALS (e.g. access to food, water, medicines, deliveries) will be maintained during COVID-19?",5,Somewhat confident
a10,"10. How much confidence do you have that ESSENTIALS (e.g. access to food, water, medicines, deliveries) will be maintained during COVID-19?",6,Fairly confident
a10,"10. How much confidence do you have that ESSENTIALS (e.g. access to food, water, medicines, deliveries) will be maintained during COVID-19?",7,Completely confident
a10,"10. How much confidence do you have that ESSENTIALS (e.g. access to food, water, medicines, deliveries) will be maintained during COVID-19?",999906,Question seen but not answered
a11,11. How much confidence do you have in BUSINESS AND NON- GOVERNMENTAL ORGANISATIONS to handle COVID-19 well?,1,Completely unconfident
a11,11. How much confidence do you have in BUSINESS AND NON- GOVERNMENTAL ORGANISATIONS to handle COVID-19 well?,2,Fairly unconfident
a11,11. How much confidence do you have in BUSINESS AND NON- GOVERNMENTAL ORGANISATIONS to handle COVID-19 well?,3,Somewhat unconfident
a11,11. How much confidence do you have in BUSINESS AND NON- GOVERNMENTAL ORGANISATIONS to handle COVID-19 well?,4,Neither confident nor unconfident
a11,11. How much confidence do you have in BUSINESS AND NON- GOVERNMENTAL ORGANISATIONS to handle COVID-19 well?,5,Somewhat confident
a11,11. How much confidence do you have in BUSINESS AND NON- GOVERNMENTAL ORGANISATIONS to handle COVID-19 well?,6,Fairly confident
a11,11. How much confidence do you have in BUSINESS AND NON- GOVERNMENTAL ORGANISATIONS to handle COVID-19 well?,7,Completely confident
a11,11. How much confidence do you have in BUSINESS AND NON- GOVERNMENTAL ORGANISATIONS to handle COVID-19 well?,999906,Question seen but not answered
a12,"12. How much confidence do you have in the GENERAL PUBLIC to act responsibly in response to COVID-19 ? (E.g. Following governmental guidance, maintaining social distances)",1,Completely unconfident
a12,"12. How much confidence do you have in the GENERAL PUBLIC to act responsibly in response to COVID-19 ? (E.g. Following governmental guidance, maintaining social distances)",2,Fairly unconfident
a12,"12. How much confidence do you have in the GENERAL PUBLIC to act responsibly in response to COVID-19 ? (E.g. Following governmental guidance, maintaining social distances)",3,Somewhat unconfident
a12,"12. How much confidence do you have in the GENERAL PUBLIC to act responsibly in response to COVID-19 ? (E.g. Following governmental guidance, maintaining social distances)",4,Neither confident nor unconfident
a12,"12. How much confidence do you have in the GENERAL PUBLIC to act responsibly in response to COVID-19 ? (E.g. Following governmental guidance, maintaining social distances)",5,Somewhat confident
a12,"12. How much confidence do you have in the GENERAL PUBLIC to act responsibly in response to COVID-19 ? (E.g. Following governmental guidance, maintaining social distances)",6,Fairly confident
a12,"12. How much confidence do you have in the GENERAL PUBLIC to act responsibly in response to COVID-19 ? (E.g. Following governmental guidance, maintaining social distances)",7,Completely confident
a12,"12. How much confidence do you have in the GENERAL PUBLIC to act responsibly in response to COVID-19 ? (E.g. Following governmental guidance, maintaining social distances)",999906,Question seen but not answered
a13_1,13. Have you experienced any of the following as a result of COVID-19? - Lost your job/ been unable to do paid work,0,Yes
a13_1,13. Have you experienced any of the following as a result of COVID-19? - Lost your job/ been unable to do paid work,1,No
a13_1,13. Have you experienced any of the following as a result of COVID-19? - Lost your job/ been unable to do paid work,999906,Question seen but not answered
a13_2,13. Have you experienced any of the following as a result of COVID-19? - Been put on furlough from your job (paid leave),0,Yes
a13_2,13. Have you experienced any of the following as a result of COVID-19? - Been put on furlough from your job (paid leave),1,No
a13_2,13. Have you experienced any of the following as a result of COVID-19? - Been put on furlough from your job (paid leave),999906,Question seen but not answered
a13_3,13. Have you experienced any of the following as a result of COVID-19? - Unable to pay bills,0,Yes
a13_3,13. Have you experienced any of the following as a result of COVID-19? - Unable to pay bills,1,No
a13_3,13. Have you experienced any of the following as a result of COVID-19? - Unable to pay bills,999906,Question seen but not answered
a13_5,13. Have you experienced any of the following as a result of COVID-19? - Unable to access sufficient food,0,Yes
a13_5,13. Have you experienced any of the following as a result of COVID-19? - Unable to access sufficient food,1,No
a13_5,13. Have you experienced any of the following as a result of COVID-19? - Unable to access sufficient food,999906,Question seen but not answered
a13_6,13. Have you experienced any of the following as a result of COVID-19? - Unable to access required medication,0,Yes
a13_6,13. Have you experienced any of the following as a result of COVID-19? - Unable to access required medication,1,No
