,Source,Block Name,Variable Name,Variable Description,Value,Value Description
0,ALSPAC,custom_metabolomicsm,study_id_e,,,
1,ALSPAC,custom_metabolomicsm,fm2a010a,Month of attendance: FOM2,,
2,ALSPAC,custom_metabolomicsm,fm2a010b,Year of attendance: FOM2,,
3,ALSPAC,custom_metabolomicsm,xxlvldlp_fom2,Concentration of chylomicrons and extremely large VLDL particles (mol/l): FOM2,,
4,ALSPAC,custom_metabolomicsm,xxlvldll_fom2,Total lipids in chylomicrons and extremely large VLDL (mmol/l): FOM2,,
5,ALSPAC,custom_metabolomicsm,xxlvldlpl_fom2,Phospholipids in chylomicrons and extremely large VLDL (mmol/l): FOM2,,
6,ALSPAC,custom_metabolomicsm,xxlvldlc_fom2,Total cholesterol in chylomicrons and extremely large VLDL (mmol/l): FOM2,,
7,ALSPAC,custom_metabolomicsm,xxlvldlce_fom2,Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l): FOM2,,
8,ALSPAC,custom_metabolomicsm,xxlvldlfc_fom2,Free cholesterol in chylomicrons and extremely large VLDL (mmol/l): FOM2,,
9,ALSPAC,custom_metabolomicsm,xxlvldltg_fom2,Triglycerides in chylomicrons and extremely large VLDL (mmol/l): FOM2,,
10,ALSPAC,custom_metabolomicsm,xlvldlp_fom2,Concentration of very large VLDL particles (mol/l): FOM2,,
11,ALSPAC,custom_metabolomicsm,xlvldll_fom2,Total lipids in very large VLDL (mmol/l): FOM2,,
12,ALSPAC,custom_metabolomicsm,xlvldlpl_fom2,Phospholipids in very large VLDL (mmol/l): FOM2,,
13,ALSPAC,custom_metabolomicsm,xlvldlc_fom2,Total cholesterol in very large VLDL (mmol/l): FOM2,,
14,ALSPAC,custom_metabolomicsm,xlvldlce_fom2,Cholesterol esters in very large VLDL (mmol/l): FOM2,,
15,ALSPAC,custom_metabolomicsm,xlvldlfc_fom2,Free cholesterol in very large VLDL (mmol/l): FOM2,,
16,ALSPAC,custom_metabolomicsm,xlvldltg_fom2,Triglycerides in very large VLDL (mmol/l): FOM2,,
17,ALSPAC,custom_metabolomicsm,lvldlp_fom2,Concentration of large VLDL particles (mol/l): FOM2,,
18,ALSPAC,custom_metabolomicsm,lvldll_fom2,Total lipids in large VLDL (mmol/l): FOM2,,
19,ALSPAC,custom_metabolomicsm,lvldlpl_fom2,Phospholipids in large VLDL (mmol/l): FOM2,,
20,ALSPAC,custom_metabolomicsm,lvldlc_fom2,Total cholesterol in large VLDL (mmol/l): FOM2,,
21,ALSPAC,custom_metabolomicsm,lvldlce_fom2,Cholesterol esters in large VLDL (mmol/l): FOM2,,
22,ALSPAC,custom_metabolomicsm,lvldlfc_fom2,Free cholesterol in large VLDL (mmol/l): FOM2,,
23,ALSPAC,custom_metabolomicsm,lvldltg_fom2,Triglycerides in large VLDL (mmol/l): FOM2,,
24,ALSPAC,custom_metabolomicsm,mvldlp_fom2,Concentration of medium VLDL particles (mol/l): FOM2,,
25,ALSPAC,custom_metabolomicsm,mvldll_fom2,Total lipids in medium VLDL (mmol/l): FOM2,,
26,ALSPAC,custom_metabolomicsm,mvldlpl_fom2,Phospholipids in medium VLDL (mmol/l): FOM2,,
27,ALSPAC,custom_metabolomicsm,mvldlc_fom2,Total cholesterol in medium VLDL (mmol/l): FOM2,,
28,ALSPAC,custom_metabolomicsm,mvldlce_fom2,Cholesterol esters in medium VLDL (mmol/l): FOM2,,
29,ALSPAC,custom_metabolomicsm,mvldlfc_fom2,Free cholesterol in medium VLDL (mmol/l): FOM2,,
