,Source,Block Name,Variable Name,Variable Description,Value,Value Description
235,ALSPAC,custom_metabolomicsy,study_id_e,,,
236,ALSPAC,custom_metabolomicsy,kz021,Participant sex,,
237,ALSPAC,custom_metabolomicsy,kz030,Preferred birthweight,,
238,ALSPAC,custom_metabolomicsy,fkar0010,Age at clinic visit (in months): F@24,,
239,ALSPAC,custom_metabolomicsy,fkar0011,Age at clinic visit (in years): F@24,,
240,ALSPAC,custom_metabolomicsy,xxlvldlp_f24,Conc. of chylomicrons and extremely large VLDL particles (mol/l): F24,,
241,ALSPAC,custom_metabolomicsy,xxlvldll_f24,Total lipids in chylomicrons and extremely large VLDL (mmol/l): F24,,
242,ALSPAC,custom_metabolomicsy,xxlvldlpl_f24,Phospholipids in chylomicrons and extremely large VLDL (mmol/l): F24,,
243,ALSPAC,custom_metabolomicsy,xxlvldlc_f24,Total cholesterol in chylomicrons and extremely large VLDL (mmol/l): F24,,
244,ALSPAC,custom_metabolomicsy,xxlvldlce_f24,Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l): F24,,
245,ALSPAC,custom_metabolomicsy,xxlvldlfc_f24,Free cholesterol in chylomicrons and extremely large VLDL (mmol/l): F24,,
246,ALSPAC,custom_metabolomicsy,xxlvldltg_f24,Triglycerides in chylomicrons and extremely large VLDL (mmol/l): F24,,
247,ALSPAC,custom_metabolomicsy,xlvldlp_f24,Concentration of very large VLDL particles (mol/l): F24,,
248,ALSPAC,custom_metabolomicsy,xlvldll_f24,Total lipids in very large VLDL (mmol/l): F24,,
249,ALSPAC,custom_metabolomicsy,xlvldlpl_f24,Phospholipids in very large VLDL (mmol/l): F24,,
250,ALSPAC,custom_metabolomicsy,xlvldlc_f24,Total cholesterol in very large VLDL (mmol/l): F24,,
251,ALSPAC,custom_metabolomicsy,xlvldlce_f24,Cholesterol esters in very large VLDL (mmol/l): F24,,
252,ALSPAC,custom_metabolomicsy,xlvldlfc_f24,Free cholesterol in very large VLDL (mmol/l): F24,,
253,ALSPAC,custom_metabolomicsy,xlvldltg_f24,Triglycerides in very large VLDL (mmol/l): F24,,
254,ALSPAC,custom_metabolomicsy,lvldlp_f24,Concentration of large VLDL particles (mol/l): F24,,
255,ALSPAC,custom_metabolomicsy,lvldll_f24,Total lipids in large VLDL (mmol/l): F24,,
256,ALSPAC,custom_metabolomicsy,lvldlpl_f24,Phospholipids in large VLDL (mmol/l): F24,,
257,ALSPAC,custom_metabolomicsy,lvldlc_f24,Total cholesterol in large VLDL (mmol/l): F24,,
258,ALSPAC,custom_metabolomicsy,lvldlce_f24,Cholesterol esters in large VLDL (mmol/l): F24,,
259,ALSPAC,custom_metabolomicsy,lvldlfc_f24,Free cholesterol in large VLDL (mmol/l): F24,,
260,ALSPAC,custom_metabolomicsy,lvldltg_f24,Triglycerides in large VLDL (mmol/l): F24,,
261,ALSPAC,custom_metabolomicsy,mvldlp_f24,Concentration of medium VLDL particles (mol/l): F24,,
262,ALSPAC,custom_metabolomicsy,mvldll_f24,Total lipids in medium VLDL (mmol/l): F24,,
263,ALSPAC,custom_metabolomicsy,mvldlpl_f24,Phospholipids in medium VLDL (mmol/l): F24,,
264,ALSPAC,custom_metabolomicsy,mvldlc_f24,Total cholesterol in medium VLDL (mmol/l): F24,,
265,ALSPAC,custom_metabolomicsy,mvldlce_f24,Cholesterol esters in medium VLDL (mmol/l): F24,,
266,ALSPAC,custom_metabolomicsy,mvldlfc_f24,Free cholesterol in medium VLDL (mmol/l): F24,,
267,ALSPAC,custom_metabolomicsy,mvldltg_f24,Triglycerides in medium VLDL (mmol/l): F24,,
268,ALSPAC,custom_metabolomicsy,svldlp_f24,Concentration of small VLDL particles (mol/l): F24,,
269,ALSPAC,custom_metabolomicsy,svldll_f24,Total lipids in small VLDL (mmol/l): F24,,
270,ALSPAC,custom_metabolomicsy,svldlpl_f24,Phospholipids in small VLDL (mmol/l): F24,,
271,ALSPAC,custom_metabolomicsy,svldlc_f24,Total cholesterol in small VLDL (mmol/l): F24,,
272,ALSPAC,custom_metabolomicsy,svldlce_f24,Cholesterol esters in small VLDL (mmol/l): F24,,
273,ALSPAC,custom_metabolomicsy,svldlfc_f24,Free cholesterol in small VLDL (mmol/l): F24,,
274,ALSPAC,custom_metabolomicsy,svldltg_f24,Triglycerides in small VLDL (mmol/l): F24,,
275,ALSPAC,custom_metabolomicsy,xsvldlp_f24,Concentration of very small VLDL particles (mol/l): F24,,
276,ALSPAC,custom_metabolomicsy,xsvldll_f24,Total lipids in very small VLDL (mmol/l): F24,,
277,ALSPAC,custom_metabolomicsy,xsvldlpl_f24,Phospholipids in very small VLDL (mmol/l): F24,,
278,ALSPAC,custom_metabolomicsy,xsvldlc_f24,Total cholesterol in very small VLDL (mmol/l): F24,,
279,ALSPAC,custom_metabolomicsy,xsvldlce_f24,Cholesterol esters in very small VLDL (mmol/l): F24,,
280,ALSPAC,custom_metabolomicsy,xsvldlfc_f24,Free cholesterol in very small VLDL (mmol/l): F24,,
281,ALSPAC,custom_metabolomicsy,xsvldltg_f24,Triglycerides in very small VLDL (mmol/l): F24,,
282,ALSPAC,custom_metabolomicsy,idlp_f24,Concentration of IDL particles (mol/l): F24,,
283,ALSPAC,custom_metabolomicsy,idll_f24,Total lipids in IDL (mmol/l): F24,,
284,ALSPAC,custom_metabolomicsy,idlpl_f24,Phospholipids in IDL (mmol/l): F24,,
285,ALSPAC,custom_metabolomicsy,idlc_f24,Total cholesterol in IDL (mmol/l): F24,,
286,ALSPAC,custom_metabolomicsy,idlce_f24,Cholesterol esters in IDL (mmol/l): F24,,
287,ALSPAC,custom_metabolomicsy,idlfc_f24,Free cholesterol in IDL (mmol/l): F24,,
288,ALSPAC,custom_metabolomicsy,idltg_f24,Triglycerides in IDL (mmol/l): F24,,
289,ALSPAC,custom_metabolomicsy,lldlp_f24,Concentration of large LDL particles (mol/l): F24,,
290,ALSPAC,custom_metabolomicsy,lldll_f24,Total lipids in large LDL (mmol/l): F24,,
291,ALSPAC,custom_metabolomicsy,lldlpl_f24,Phospholipids in large LDL (mmol/l): F24,,
292,ALSPAC,custom_metabolomicsy,lldlc_f24,Total cholesterol in large LDL (mmol/l): F24,,
293,ALSPAC,custom_metabolomicsy,lldlce_f24,Cholesterol esters in large LDL (mmol/l): F24,,
294,ALSPAC,custom_metabolomicsy,lldlfc_f24,Free cholesterol in large LDL (mmol/l): F24,,
295,ALSPAC,custom_metabolomicsy,lldltg_f24,Triglycerides in large LDL (mmol/l): F24,,
296,ALSPAC,custom_metabolomicsy,mldlp_f24,Concentration of medium LDL particles (mol/l): F24,,
297,ALSPAC,custom_metabolomicsy,mldll_f24,Total lipids in medium LDL (mmol/l): F24,,
298,ALSPAC,custom_metabolomicsy,mldlpl_f24,Phospholipids in medium LDL (mmol/l): F24,,
299,ALSPAC,custom_metabolomicsy,mldlc_f24,Total cholesterol in medium LDL (mmol/l): F24,,
300,ALSPAC,custom_metabolomicsy,mldlce_f24,Cholesterol esters in medium LDL (mmol/l): F24,,
301,ALSPAC,custom_metabolomicsy,mldlfc_f24,Free cholesterol in medium LDL (mmol/l): F24,,
302,ALSPAC,custom_metabolomicsy,mldltg_f24,Triglycerides in medium LDL (mmol/l): F24,,
303,ALSPAC,custom_metabolomicsy,sldlp_f24,Concentration of small LDL particles (mol/l): F24,,
304,ALSPAC,custom_metabolomicsy,sldll_f24,Total lipids in small LDL (mmol/l): F24,,
305,ALSPAC,custom_metabolomicsy,sldlpl_f24,Phospholipids in small LDL (mmol/l): F24,,
306,ALSPAC,custom_metabolomicsy,sldlc_f24,Total cholesterol in small LDL (mmol/l): F24,,
307,ALSPAC,custom_metabolomicsy,sldlce_f24,Cholesterol esters in small LDL (mmol/l): F24,,
308,ALSPAC,custom_metabolomicsy,sldlfc_f24,Free cholesterol in small LDL (mmol/l): F24,,
309,ALSPAC,custom_metabolomicsy,sldltg_f24,Triglycerides in small LDL (mmol/l): F24,,
310,ALSPAC,custom_metabolomicsy,xlhdlp_f24,Concentration of very large HDL particles (mol/l): F24,,
