,Source,Block Name,Variable Name,Variable Description,Value,Value Description
516,ALSPAC,serology2m,study_id_e,,,
517,ALSPAC,serology2m,sero2m_mult_mum,Is a duplicate pregnancy - Remove if only looking at Mothers,,
518,ALSPAC,serology2m,sero2m_0001a,Participant sent a consent invitation: SERO2,,
519,ALSPAC,serology2m,sero2m_0001b,Participant completed consent form: SERO2,,
520,ALSPAC,serology2m,sero2m_0001c, Participant agreed to consent form: SERO2,,
521,ALSPAC,serology2m,sero2m_0001d,Participant agreed to consent form and passed screening: SERO2,,
522,ALSPAC,serology2m,sero2m_0001e,Test kit sent to participant: SERO2,,
523,ALSPAC,serology2m,sero2m_0002,Participant has returned serology results: SERO,,
524,ALSPAC,serology2m,sero2m_1000,Numeric N (nucleocapsid) antibody response result (COI): SERO2,,
525,ALSPAC,serology2m,sero2m_1005,Classification of N (nucleocapsid) antibody response result: SERO2,,
526,ALSPAC,serology2m,sero2m_1010,Numeric S (spike) antibody response result (COI): SERO2,,
527,ALSPAC,serology2m,sero2m_1015,Classification of S (spike) antibody response result: SERO2,,
528,ALSPAC,serology2m,sero2m_1025,Summary of test results: SERO2,,
529,ALSPAC,serology2m,sero2m_9620,Date sample received by labs (Day): SERO2,,
530,ALSPAC,serology2m,sero2m_9621,Date sample received by labs (Month): SERO2,,
531,ALSPAC,serology2m,sero2m_9622,Date sample received by labs (Year): SERO2,,
532,ALSPAC,serology2m,sero2m_9650,Age sample received (years): SERO2,,
533,ALSPAC,serology2m,sero2m_9651,Age sample received (months): SERO2,,
534,ALSPAC,serology2m,avail_from_dt,,,
