Source,Block Name,Variable Name,Variable Description,Value,Value Description
ALSPAC,wave1m,study_id_e,,,
ALSPAC,wave1m,covid1m_0001,Questionnaire sent to participant: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_0001,Questionnaire sent to participant: COVID1,0,No
ALSPAC,wave1m,covid1m_0001,Questionnaire sent to participant: COVID1,1,Yes
ALSPAC,wave1m,covid1m_0002,Questionnaire completed by participant: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_0002,Questionnaire completed by participant: COVID1,0,No
ALSPAC,wave1m,covid1m_0002,Questionnaire completed by participant: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1001,a1b: Participant has diabetes (Type I or II): COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1001,a1b: Participant has diabetes (Type I or II): COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1001,a1b: Participant has diabetes (Type I or II): COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1001,a1b: Participant has diabetes (Type I or II): COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1001,a1b: Participant has diabetes (Type I or II): COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1001,a1b: Participant has diabetes (Type I or II): COVID1,1,Yes
ALSPAC,wave1m,covid1m_1001,a1b: Participant has diabetes (Type I or II): COVID1,2,No
ALSPAC,wave1m,covid1m_1002,a1c: Participant has heart disease or heart problems: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1002,a1c: Participant has heart disease or heart problems: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1002,a1c: Participant has heart disease or heart problems: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1002,a1c: Participant has heart disease or heart problems: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1002,a1c: Participant has heart disease or heart problems: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1002,a1c: Participant has heart disease or heart problems: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1002,a1c: Participant has heart disease or heart problems: COVID1,2,No
ALSPAC,wave1m,covid1m_1003,a1d: Participant has hypertension (high blood pressure): COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1003,a1d: Participant has hypertension (high blood pressure): COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1003,a1d: Participant has hypertension (high blood pressure): COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1003,a1d: Participant has hypertension (high blood pressure): COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1003,a1d: Participant has hypertension (high blood pressure): COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1003,a1d: Participant has hypertension (high blood pressure): COVID1,1,Yes
ALSPAC,wave1m,covid1m_1003,a1d: Participant has hypertension (high blood pressure): COVID1,2,No
ALSPAC,wave1m,covid1m_1004,a1e: Participant is overweight: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1004,a1e: Participant is overweight: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1004,a1e: Participant is overweight: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1004,a1e: Participant is overweight: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1004,a1e: Participant is overweight: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1004,a1e: Participant is overweight: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1004,a1e: Participant is overweight: COVID1,2,No
ALSPAC,wave1m,covid1m_1006,a1g: Participant has kidney disease: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1006,a1g: Participant has kidney disease: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1006,a1g: Participant has kidney disease: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1006,a1g: Participant has kidney disease: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1006,a1g: Participant has kidney disease: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1006,a1g: Participant has kidney disease: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1006,a1g: Participant has kidney disease: COVID1,2,No
ALSPAC,wave1m,covid1m_1007,a1h: Participant has liver disease: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1007,a1h: Participant has liver disease: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1007,a1h: Participant has liver disease: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1007,a1h: Participant has liver disease: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1007,a1h: Participant has liver disease: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1007,a1h: Participant has liver disease: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1007,a1h: Participant has liver disease: COVID1,2,No
ALSPAC,wave1m,covid1m_1008,a1i: Participant has anaemia : COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1008,a1i: Participant has anaemia : COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1008,a1i: Participant has anaemia : COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1008,a1i: Participant has anaemia : COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1008,a1i: Participant has anaemia : COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1008,a1i: Participant has anaemia : COVID1,1,Yes
ALSPAC,wave1m,covid1m_1008,a1i: Participant has anaemia : COVID1,2,No
ALSPAC,wave1m,covid1m_1009,a1j: Participant has asthma: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1009,a1j: Participant has asthma: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1009,a1j: Participant has asthma: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1009,a1j: Participant has asthma: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1009,a1j: Participant has asthma: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1009,a1j: Participant has asthma: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1009,a1j: Participant has asthma: COVID1,2,No
ALSPAC,wave1m,covid1m_1010,a1k: Participant has other lung condition: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1010,a1k: Participant has other lung condition: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1010,a1k: Participant has other lung condition: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1010,a1k: Participant has other lung condition: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1010,a1k: Participant has other lung condition: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1010,a1k: Participant has other lung condition: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1010,a1k: Participant has other lung condition: COVID1,2,No
ALSPAC,wave1m,covid1m_1011,a1l: Participant has cancer: COVID1,-9999,Consent withdrawn
