,Source,Block Name,Variable Name,Variable Description,Value,Value Description
7981,ALSPAC,wave2m,study_id_e,,,
7982,ALSPAC,wave2m,covid2m_0001,Questionnaire sent to participant: COVID2,-9999.0,Consent withdrawn
7983,ALSPAC,wave2m,covid2m_0001,Questionnaire sent to participant: COVID2,0.0,No
7984,ALSPAC,wave2m,covid2m_0001,Questionnaire sent to participant: COVID2,1.0,Yes
7985,ALSPAC,wave2m,covid2m_0002,Questionnaire completed by participant: COVID2,-9999.0,Consent withdrawn
7986,ALSPAC,wave2m,covid2m_0002,Questionnaire completed by participant: COVID2,0.0,No
7987,ALSPAC,wave2m,covid2m_0002,Questionnaire completed by participant: COVID2,1.0,Yes
7988,ALSPAC,wave2m,covid2m_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2,-9999.0,Consent withdrawn
7989,ALSPAC,wave2m,covid2m_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2,-11.0,Trips/Quads
7990,ALSPAC,wave2m,covid2m_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2,-10.0,Did not complete Q
7991,ALSPAC,wave2m,covid2m_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2,-9.0,Did not complete section A
7992,ALSPAC,wave2m,covid2m_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2,-1.0,Missing
7993,ALSPAC,wave2m,covid2m_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2,1.0,Yes
7994,ALSPAC,wave2m,covid2m_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2,2.0,No
7995,ALSPAC,wave2m,covid2m_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2,-9999.0,Consent withdrawn
7996,ALSPAC,wave2m,covid2m_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2,-11.0,Trips/Quads
7997,ALSPAC,wave2m,covid2m_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2,-10.0,Did not complete Q
7998,ALSPAC,wave2m,covid2m_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2,-9.0,Did not complete section A
7999,ALSPAC,wave2m,covid2m_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2,-1.0,Missing
8000,ALSPAC,wave2m,covid2m_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2,1.0,Yes
8001,ALSPAC,wave2m,covid2m_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2,2.0,No
8002,ALSPAC,wave2m,covid2m_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2,-9999.0,Consent withdrawn
8003,ALSPAC,wave2m,covid2m_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2,-11.0,Trips/Quads
8004,ALSPAC,wave2m,covid2m_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2,-10.0,Did not complete Q
8005,ALSPAC,wave2m,covid2m_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2,-9.0,Did not complete section A
8006,ALSPAC,wave2m,covid2m_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2,-1.0,Missing
8007,ALSPAC,wave2m,covid2m_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2,1.0,Yes
8008,ALSPAC,wave2m,covid2m_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2,2.0,No
8009,ALSPAC,wave2m,covid2m_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2,-9999.0,Consent withdrawn
8010,ALSPAC,wave2m,covid2m_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2,-11.0,Trips/Quads
8011,ALSPAC,wave2m,covid2m_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2,-10.0,Did not complete Q
8012,ALSPAC,wave2m,covid2m_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2,-9.0,Did not complete section A
8013,ALSPAC,wave2m,covid2m_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2,-1.0,Missing
8014,ALSPAC,wave2m,covid2m_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2,1.0,Yes
8015,ALSPAC,wave2m,covid2m_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2,2.0,No
8016,ALSPAC,wave2m,covid2m_1004,a1_5:  Participant had runny nose since mid-April: COVID2,-9999.0,Consent withdrawn
8017,ALSPAC,wave2m,covid2m_1004,a1_5:  Participant had runny nose since mid-April: COVID2,-11.0,Trips/Quads
8018,ALSPAC,wave2m,covid2m_1004,a1_5:  Participant had runny nose since mid-April: COVID2,-10.0,Did not complete Q
8019,ALSPAC,wave2m,covid2m_1004,a1_5:  Participant had runny nose since mid-April: COVID2,-9.0,Did not complete section A
8020,ALSPAC,wave2m,covid2m_1004,a1_5:  Participant had runny nose since mid-April: COVID2,-1.0,Missing
8021,ALSPAC,wave2m,covid2m_1004,a1_5:  Participant had runny nose since mid-April: COVID2,1.0,Yes
8022,ALSPAC,wave2m,covid2m_1004,a1_5:  Participant had runny nose since mid-April: COVID2,2.0,No
8023,ALSPAC,wave2m,covid2m_1005,a1_6:  Participant had sneezing since mid-April: COVID2,-9999.0,Consent withdrawn
8024,ALSPAC,wave2m,covid2m_1005,a1_6:  Participant had sneezing since mid-April: COVID2,-11.0,Trips/Quads
8025,ALSPAC,wave2m,covid2m_1005,a1_6:  Participant had sneezing since mid-April: COVID2,-10.0,Did not complete Q
8026,ALSPAC,wave2m,covid2m_1005,a1_6:  Participant had sneezing since mid-April: COVID2,-9.0,Did not complete section A
8027,ALSPAC,wave2m,covid2m_1005,a1_6:  Participant had sneezing since mid-April: COVID2,-1.0,Missing
8028,ALSPAC,wave2m,covid2m_1005,a1_6:  Participant had sneezing since mid-April: COVID2,1.0,Yes
8029,ALSPAC,wave2m,covid2m_1005,a1_6:  Participant had sneezing since mid-April: COVID2,2.0,No
8030,ALSPAC,wave2m,covid2m_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2,-9999.0,Consent withdrawn
8031,ALSPAC,wave2m,covid2m_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2,-11.0,Trips/Quads
8032,ALSPAC,wave2m,covid2m_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2,-10.0,Did not complete Q
8033,ALSPAC,wave2m,covid2m_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2,-9.0,Did not complete section A
8034,ALSPAC,wave2m,covid2m_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2,-1.0,Missing
8035,ALSPAC,wave2m,covid2m_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2,1.0,Yes
8036,ALSPAC,wave2m,covid2m_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2,2.0,No
8037,ALSPAC,wave2m,covid2m_1007,a1_8:  Participant had sore eyes since mid-April: COVID2,-9999.0,Consent withdrawn
8038,ALSPAC,wave2m,covid2m_1007,a1_8:  Participant had sore eyes since mid-April: COVID2,-11.0,Trips/Quads
8039,ALSPAC,wave2m,covid2m_1007,a1_8:  Participant had sore eyes since mid-April: COVID2,-10.0,Did not complete Q
8040,ALSPAC,wave2m,covid2m_1007,a1_8:  Participant had sore eyes since mid-April: COVID2,-9.0,Did not complete section A
8041,ALSPAC,wave2m,covid2m_1007,a1_8:  Participant had sore eyes since mid-April: COVID2,-1.0,Missing
8042,ALSPAC,wave2m,covid2m_1007,a1_8:  Participant had sore eyes since mid-April: COVID2,1.0,Yes
8043,ALSPAC,wave2m,covid2m_1007,a1_8:  Participant had sore eyes since mid-April: COVID2,2.0,No
8044,ALSPAC,wave2m,covid2m_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2,-9999.0,Consent withdrawn
8045,ALSPAC,wave2m,covid2m_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2,-11.0,Trips/Quads
8046,ALSPAC,wave2m,covid2m_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2,-10.0,Did not complete Q
8047,ALSPAC,wave2m,covid2m_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2,-9.0,Did not complete section A
8048,ALSPAC,wave2m,covid2m_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2,-1.0,Missing
8049,ALSPAC,wave2m,covid2m_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2,1.0,Yes
8050,ALSPAC,wave2m,covid2m_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2,2.0,No
8051,ALSPAC,wave2m,covid2m_1009,a1_10:  Participant had a sore throat since mid-April: COVID2,-9999.0,Consent withdrawn
8052,ALSPAC,wave2m,covid2m_1009,a1_10:  Participant had a sore throat since mid-April: COVID2,-11.0,Trips/Quads
8053,ALSPAC,wave2m,covid2m_1009,a1_10:  Participant had a sore throat since mid-April: COVID2,-10.0,Did not complete Q
8054,ALSPAC,wave2m,covid2m_1009,a1_10:  Participant had a sore throat since mid-April: COVID2,-9.0,Did not complete section A
8055,ALSPAC,wave2m,covid2m_1009,a1_10:  Participant had a sore throat since mid-April: COVID2,-1.0,Missing
8056,ALSPAC,wave2m,covid2m_1009,a1_10:  Participant had a sore throat since mid-April: COVID2,1.0,Yes
8057,ALSPAC,wave2m,covid2m_1009,a1_10:  Participant had a sore throat since mid-April: COVID2,2.0,No
8058,ALSPAC,wave2m,covid2m_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2,-9999.0,Consent withdrawn
8059,ALSPAC,wave2m,covid2m_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2,-11.0,Trips/Quads
8060,ALSPAC,wave2m,covid2m_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2,-10.0,Did not complete Q
8061,ALSPAC,wave2m,covid2m_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2,-9.0,Did not complete section A
8062,ALSPAC,wave2m,covid2m_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2,-1.0,Missing
8063,ALSPAC,wave2m,covid2m_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2,1.0,Yes
8064,ALSPAC,wave2m,covid2m_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2,2.0,No
8065,ALSPAC,wave2m,covid2m_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2,-9999.0,Consent withdrawn
8066,ALSPAC,wave2m,covid2m_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2,-11.0,Trips/Quads
8067,ALSPAC,wave2m,covid2m_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2,-10.0,Did not complete Q
8068,ALSPAC,wave2m,covid2m_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2,-9.0,Did not complete section A
8069,ALSPAC,wave2m,covid2m_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2,-1.0,Missing
8070,ALSPAC,wave2m,covid2m_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2,1.0,Yes
8071,ALSPAC,wave2m,covid2m_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2,2.0,No
8072,ALSPAC,wave2m,covid2m_1012,a1_13:  Participant had dizziness since mid-April: COVID2,-9999.0,Consent withdrawn
8073,ALSPAC,wave2m,covid2m_1012,a1_13:  Participant had dizziness since mid-April: COVID2,-11.0,Trips/Quads
8074,ALSPAC,wave2m,covid2m_1012,a1_13:  Participant had dizziness since mid-April: COVID2,-10.0,Did not complete Q
8075,ALSPAC,wave2m,covid2m_1012,a1_13:  Participant had dizziness since mid-April: COVID2,-9.0,Did not complete section A
8076,ALSPAC,wave2m,covid2m_1012,a1_13:  Participant had dizziness since mid-April: COVID2,-1.0,Missing
8077,ALSPAC,wave2m,covid2m_1012,a1_13:  Participant had dizziness since mid-April: COVID2,1.0,Yes
8078,ALSPAC,wave2m,covid2m_1012,a1_13:  Participant had dizziness since mid-April: COVID2,2.0,No
8079,ALSPAC,wave2m,covid2m_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2,-9999.0,Consent withdrawn
8080,ALSPAC,wave2m,covid2m_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2,-11.0,Trips/Quads
8081,ALSPAC,wave2m,covid2m_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2,-10.0,Did not complete Q
8082,ALSPAC,wave2m,covid2m_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2,-9.0,Did not complete section A
8083,ALSPAC,wave2m,covid2m_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2,-1.0,Missing
8084,ALSPAC,wave2m,covid2m_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2,1.0,Yes
8085,ALSPAC,wave2m,covid2m_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2,2.0,No
8086,ALSPAC,wave2m,covid2m_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2,-9999.0,Consent withdrawn
8087,ALSPAC,wave2m,covid2m_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2,-11.0,Trips/Quads
8088,ALSPAC,wave2m,covid2m_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2,-10.0,Did not complete Q
8089,ALSPAC,wave2m,covid2m_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2,-9.0,Did not complete section A
8090,ALSPAC,wave2m,covid2m_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2,-1.0,Missing
8091,ALSPAC,wave2m,covid2m_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2,1.0,Yes
8092,ALSPAC,wave2m,covid2m_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2,2.0,No
8093,ALSPAC,wave2m,covid2m_1015,a1_16:  Participant had chest pain since mid-April: COVID2,-9999.0,Consent withdrawn
8094,ALSPAC,wave2m,covid2m_1015,a1_16:  Participant had chest pain since mid-April: COVID2,-11.0,Trips/Quads
8095,ALSPAC,wave2m,covid2m_1015,a1_16:  Participant had chest pain since mid-April: COVID2,-10.0,Did not complete Q
8096,ALSPAC,wave2m,covid2m_1015,a1_16:  Participant had chest pain since mid-April: COVID2,-9.0,Did not complete section A
8097,ALSPAC,wave2m,covid2m_1015,a1_16:  Participant had chest pain since mid-April: COVID2,-1.0,Missing
8098,ALSPAC,wave2m,covid2m_1015,a1_16:  Participant had chest pain since mid-April: COVID2,1.0,Yes
8099,ALSPAC,wave2m,covid2m_1015,a1_16:  Participant had chest pain since mid-April: COVID2,2.0,No
8100,ALSPAC,wave2m,covid2m_1016,a1_17:  Participant had fever since mid-April: COVID2,-9999.0,Consent withdrawn
8101,ALSPAC,wave2m,covid2m_1016,a1_17:  Participant had fever since mid-April: COVID2,-11.0,Trips/Quads
8102,ALSPAC,wave2m,covid2m_1016,a1_17:  Participant had fever since mid-April: COVID2,-10.0,Did not complete Q
8103,ALSPAC,wave2m,covid2m_1016,a1_17:  Participant had fever since mid-April: COVID2,-9.0,Did not complete section A
8104,ALSPAC,wave2m,covid2m_1016,a1_17:  Participant had fever since mid-April: COVID2,-1.0,Missing
8105,ALSPAC,wave2m,covid2m_1016,a1_17:  Participant had fever since mid-April: COVID2,1.0,Yes
8106,ALSPAC,wave2m,covid2m_1016,a1_17:  Participant had fever since mid-April: COVID2,2.0,No
8107,ALSPAC,wave2m,covid2m_1017,a1_18:  Participant had chills since mid-April: COVID2,-9999.0,Consent withdrawn
8108,ALSPAC,wave2m,covid2m_1017,a1_18:  Participant had chills since mid-April: COVID2,-11.0,Trips/Quads
8109,ALSPAC,wave2m,covid2m_1017,a1_18:  Participant had chills since mid-April: COVID2,-10.0,Did not complete Q
8110,ALSPAC,wave2m,covid2m_1017,a1_18:  Participant had chills since mid-April: COVID2,-9.0,Did not complete section A
8111,ALSPAC,wave2m,covid2m_1017,a1_18:  Participant had chills since mid-April: COVID2,-1.0,Missing
8112,ALSPAC,wave2m,covid2m_1017,a1_18:  Participant had chills since mid-April: COVID2,1.0,Yes
8113,ALSPAC,wave2m,covid2m_1017,a1_18:  Participant had chills since mid-April: COVID2,2.0,No
8114,ALSPAC,wave2m,covid2m_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2,-9999.0,Consent withdrawn
8115,ALSPAC,wave2m,covid2m_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2,-11.0,Trips/Quads
8116,ALSPAC,wave2m,covid2m_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2,-10.0,Did not complete Q
8117,ALSPAC,wave2m,covid2m_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2,-9.0,Did not complete section A
8118,ALSPAC,wave2m,covid2m_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2,-1.0,Missing
8119,ALSPAC,wave2m,covid2m_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2,1.0,Yes
8120,ALSPAC,wave2m,covid2m_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2,2.0,No
8121,ALSPAC,wave2m,covid2m_1019,a1_20:  Participant felt more tired than normal since mid-April: COVID2,-9999.0,Consent withdrawn
8122,ALSPAC,wave2m,covid2m_1019,a1_20:  Participant felt more tired than normal since mid-April: COVID2,-11.0,Trips/Quads
8123,ALSPAC,wave2m,covid2m_1019,a1_20:  Participant felt more tired than normal since mid-April: COVID2,-10.0,Did not complete Q
