variable_name,value_value,value_label,avail_from_dt,table_name
covid2yp_0001,-9999,Consent withdrawn,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_0001,0,No,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_0001,1,Yes,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_0002,-9999,Consent withdrawn,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_0002,0,No,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_0002,1,Yes,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1000,-9999,Consent withdrawn,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1000,-11,Trips/Quads,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1000,-10,Did not complete Q,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1000,-9,Did not complete section A,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1000,-1,Missing,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1000,1,Yes,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1000,2,No,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1001,-9999,Consent withdrawn,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1001,-11,Trips/Quads,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1001,-10,Did not complete Q,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1001,-9,Did not complete section A,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1001,-1,Missing,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1001,1,Yes,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1001,2,No,2022-01-25 12:48:23.753,wave2y_v0001_20211101
covid2yp_1002,-9999,Consent withdrawn,2022-01-25 12:48:23.753,wave2y_v0001_20211101
