,Source,Block Name,Variable Name,Variable Description,Value,Value Description
18174,ALSPAC,wave5y,study_id_e,,,
18175,ALSPAC,wave5y,covid5yp_0001,Questionnaire sent to participant: COVID5,,
18176,ALSPAC,wave5y,covid5yp_0002,Questionnaire returned by participant: COVID5,,
18177,ALSPAC,wave5y,covid5yp_0003,Data collection method (paper or online): COVID5,,
18178,ALSPAC,wave5y,covid5yp_0050,a1: Participant's health in 3 months prior to COVID-19 outbreak: COVID5,,
18179,ALSPAC,wave5y,covid5yp_0100,b1: Participant was sent a letter/text advising them to shield: COVID5,,
18180,ALSPAC,wave5y,covid5yp_1000,b2a_0: Participant ever had a temperature > 37.8 since Jan 2021: COVID5,,
18181,ALSPAC,wave5y,covid5yp_1001,b2a_1: Participant had a temperature > 37.8 in Jan/Feb 2021: COVID5,,
18182,ALSPAC,wave5y,covid5yp_1002,b2a_2: Participant had a temperature > 37.8 in Mar/Apr 2021: COVID5,,
18183,ALSPAC,wave5y,covid5yp_1003,b2a_3: Participant had a temperature > 37.8 in May/Jun 2021: COVID5,,
18184,ALSPAC,wave5y,covid5yp_1004,b2a_4: Participant had a temperature > 37.8 since July 2021: COVID5,,
18185,ALSPAC,wave5y,covid5yp_1005,b2b_0: Participant ever felt feverish since Jan 2021: COVID5,,
18186,ALSPAC,wave5y,covid5yp_1006,b2b_1: Participant felt feverish in Jan/Feb 2021: COVID5,,
18187,ALSPAC,wave5y,covid5yp_1007,b2b_2: Participant felt feverish in Mar/Apr 2021: COVID5,,
18188,ALSPAC,wave5y,covid5yp_1008,b2b_3: Participant felt feverish in May/Jun 2021: COVID5,,
18189,ALSPAC,wave5y,covid5yp_1009,b2b_4: Participant felt feverish in since July 2021: COVID5,,
18190,ALSPAC,wave5y,covid5yp_1010,b2c_0: Participant ever had chills since Jan 2021: COVID5,,
18191,ALSPAC,wave5y,covid5yp_1011,b2c_1: Participant had chills in Jan/Feb 2021: COVID5,,
18192,ALSPAC,wave5y,covid5yp_1012,b2c_2: Participant had chills in Mar/Apr 2021: COVID5,,
18193,ALSPAC,wave5y,covid5yp_1013,b2c_3: Participant had chills in May/Jun 2021: COVID5,,
18194,ALSPAC,wave5y,covid5yp_1014,b2c_4: Participant had chills in since July 2021: COVID5,,
18195,ALSPAC,wave5y,covid5yp_1015,b2d_0: Participant ever had loss/change sense of smell since Jan 2021: COVID5,,
18196,ALSPAC,wave5y,covid5yp_1016,b2d_1: Participant had loss/change in sense of smell in Jan/Feb 2021: COVID5,,
18197,ALSPAC,wave5y,covid5yp_1017,b2d_2: Participant had loss/change in sense of smell in Mar/Apr 2021: COVID5,,
18198,ALSPAC,wave5y,covid5yp_1018,b2d_3: Participant had loss/change in sense of smell in May/Jun 2021: COVID5,,
18199,ALSPAC,wave5y,covid5yp_1019,b2d_4: Participant had loss/change in sense of smell since July 2021: COVID5,,
18200,ALSPAC,wave5y,covid5yp_1020,b2e_0: Participant ever had loss/change sense of taste since Jan 2021: COVID5,,
18201,ALSPAC,wave5y,covid5yp_1021,b2e_1: Participant had loss/change in sense of taste in Jan/Feb 2021: COVID5,,
18202,ALSPAC,wave5y,covid5yp_1022,b2e_2: Participant had loss/change in sense of taste in Mar/Apr 2021: COVID5,,
18203,ALSPAC,wave5y,covid5yp_1023,b2e_3: Participant had loss/change in sense of taste in May/Jun 2021: COVID5,,
18204,ALSPAC,wave5y,covid5yp_1024,b2e_4: Participant had loss/change in sense of taste since July 2021: COVID5,,
18205,ALSPAC,wave5y,covid5yp_1026,b2f_0: Participant ever had runny nose since Jan 2021: COVID5,,
18206,ALSPAC,wave5y,covid5yp_1027,b2f_1: Participant had runny nose in Jan/Feb 2021: COVID5,,
18207,ALSPAC,wave5y,covid5yp_1028,b2f_2: Participant had runny nose in Mar/Apr 2021: COVID5,,
18208,ALSPAC,wave5y,covid5yp_1029,b2f_3: Participant had runny nose in May/Jun 2021: COVID5,,
18209,ALSPAC,wave5y,covid5yp_1030,b2f_4: Participant had runny nose since July 2021: COVID5,,
18210,ALSPAC,wave5y,covid5yp_1031,b2g_0: Participant ever had sore or painful throat since Jan 2021: COVID5,,
18211,ALSPAC,wave5y,covid5yp_1032,b2g_1: Participant had sore or painful throat in Jan/Feb 2021: COVID5,,
18212,ALSPAC,wave5y,covid5yp_1033,b2g_2: Participant had sore or painful throat in Mar/Apr 2021: COVID5,,
18213,ALSPAC,wave5y,covid5yp_1034,b2g_3: Participant had sore or painful throat in May/Jun 2021: COVID5,,
18214,ALSPAC,wave5y,covid5yp_1035,b2g_4: Participant had sore or painful throat since July 2021: COVID5,,
18215,ALSPAC,wave5y,covid5yp_1036,b2h_0: Participant ever had shortness of breath since Jan 2021: COVID5,,
18216,ALSPAC,wave5y,covid5yp_1037,b2h_1: Participant had shortness of breath in Jan/Feb 2021: COVID5,,
18217,ALSPAC,wave5y,covid5yp_1038,b2h_2: Participant had shortness of breath in Mar/Apr 2021: COVID5,,
18218,ALSPAC,wave5y,covid5yp_1039,b2h_3: Participant had shortness of breath in May/Jun 2021: COVID5,,
18219,ALSPAC,wave5y,covid5yp_1040,b2h_4: Participant had sore or painful throat since July 2021: COVID5,,
18220,ALSPAC,wave5y,covid5yp_1041,b2i_0: Participant ever had new persistent cough since Jan 2021: COVID5,,
18221,ALSPAC,wave5y,covid5yp_1042,b2i_1: Participant had new persistent cough in Jan/Feb 2021: COVID5,,
18222,ALSPAC,wave5y,covid5yp_1043,b2i_2: Participant had new persistent cough in Mar/Apr 2021: COVID5,,
18223,ALSPAC,wave5y,covid5yp_1044,b2i_3: Participant had new persistent cough in May/Jun 2021: COVID5,,
18224,ALSPAC,wave5y,covid5yp_1045,b2i_4: Participant had new persistent cough since July 2021: COVID5,,
18225,ALSPAC,wave5y,covid5yp_1046,b2j_0: Participant ever had decrease in appetite since Jan 2021: COVID5,,
18226,ALSPAC,wave5y,covid5yp_1047,b2j_1: Participant had decrease in appetite in Jan/Feb 2021: COVID5,,
18227,ALSPAC,wave5y,covid5yp_1048,b2j_2: Participant had decrease in appetite in Mar/Apr 2021: COVID5,,
18228,ALSPAC,wave5y,covid5yp_1049,b2j_3: Participant had decrease in appetite in May/Jun 2021: COVID5,,
18229,ALSPAC,wave5y,covid5yp_1050,b2j_4: Participant had decrease in appetite since July 2021: COVID5,,
18230,ALSPAC,wave5y,covid5yp_1051,b2k_0: Participant ever had diarrhoea since Jan 2021: COVID5,,
18231,ALSPAC,wave5y,covid5yp_1052,b2k_1: Participant had diarrhoea in Jan/Feb 2021: COVID5,,
18232,ALSPAC,wave5y,covid5yp_1053,b2k_2: Participant had diarrhoea in Mar/Apr 2021: COVID5,,
18233,ALSPAC,wave5y,covid5yp_1054,b2k_3: Participant had diarrhoea in May/Jun 2021: COVID5,,
18234,ALSPAC,wave5y,covid5yp_1055,b2k_4: Participant had diarrhoea since July 2021: COVID5,,
18235,ALSPAC,wave5y,covid5yp_1056,b2l_0: Participant ever had unusual muscle pain/aches since Jan 2021: COVID5,,
18236,ALSPAC,wave5y,covid5yp_1057,b2l_1: Participant had unusual muscle pain/aches in Jan/Feb 2021: COVID5,,
18237,ALSPAC,wave5y,covid5yp_1058,b2l_2: Participant had unusual muscle pain/aches in Mar/Apr 2021: COVID5,,
18238,ALSPAC,wave5y,covid5yp_1059,b2l_3: Participant had unusual muscle pain/aches in May/Jun 2021: COVID5,,
18239,ALSPAC,wave5y,covid5yp_1060,b2l_4: Participant had unusual muscle pain/aches since July 2021: COVID5,,
18240,ALSPAC,wave5y,covid5yp_1061,b2m_0: Participant ever had confusion/drowsiness since Jan 2021: COVID5,,
18241,ALSPAC,wave5y,covid5yp_1062,b2m_1: Participant had confusion/drowsiness in Jan/Feb 2021: COVID5,,
18242,ALSPAC,wave5y,covid5yp_1063,b2m_2: Participant had confusion/drowsiness in Mar/Apr 2021: COVID5,,
18243,ALSPAC,wave5y,covid5yp_1064,b2m_3: Participant had confusion/drowsiness in May/Jun 2021: COVID5,,
18244,ALSPAC,wave5y,covid5yp_1065,b2m_4: Participant had confusion/drowsiness since July 2021: COVID5,,
18245,ALSPAC,wave5y,covid5yp_1066,b2n_0: Participant ever had unusual fatigue since Jan 2021: COVID5,,
18246,ALSPAC,wave5y,covid5yp_1067,b2n_1: Participant had unusual fatigue in Jan/Feb 2021: COVID5,,
18247,ALSPAC,wave5y,covid5yp_1068,b2n_2: Participant had unusual fatigue in Mar/Apr 2021: COVID5,,
18248,ALSPAC,wave5y,covid5yp_1069,b2n_3: Participant had unusual fatigue in May/Jun 2021: COVID5,,
18249,ALSPAC,wave5y,covid5yp_1070,b2n_4: Participant had unusual fatigue since July 2021: COVID5,,
18250,ALSPAC,wave5y,covid5yp_1071,b2o_0: Participant ever had headache since Jan 2021: COVID5,,
18251,ALSPAC,wave5y,covid5yp_1072,b2o_1: Participant had headache in Jan/Feb 2021: COVID5,,
