,Source,Block Name,Variable Name,Variable Description,Value,Value Description
639967,BCS70,COVID_w3,study_id_e,,,
639968,BCS70,COVID_w3,cw3_cnum00,Cohort Member number within an MCS family,-1.0,Not applicable
639969,BCS70,COVID_w3,cw3_cnum00,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
639970,BCS70,COVID_w3,cw3_cnum00,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
639971,BCS70,COVID_w3,cw3_cnum00,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
639972,BCS70,COVID_w3,cw3_pnum00,Person number within an MCS family (excl Cohort Members,-1.0,Not applicable
639973,BCS70,COVID_w3,cw3_cohort,Cohort group of respondent,-1.0,Not Applicable
639974,BCS70,COVID_w3,cw3_cohort,Cohort group of respondent,1.0,NCDS
639975,BCS70,COVID_w3,cw3_cohort,Cohort group of respondent,2.0,BCS70
639976,BCS70,COVID_w3,cw3_cohort,Cohort group of respondent,3.0,Next Steps
639977,BCS70,COVID_w3,cw3_cohort,Cohort group of respondent,4.0,MCS CM
639978,BCS70,COVID_w3,cw3_cohort,Cohort group of respondent,5.0,MCS Parent
639979,BCS70,COVID_w3,cw3_cohort,Cohort group of respondent,6.0,NSHD
639980,BCS70,COVID_w3,cw3_psex,Sex of respondent,-1.0,Not Applicable
639981,BCS70,COVID_w3,cw3_psex,Sex of respondent,1.0,Male
639982,BCS70,COVID_w3,cw3_psex,Sex of respondent,2.0,Female
639983,BCS70,COVID_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),-1.0,Not Applicable
639984,BCS70,COVID_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),1.0,Yes
639985,BCS70,COVID_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),2.0,No
639986,BCS70,COVID_w3,cw3_enddated,Date in 2021 of survey completion,-9.0,Don't want to answer
639987,BCS70,COVID_w3,cw3_enddated,Date in 2021 of survey completion,-8.0,Donâ€™t Know
639988,BCS70,COVID_w3,cw3_enddated,Date in 2021 of survey completion,-1.0,Not Applicable
639989,BCS70,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-9.0,Don't want to answer
639990,BCS70,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-8.0,Donâ€™t Know
639991,BCS70,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-1.0,Not Applicable
639992,BCS70,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),2.0,February
639993,BCS70,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),3.0,March
639994,BCS70,COVID_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,1.0,Productive
639995,BCS70,COVID_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,2.0,Partially productive
639996,BCS70,COVID_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,3.0,Unproductive
639997,BCS70,COVID_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,0.0,Unproductive
639998,BCS70,COVID_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,1.0,Productive
639999,BCS70,COVID_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,2.0,Partially Productive
640000,BCS70,COVID_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,0.0,Unproductive
640001,BCS70,COVID_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,1.0,Productive
640002,BCS70,COVID_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,2.0,Partially Productive
640003,BCS70,COVID_w3,cw3_mode,Survey Mode (Web or Telephone),-1.0,Not Applicable
640004,BCS70,COVID_w3,cw3_mode,Survey Mode (Web or Telephone),1.0,CAWI
640005,BCS70,COVID_w3,cw3_mode,Survey Mode (Web or Telephone),2.0,CATI
640006,BCS70,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,-9.0,Don't want to answer
640007,BCS70,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,-8.0,Don't Know
640008,BCS70,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,-1.0,Not Applicable
640009,BCS70,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,1.0,"Yes, confirmed by a positive test"
640010,BCS70,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,2.0,"Yes, based on strong personal suspicion or medical advice"
640011,BCS70,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,3.0,Unsure
640012,BCS70,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,4.0,No
640013,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,-9.0,Don't want to answer
640014,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,-8.0,Donâ€™t Know
640015,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,-1.0,Not Applicable
640016,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,1.0,February 2020 or earlier
640017,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,2.0,March 2020
640018,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,3.0,April 2020
640019,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,4.0,May 2020
640020,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,5.0,June 2020
640021,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,6.0,July 2020
640022,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,7.0,August 2020
640023,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,8.0,September 2020
640024,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,9.0,October 2020
640025,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,10.0,November 2020
640026,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,11.0,December 2020
640027,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,12.0,January 2021
640028,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,13.0,February 2021
640029,BCS70,COVID_w3,cw3_covid19pos,When had coronavirus,14.0,March 2021
640030,BCS70,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-9.0,Don't want to answer
640031,BCS70,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-8.0,Donâ€™t Know
640032,BCS70,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-1.0,Not Applicable
640033,BCS70,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,1.0,Yes
640034,BCS70,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,2.0,No
640035,BCS70,COVID_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-9.0,Don't want to answer
640036,BCS70,COVID_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-8.0,Donâ€™t Know
640037,BCS70,COVID_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-1.0,Not Applicable
640038,BCS70,COVID_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,1.0,Yes
640039,BCS70,COVID_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,2.0,No
640040,BCS70,COVID_w3,cw3_covidadv_3,Past 2 weeks whether accessed online advice about COVID19 at NHS 111 or NHS 24,-9.0,Don't want to answer
640041,BCS70,COVID_w3,cw3_covidadv_3,Past 2 weeks whether accessed online advice about COVID19 at NHS 111 or NHS 24,-8.0,Donâ€™t Know
640042,BCS70,COVID_w3,cw3_covidadv_3,Past 2 weeks whether accessed online advice about COVID19 at NHS 111 or NHS 24,-1.0,Not Applicable
640043,BCS70,COVID_w3,cw3_covidadv_3,Past 2 weeks whether accessed online advice about COVID19 at NHS 111 or NHS 24,1.0,Yes
640044,BCS70,COVID_w3,cw3_covidadv_3,Past 2 weeks whether accessed online advice about COVID19 at NHS 111 or NHS 24,2.0,No
640045,BCS70,COVID_w3,cw3_covidadv_4,Past 2 weeks whether discussed COVID19 symptoms: visited pharmacist,-9.0,Don't want to answer
640046,BCS70,COVID_w3,cw3_covidadv_4,Past 2 weeks whether discussed COVID19 symptoms: visited pharmacist,-8.0,Donâ€™t Know
640047,BCS70,COVID_w3,cw3_covidadv_4,Past 2 weeks whether discussed COVID19 symptoms: visited pharmacist,-1.0,Not Applicable
640048,BCS70,COVID_w3,cw3_covidadv_4,Past 2 weeks whether discussed COVID19 symptoms: visited pharmacist,1.0,Yes
640049,BCS70,COVID_w3,cw3_covidadv_4,Past 2 weeks whether discussed COVID19 symptoms: visited pharmacist,2.0,No
640050,BCS70,COVID_w3,cw3_covidadv_5,Past 2 weeks whether discussed COVID19 symptoms: visited A&E/walk-in centre,-9.0,Don't want to answer
640051,BCS70,COVID_w3,cw3_covidadv_5,Past 2 weeks whether discussed COVID19 symptoms: visited A&E/walk-in centre,-8.0,Donâ€™t Know
640052,BCS70,COVID_w3,cw3_covidadv_5,Past 2 weeks whether discussed COVID19 symptoms: visited A&E/walk-in centre,-1.0,Not Applicable
640053,BCS70,COVID_w3,cw3_covidadv_5,Past 2 weeks whether discussed COVID19 symptoms: visited A&E/walk-in centre,1.0,Yes
640054,BCS70,COVID_w3,cw3_covidadv_5,Past 2 weeks whether discussed COVID19 symptoms: visited A&E/walk-in centre,2.0,No
640055,BCS70,COVID_w3,cw3_covidadv_6,Past 2 weeks not discussed COVID19 symptoms with healthcare professionals,-9.0,Don't want to answer
640056,BCS70,COVID_w3,cw3_covidadv_6,Past 2 weeks not discussed COVID19 symptoms with healthcare professionals,-8.0,Donâ€™t Know
640057,BCS70,COVID_w3,cw3_covidadv_6,Past 2 weeks not discussed COVID19 symptoms with healthcare professionals,-1.0,Not Applicable
640058,BCS70,COVID_w3,cw3_covidadv_6,Past 2 weeks not discussed COVID19 symptoms with healthcare professionals,1.0,Yes
640059,BCS70,COVID_w3,cw3_covidadv_6,Past 2 weeks not discussed COVID19 symptoms with healthcare professionals,2.0,No
640060,BCS70,COVID_w3,cw3_covid_hospad,Whether been admitted to hospital with COVID19,-9.0,Don't want to answer
640061,BCS70,COVID_w3,cw3_covid_hospad,Whether been admitted to hospital with COVID19,-8.0,Don't Know
640062,BCS70,COVID_w3,cw3_covid_hospad,Whether been admitted to hospital with COVID19,-1.0,Not Applicable
640063,BCS70,COVID_w3,cw3_covid_hospad,Whether been admitted to hospital with COVID19,1.0,Yes
640064,BCS70,COVID_w3,cw3_covid_hospad,Whether been admitted to hospital with COVID19,2.0,No
640065,BCS70,COVID_w3,cw3_covidtest_1,Whether been tested for Coronavirus: throat/nasal swab or saliva/nasal mucus test for current infection,-9.0,Don't want to answer
640066,BCS70,COVID_w3,cw3_covidtest_1,Whether been tested for Coronavirus: throat/nasal swab or saliva/nasal mucus test for current infection,-8.0,Donâ€™t Know
640067,BCS70,COVID_w3,cw3_covidtest_1,Whether been tested for Coronavirus: throat/nasal swab or saliva/nasal mucus test for current infection,-1.0,Not Applicable
640068,BCS70,COVID_w3,cw3_covidtest_1,Whether been tested for Coronavirus: throat/nasal swab or saliva/nasal mucus test for current infection,1.0,Yes
640069,BCS70,COVID_w3,cw3_covidtest_1,Whether been tested for Coronavirus: throat/nasal swab or saliva/nasal mucus test for current infection,2.0,No
640070,BCS70,COVID_w3,cw3_covidtest_2,Whether been tested for Coronavirus: finger stick/blood test/serology test/antibody test for past infection,1.0,Yes
640071,BCS70,COVID_w3,cw3_covidtest_2,Whether been tested for Coronavirus: finger stick/blood test/serology test/antibody test for past infection,2.0,No
640072,BCS70,COVID_w3,cw3_covidtest_2,Whether been tested for Coronavirus: finger stick/blood test/serology test/antibody test for past infection,-9.0,Don't want to answer
640073,BCS70,COVID_w3,cw3_covidtest_2,Whether been tested for Coronavirus: finger stick/blood test/serology test/antibody test for past infection,-8.0,Donâ€™t Know
640074,BCS70,COVID_w3,cw3_covidtest_2,Whether been tested for Coronavirus: finger stick/blood test/serology test/antibody test for past infection,-1.0,Not Applicable
640075,BCS70,COVID_w3,cw3_covidtest_3,Whether been tested for Coronavirus: donâ€™t know which type,-9.0,Don't want to answer
