,Source,Block Name,Variable Name,Variable Description,Value,Value Description
17779,BCS70,basic_demographic,study_id_e,,,
17780,BCS70,basic_demographic,a0014,Social Class of Father in 1970,-2.0,NK / NS
17781,BCS70,basic_demographic,a0014,Social Class of Father in 1970,1.0,SC 1
17782,BCS70,basic_demographic,a0014,Social Class of Father in 1970,2.0,SC 2
17783,BCS70,basic_demographic,a0014,Social Class of Father in 1970,3.0,SC 3 NM
17784,BCS70,basic_demographic,a0014,Social Class of Father in 1970,4.0,SC 3 M
17785,BCS70,basic_demographic,a0014,Social Class of Father in 1970,5.0,SC 4
17786,BCS70,basic_demographic,a0014,Social Class of Father in 1970,6.0,SC 5
17787,BCS70,basic_demographic,a0014,Social Class of Father in 1970,7.0,Other
17788,BCS70,basic_demographic,a0014,Social Class of Father in 1970,8.0,Unsupported
17789,BCS70,basic_demographic,a0018,Mothers Social Class in 1970,-2.0,Not Known
17790,BCS70,basic_demographic,a0018,Mothers Social Class in 1970,1.0,SC 1 & 2
17791,BCS70,basic_demographic,a0018,Mothers Social Class in 1970,2.0,SC 3 NM
17792,BCS70,basic_demographic,a0018,Mothers Social Class in 1970,3.0,SC 3 M
17793,BCS70,basic_demographic,a0018,Mothers Social Class in 1970,4.0,SC 4
17794,BCS70,basic_demographic,a0018,Mothers Social Class in 1970,5.0,SC 5
17795,BCS70,basic_demographic,a0018,Mothers Social Class in 1970,6.0,Other
17796,BCS70,basic_demographic,a0018,Mothers Social Class in 1970,7.0,Housewives
17797,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,-3.0,Not Stated
17798,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,-2.0,Not known/vague
17799,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,-1.0,Not Applicable
17800,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,1.0,No Quals
17801,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,2.0,Voc Qual
17802,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,3.0,0 Level or Equiv
17803,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,4.0,A Level or Equiv
17804,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,5.0,Srn
17805,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,6.0,Cert of Eductn
17806,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,7.0,Degree +
17807,BCS70,basic_demographic,e189a,Mothers Highest Educ Qualification,8.0,Other
17808,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,-3.0,Not Stated
17809,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,-2.0,Not known/vague
17810,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,-1.0,Not Applicable
17811,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,1.0,No Quals
17812,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,2.0,Voc Qual
17813,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,3.0,0 Level or Equiv
17814,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,4.0,A Level or Equiv
17815,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,5.0,Srn
17816,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,6.0,Cert of Ed  Uctn
17817,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,7.0,Degree +
17818,BCS70,basic_demographic,e189b,Fathers Highest Educ Qualification,8.0,Other
17819,BCS70,basic_demographic,c3_4,PI -Father's corrected social class 1980,1.0,I
17820,BCS70,basic_demographic,c3_4,PI -Father's corrected social class 1980,2.0,II
17821,BCS70,basic_demographic,c3_4,PI -Father's corrected social class 1980,3.0,IIINM
17822,BCS70,basic_demographic,c3_4,PI -Father's corrected social class 1980,4.0,IIIM
17823,BCS70,basic_demographic,c3_4,PI -Father's corrected social class 1980,5.0,IV
17824,BCS70,basic_demographic,c3_4,PI -Father's corrected social class 1980,6.0,V
17825,BCS70,basic_demographic,c3_4,PI -Father's corrected social class 1980,8.0,Insufficient data
17826,BCS70,basic_demographic,c3_4,PI -Father's corrected social class 1980,9.0,No data
17827,BCS70,basic_demographic,c3_5,PI -Father's corrected social class 1970,1.0,I
17828,BCS70,basic_demographic,c3_5,PI -Father's corrected social class 1970,2.0,II
17829,BCS70,basic_demographic,c3_5,PI -Father's corrected social class 1970,3.0,IIINM
17830,BCS70,basic_demographic,c3_5,PI -Father's corrected social class 1970,4.0,IIIM
17831,BCS70,basic_demographic,c3_5,PI -Father's corrected social class 1970,5.0,IV
17832,BCS70,basic_demographic,c3_5,PI -Father's corrected social class 1970,6.0,V
17833,BCS70,basic_demographic,c3_5,PI -Father's corrected social class 1970,8.0,Insufficient data
17834,BCS70,basic_demographic,c3_5,PI -Father's corrected social class 1970,9.0,No data
17835,BCS70,basic_demographic,ethnic,CMs ethnic group,1.0,British
17836,BCS70,basic_demographic,ethnic,CMs ethnic group,2.0,Irish
17837,BCS70,basic_demographic,ethnic,CMs ethnic group,3.0,White other
17838,BCS70,basic_demographic,ethnic,CMs ethnic group,4.0,White & Black Caribbean
17839,BCS70,basic_demographic,ethnic,CMs ethnic group,5.0,White & Black African
17840,BCS70,basic_demographic,ethnic,CMs ethnic group,6.0,White & Asian
17841,BCS70,basic_demographic,ethnic,CMs ethnic group,7.0,Other mixed race
17842,BCS70,basic_demographic,ethnic,CMs ethnic group,8.0,Indian
17843,BCS70,basic_demographic,ethnic,CMs ethnic group,9.0,Pakistani
17844,BCS70,basic_demographic,ethnic,CMs ethnic group,10.0,Bangladeshi
17845,BCS70,basic_demographic,ethnic,CMs ethnic group,11.0,Other Asian
17846,BCS70,basic_demographic,ethnic,CMs ethnic group,12.0,Caribbean
17847,BCS70,basic_demographic,ethnic,CMs ethnic group,13.0,African
17848,BCS70,basic_demographic,ethnic,CMs ethnic group,14.0,Other Black
17849,BCS70,basic_demographic,ethnic,CMs ethnic group,15.0,Chinese
17850,BCS70,basic_demographic,ethnic,CMs ethnic group,16.0,Other ethnic group
17851,BCS70,basic_demographic,ethnic,CMs ethnic group,98.0,=Dont know
17852,BCS70,basic_demographic,ethnic,CMs ethnic group,99.0,=Not answered
