variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
A0014,Social Class of Father in 1970,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
A0018,Mothers Social Class in 1970,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
E189A,Mothers Highest Educ Qualification,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
E189B,Fathers Highest Educ Qualification,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
C3_4,PI -Father's corrected social class 1980,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
C3_5,PI -Father's corrected social class 1970,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
ETHNIC,CMs ethnic group,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
B9GENDER,Whether CM undergone gender reassignment,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
B10INCW,(Derived in CAPI) Weekly take home income,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
BD10HNVQ,(Derived) Highest NVQ Level from an Academic or Vocational Qual  up to 2016,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
BD10ECACT,(Derived) Current economic activity status,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
BD10TENURE,(Derived) Housing Tenure,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
BD10HSIZE,(Derived) HH Size,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
BD10PARTP,(Derived) Whether CM lives with a spouse or partner,2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
BD10CNSSEC,(Derived) NS-SEC Full Operational Categories (CM current job),2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
BD10CNSSCC,(Derived) NS-SEC Combined Operational Categories (CM current job),2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
BD10CNS8,(Derived) NS-SEC Analytic Categories (CM current job),2022-01-10 01:12:23.803,basic_demographic_v0001_20211101
