variable_name,value_value,value_label,avail_from_dt,table_name
A0014,-2,NK / NS,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0014,1,SC 1,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0014,2,SC 2,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0014,3,SC 3 NM,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0014,4,SC 3 M,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0014,5,SC 4,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0014,6,SC 5,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0014,7,Other,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0014,8,Unsupported,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0018,-2,Not Known,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0018,1,SC 1 & 2,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0018,2,SC 3 NM,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0018,3,SC 3 M,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0018,4,SC 4,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0018,5,SC 5,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0018,6,Other,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
A0018,7,Housewives,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,-3,Not Stated,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,-2,Not known/vague,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,-1,Not Applicable,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,1,No Quals,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,2,Voc Qual,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,3,0 Level or Equiv,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,4,A Level or Equiv,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,5,Srn,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,6,Cert of Eductn,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,7,Degree +,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189A,8,Other,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,-3,Not Stated,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,-2,Not known/vague,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,-1,Not Applicable,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,1,No Quals,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,2,Voc Qual,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,3,0 Level or Equiv,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,4,A Level or Equiv,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,5,Srn,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,6,Cert of Ed  Uctn,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,7,Degree +,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
E189B,8,Other,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_4,1,I,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_4,2,II,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_4,3,IIINM,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_4,4,IIIM,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_4,5,IV,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_4,6,V,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_4,8,Insufficient data,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_4,9,No data,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_5,1,I,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_5,2,II,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_5,3,IIINM,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_5,4,IIIM,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_5,5,IV,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_5,6,V,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_5,8,Insufficient data,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
C3_5,9,No data,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,1,British,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,2,Irish,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,3,White other,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,4,White & Black Caribbean,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,5,White & Black African,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,6,White & Asian,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,7,Other mixed race,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,8,Indian,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,9,Pakistani,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,10,Bangladeshi,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,11,Other Asian,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,12,Caribbean,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,13,African,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,14,Other Black,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,15,Chinese,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,16,Other ethnic group,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,98,=Dont know,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
ETHNIC,99,=Not answered,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
B9GENDER,-1,Not applicable,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
B9GENDER,1,Yes,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
B9GENDER,2,No,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
B10INCW,-9,Refused,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
B10INCW,-8,Not known,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
B10INCW,-1,Not applicable,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10HNVQ,-1,not applicable,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10HNVQ,0,none,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10HNVQ,1,nvq1 level,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10HNVQ,2,nvq2 level,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10HNVQ,3,nvq3 level,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10HNVQ,4,nvq4 level,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10HNVQ,5,nvq5 level,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,-9,Refused,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,-8,Not enough information,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,-1,Not applicable,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,1,Full-time employment,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,2,Part-time employment,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,3,Full-time self-employment,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,4,Part-time self-employment,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,5,Unemployment,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,6,Full-time education,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,7,Govt scheme for employment training,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,8,Temporary sickness/disability,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,9,Permanent sickness/disability,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,10,Looking after the home/family,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,11,Retirement,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10ECACT,12,Other,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10TENURE,-8,No information,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10TENURE,1,Own outright,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10TENURE,2,"Own, buying with help of mortgage/loan",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10TENURE,3,"Part rent, part mortgage (shared equity)",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10TENURE,4,Rent it,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10TENURE,5,"Live rent-free, incl. relatives/friends",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10TENURE,6,Squatting,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10TENURE,7,Other,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10PARTP,-8,Not enough information,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10PARTP,-1,No partner reported to be living with CM,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10PARTP,1,Spouse,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10PARTP,2,Civil partner,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10PARTP,3,Cohabiting partner,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,1,L1 Employers in large establishments,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,2,L2 Higher managerial and administrative,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,3,L3 Higher professional occupations,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,3.1,"""L3.1 ""Traditional"" employees""",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,3.2,"""L3.2 ""New"" employees""",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,3.3,"""L3.3 ""Traditional"" self-employed""",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,3.4,"""L3.4 ""New"" self-employed""",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,4,Lower professional and higher technical,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,4.1,"""L4.1 ""Traditional"" employees""",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,4.2,"""L4.2 ""New"" employees""",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,4.3,"""L4.3 ""Traditional"" self-employed""",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,4.4,"""L4.4 ""New"" self-employed""",2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,5,L5 Lower managerial and administrative,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,6,L6 Higher supervisory occupations,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,7,L7 Intermediate occupations,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,7.1,Intermediate clerical/administrative,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,7.2,L7.2 Intermediate sales and service,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,7.3,Intermediate technical and auxiliary,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,7.4,L7.4 Intermediate engineering,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
BD10CNSSEC,8,L8 Employers in small organisations,2022-01-10 00:33:17.160,basic_demographic_v0001_20211101
