variable_name,value_value,value_label,avail_from_dt,table_name
B10DCHSEX,-9,Refused,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHSEX,-8,Not known,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHSEX,-1,Not applicable,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHSEX,1,Male,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHSEX,2,Female,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,-9,Refused,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,-8,Not known,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,-1,Not applicable,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,1,January,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,2,February,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,3,March,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,4,April,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,5,May,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,6,June,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,7,July,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,8,August,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,9,September,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,10,October,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,11,November,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,12,December,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBM,13,NoAnswer,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBY,-9,Refused,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBY,-8,Not known,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDBY,-1,Not applicable,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,-9,Refused,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,-8,Not known,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,-1,Not applicable,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,1,Own child,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,2,Adopted child,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,3,Child of current spouse/partner,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,4,Child of previous spouse/partner,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,5,Fostered child,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHRTK,6,Other child,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,-9,Refused,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,-8,Not known,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,-1,Not applicable,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,1,January,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,2,February,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,3,March,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,4,April,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,5,May,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,6,June,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,7,July,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,8,August,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,9,September,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,10,October,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,11,November,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,12,December,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDM,13,NoAnswer,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDY,-9,Refused,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDY,-8,Not known,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
B10DCHDY,-1,Not applicable,2022-01-10 01:31:47.007,bcs10_child_died_v0001_20211101
