variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
DIETNO,sortkey: Loop ID,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQSDM,Date questionnaire was started - Month,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQSDY,Date questionnaire was started - Year,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQFDM,Date questionnaire was finished - Month,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQFDY,Date questionnaire was finished - Year,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQPRTN,How would CM describe serving size?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTYNY,Whether what CM ate and drank yesterday was fairly typical for them,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQYDY1,Why diet was not typical yesterday: CM was ill,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQYDY2,Why diet was not typical yesterday: CM was fasting,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQYDY3,Why diet was not typical yesterday: CM was away from home or place of work,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQYDY4,Why diet was not typical yesterday: Other reasons,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQGLTN,CM on Gluten free or wheat free diet,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQLCTS,CM on Diet for lactose intolerance,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDT1,CM on Vegetarian diet (no meat,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDT2,CM on Vegan diet,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDT3,CM on Low calorie/weight controlled diet,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDT4,CM on High calorie diet to prevent weight loss (e.g. following surgery),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDT5,CM on Low fibre diet (e.g. following surgery),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDT6,CM on Other special diet,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDNK1,Glass/Beaker(s) of Water (e.g. still,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDNK2,Glass/Can(s) of Low calorie or diet drinks (e.g. fizzy,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDNK3,Glass/Can(s) of Carbonated (fizzy) drinks consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDNK4,Glass/Carton/250ml(s) of Fruit drinks,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDNK5,Glass/Carton/250ml(s) of Pure orange juice consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDNK6,Glass/Carton/250ml(s) of Pure grapefruit juice consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQDNK7,Glass/Carton/250ml(s) of Other pure fruitÂ / vegetable juice consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQSMFR,Glass/Bottle/250ml(s) of Fruit smoothie consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQSMDY,Glass/Bottle/250ml(s) of Dairy/yogurt based smoothie consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCF,Did you drink any coffee yesterday?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFI1,Mug/Cup(s) of Instant coffee consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFI2,Whether added milk,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFF1,Mug/Cup(s) of Filter/Americano/CafetiÃ¨re consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFF2,Whether added milk,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFCP,Mug/Cup(s) of Cappuccino consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFLT,Mug/Cup(s) of Latte consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFE1,Cup(s) of Espresso consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFE2,Whether added milk,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFO1,Mug/Cup(s) of Other coffee drinks consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFO2,Whether added milk,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFA1,Was it decaffeinated coffee?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFA2,Teaspoon(s) of sugar added to your coffee (per drink)?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCFA3,Teaspoon/tablet(s) of sweetener (e.g. Canderel) added (per drink)?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEA,Did you drink any tea / infusion yesterday?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEAB,Mug/Cup(s) of Standard tea (e.g. Tetley,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEAR,Mug/Cup(s) of Rooibos / Redbush tea (e.g. Tick Tock) consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEAG,Mug/Cup(s) of Green tea consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEAH,Mug/Cup(s) of Herbal or fruit tea (infusion) consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEAO,Mug/Cup(s) of Other tea or infusion consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEA1,Did you add milk to your standard tea?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEA2,Was your standard tea decaffeinated?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEA3,Did you add milk to your rooibos/redbush tea?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEA4,Teaspoon(s) of sugar added to your teaÂ / infusion (per drink)?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQTEA5,TeaspoonÂ / tablet(s) of sweetener (e.g. Canderel) added (per drink)?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQODNK,Did you have any other (non-alcoholic) drinks yesterday?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQODK1,Glass/Carton/250ml(s) of Milk (excluding milkshakes) consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQODK2,Glass/Carton/250ml(s) of Yogurt drinks,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQODK3,Mug/Cup(s) of Low calorie hot chocolate drinks consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQODK4,Mug/Cup(s) of Hot chocolate or other milk-based drinks consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQODK5,Glass/Mug/Cup(s) of Other drinks consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQALCH,Did you have any alcoholic drinks yesterday?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQRDW1,Wine glass(es) of Red wine consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQRDW2,Red wine small glass (125ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQRDW3,Red wine medium glass (175ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQRDW4,Red wine large glass (250ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQRSW1,Wine glass(es) of RosÃ© wine (include sparkling) consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQRSW2,RosÃ© wine (include sparkling) small glass (125ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQRSW3,RosÃ© wine (include sparkling) medium glass (175ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQRSW4,RosÃ© wine (include sparkling) large glass (250ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQWHW1,Wine glass(es) of White wine (include sparkling) consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQWHW2,White wine (include sparkling) small glass (125ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQWHW3,White wine (include sparkling) medium glass (175ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQWHW4,White wine (include sparkling) large glass (250ml),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBEER,Pint(s) of Beer,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQFORT,Sherry/port glass(es) of Sherry,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQSPRT,Measure(s) of Spirits e.g. vodka,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQOTHA,Units of Other alcoholic drinks consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCERL,Did you eat any breakfast cereal yesterday?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLP1,Bowl(s) of Porridge,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLP2,Porridge,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLP3,Porridge,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLMS,Bowl(s) of Muesli consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLOC,Bowl(s) of Sweetened oat crunch type cereal (e.g. Country Crisp) consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLSW,Bowl(s) of Other sweetened cereals (e.g. Ricicles,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLPN,Bowl(s) of Plain cereals (e.g. Cornflakes,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLBN,Bowl(s) of Bran cereals (e.g. bran flakes,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLWW,Bowl(s) of Wholewheat cereals (e.g. Weetabix,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLOT,Bowl(s) of Other cereal consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLA1,Did your cereal contain any dried fruit? (e.g. Sultana Bran,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLA2,Did you add milk to your cereal?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLA3,How much sugar,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQCLA4,How much sweetener (e.g. Canderel) added to cereal or porridge (per bowl)?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMLKM,Which type of milk did you use most frequently yesterday?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBRD,Did you eat any bread or crackers yesterday?,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDS1,Slice(s) of Sliced bread consumed,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDS2,Type of sliced bread:  White,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDS3,Type of sliced bread:  Granary,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDS4,Type of sliced bread:  Wholemeal,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDS5,Type of sliced bread:  Seeded (inside and/or on top),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDS6,Type of sliced bread:  Other flour,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDB1,Bread item(s) of Sandwich baguette,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDB2,Type of baguette/ciabatta/panini/sub:  White,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDB3,Type of baguette/ciabatta/panini/sub:  Granary,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDB4,Type of baguette/ciabatta/panini/sub:  Wholemeal,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDB5,Type of baguette/ciabatta/panini/sub:  Seeded (inside and/or on top),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDB6,Type of baguette/ciabatta/panini/sub:  Other flour,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDL1,Bread item(s) of Large sandwich bap,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDL2,Type of sandwich bap/stotty/pitta:  White,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDL3,Type of sandwich bap/stotty/pitta:  Granary,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDL4,Type of sandwich bap/stotty/pitta:  Wholemeal,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDL5,Type of sandwich bap/stotty/pitta:  Seeded (inside and/or on top),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDL6,Type of sandwich bap/stotty/pitta:  Other flour,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDR1,Bread item(s) of Bread roll,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDR2,Type of bread roll/bap/burger bun/roll/bagel:  White,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDR3,Type of bread roll/bap/burger bun/roll/bagel:  Granary,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDR4,Type of bread roll/bap/burger bun/roll/bagel:  Wholemeal,2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
B10ODQBDR5,Type of bread roll/bap/burger bun/roll/bagel:  Seeded (inside and/or on top),2022-01-10 02:13:45.833,bcs10_dietary_questionnaire_v0001_20211101
