variable_name,value_value,value_label,avail_from_dt,table_name
B10ODQMTPK,6,6,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTPK,200,(2+) 2 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTPK,300,(3+) 3 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTPK,400,(4+) 4 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTPK,444,1/4 (quarter),2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTPK,500,(5+) 5 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTPK,555,1/2 (half),2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTPK,600,(6+) 6 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,-3,Unanswered (user not shown question),2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,-1,Unanswered,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,0,None,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,1,1,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,2,2,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,3,3,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,4,4,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,5,5,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,6,6,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,200,(2+) 2 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,300,(3+) 3 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,400,(4+) 4 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,444,1/4 (quarter),2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,500,(5+) 5 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,555,1/2 (half),2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQMTLB,600,(6+) 6 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQPLT1,-3,Unanswered (user not shown question),2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQPLT1,-1,Unanswered,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQPLT1,0,None,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQPLT1,1,1,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQPLT1,2,2,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,1,1,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,2,2,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,3,3,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,4,4,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,5,5,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,6,6,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,200,(2+) 2 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,300,(3+) 3 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,400,(4+) 4 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,444,1/4 (quarter),2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
B10ODQVG14,500,(5+) 5 or more,2022-01-10 02:04:05.360,bcs10_dietary_questionnaire_v0001_20211101
