,Source,Block Name,Variable Name,Variable Description,Value,Value Description
22570,BCS70,bcs10_employment,study_id_e,,,
22571,BCS70,bcs10_employment,econo,sortkey: Loop ID,,
22572,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,-9.0,Refused
22573,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,-8.0,Not known
22574,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,-1.0,Not applicable
22575,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,1.0,Full-time paid employee
22576,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,2.0,Part-time paid employee
22577,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,3.0,Full-time self-employed
22578,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,4.0,Part-time self-employed
22579,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,5.0,Unemployed and seeking work
22580,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,6.0,Full-time education
22581,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,7.0,On a government scheme for emp training
22582,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,8.0,Temporarily sick/disabled
22583,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,9.0,Long term sick/disabled
22584,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,10.0,Looking after home or family
22585,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,11.0,Wholly retired
22586,BCS70,bcs10_employment,b10dactiv4,Derived variable to set textfill for economic activity loop,12.0,Something else
22587,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),-9.0,Refused
22588,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),-8.0,Not known
22589,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),-1.0,Not applicable
22590,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),1.0,Fixed term or temporary job ended
22591,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),2.0,Made redundant
22592,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),3.0,Voluntary redundancy
22593,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),4.0,Dismissed from a job
22594,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),5.0,Retired
22595,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),6.0,Left job for health reasons
22596,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),7.0,Career break
22597,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),8.0,More money
22598,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),9.0,Better job
22599,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),10.0,Firm closed down / business failed
22600,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),11.0,Left to care for family member
22601,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),12.0,Moved to a different area
22602,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),13.0,Just decided to leave
22603,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),14.0,For some other reason (specify)
22604,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),15.0,Changed work pattern eg. Full to pt tme
22605,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),16.0,Started own business /self employment
22606,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),18.0,Better work-life balance/better commute
22607,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),50.0,Changed to different work pattern
22608,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),51.0,Started own business/became self emp
22609,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),52.0,Bad relationships in previous job
22610,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),53.0,Better work-life balance/better commute
22611,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),54.0,Change in family circumstances
22612,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),94.0,Other specific answer
22613,BCS70,bcs10_employment,b10ayend,Main reason stopped that period of employment/self-employment (Final),95.0,Vague / Irrelevant answer
22614,BCS70,bcs10_employment,b10aendm,When period of economic activity ended - month,-9.0,Refused
22615,BCS70,bcs10_employment,b10aendm,When period of economic activity ended - month,-8.0,Not known
22616,BCS70,bcs10_employment,b10aendm,When period of economic activity ended - month,-1.0,Not applicable
22617,BCS70,bcs10_employment,b10aendm,When period of economic activity ended - month,1.0,January
22618,BCS70,bcs10_employment,b10aendm,When period of economic activity ended - month,2.0,February
