variable_name,value_value,value_label,avail_from_dt,table_name
B10MEDLNGH,-9,Refused,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,-8,Not known,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,-1,Not applicable,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,1,Weekly,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,2,4 weekly/monthly,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,3,Every 3 months,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,4,Every 6 months,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,5,Every year,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,6,Every 5 years,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGH,7,Other (specify),2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGW,-9,Refused,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGW,-8,Not known,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGW,-1,Not applicable,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGW,1,Yes,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10MEDLNGW,2,No,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,-8,Not codeable,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,-1,Not applicable,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,100,0100: Gastro-Intestinal System,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,101,0101: Dyspep&Gastro-Oesophageal Ref,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,102,0102: Antispasmod.&Other Drgs Alt.G,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,103,0103: Antisecretory Drugs+Mucosal Prote,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,104,0104: Acute Diarrhoea,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,105,0105: Chronic Bowel Disorders,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,106,0106: Laxatives,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,107,0107: Local Prepn for Anal & Rectal,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,108,0108: Stoma Care,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,109,0109: Drugs Affecting Intestinal Secret,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,200,0200: Cardiovascular System,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,201,0201: Positive Inotropic Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,202,0202: Diuretics,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,203,0203: Anti-Arrhythmic Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,204,0204: Beta-Adrenoceptor Blocking Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,205,0205: Hypertension and Heart Failure,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,206,"0206: Nit,Calc Block & Other Antian",2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,207,0207: Sympathomimetics,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,208,0208: Anticoagulants And Protamine,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,209,0209: Antiplatelet Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,210,"0210: Stable Angina, Acute/Crnry Synd&a",2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,211,0211: Antifibrinolytic Drugs & Haem,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,212,0212: Lipid-Regulating Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,213,0213: Local Sclerosants,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,300,0300: Respiratory System,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,301,0301: Bronchodilators,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,302,0302: Corticosteroids (Respiratory),2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,303,"0303: Cromoglycate,Rel,Leukotriene Anta",2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,304,"0304: Antihist, Hyposensit & Allerg",2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,305,0305: Resp Stimulants & Pulmonary S,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,306,0306: Oxygen,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,307,0307: Mucolytics,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,308,0308: Aromatic Inhalations,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,309,0309: Cough Preparations,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,310,0310: Systemic Nasal Decongestants,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,311,0311: Antifibrotics,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,400,0400: Central Nervous System,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,401,0401: Hypnotics And Anxiolytics,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,402,0402: Drugs Used In Psychoses & Rel,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,403,0403: Antidepressant Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,404,0404: CNS Stimulants and drugs used for,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,405,0405: Obesity,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,406,0406: Drugs Used In Nausea And Vertigo,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,407,0407: Analgesics,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,408,0408: Antiepileptic Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,409,0409: Drugs Used In Park'ism/Related Di,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,410,0410: Drugs Used In Substance Dependenc,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,411,0411: Dementia,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,500,0500: Infections,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,501,0501: Antibacterial Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,502,0502: Antifungal Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,503,0503: Antiviral Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,504,0504: Antiprotozoal Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,505,0505: Anthelmintics,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,600,0600: Endocrine System,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,601,0601: Drugs Used In Diabetes,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,602,0602: Thyroid And Antithyroid Drugs,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,603,0603: Corticosteroids (Endocrine),2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
B10LNGDRC4,604,0604: Sex Hormones,2022-01-10 02:16:59.993,bcs10_long_acting_medication_v0001_20211101
