,Source,Block Name,Variable Name,Variable Description,Value,Value Description
23534,BCS70,bcs10_qualifications,study_id_e,,,
23535,BCS70,bcs10_qualifications,whqualid,Within qualification record number,,
23536,BCS70,bcs10_qualifications,qualid,sortkey: Qualifications record number,,
23537,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,-9.0,Refused
23538,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,-8.0,Don't know
23539,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,-1.0,Not applicable
23540,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,1.0,GCSE grade A-C
23541,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,2.0,GCSE grade D or E
23542,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,3.0,AS level grade A-C
23543,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,4.0,AS level grade D or E
23544,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,5.0,A level grade A-C
23545,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,6.0,A level grade D or E
23546,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,7.0,Access 3 qualification
23547,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,8.0,Standard grade qualification
23548,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,9.0,Intermediate 1 qualification
23549,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,10.0,Intermediate 2 qualification
23550,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,11.0,Highers
23551,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,12.0,Advanced Highers
23552,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,13.0,Certificate of Sixth Year Studies quali
23553,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,15.0,Degree
23554,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,16.0,Other degree level qualification
23555,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,17.0,Higher degree
23556,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,18.0,Nursing or paramedical qualification
23557,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,20.0,Other teaching qualifications
23558,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,21.0,BTEC
23559,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,22.0,City and Guilds qualification
23560,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,23.0,Level of RSA Qualif
23561,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,24.0,Pitman qualification
23562,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,25.0,NVQ qualification
23563,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,26.0,GNVQ qualification
23564,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,27.0,ONC/OND qualification
23565,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,28.0,HNC/HND qualification
23566,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,29.0,Trade apprenticeship qualification
23567,BCS70,bcs10_qualifications,b10qualtp,Type of qualification,32.0,Type of other qualification obtained
23568,BCS70,bcs10_qualifications,b10ewhen,Year obtained qualification,-9.0,Refused
23569,BCS70,bcs10_qualifications,b10ewhen,Year obtained qualification,-8.0,Don't know
23570,BCS70,bcs10_qualifications,b10ewhen,Year obtained qualification,-1.0,Not applicable
23571,BCS70,bcs10_qualifications,b10eftpt,Whether studied full or part-time,-9.0,Refused
23572,BCS70,bcs10_qualifications,b10eftpt,Whether studied full or part-time,-8.0,Don't know
23573,BCS70,bcs10_qualifications,b10eftpt,Whether studied full or part-time,-1.0,Not applicable
23574,BCS70,bcs10_qualifications,b10eftpt,Whether studied full or part-time,1.0,Full-time
23575,BCS70,bcs10_qualifications,b10eftpt,Whether studied full or part-time,2.0,Part-time
23576,BCS70,bcs10_qualifications,b10efees,Who paid fees for course,-9.0,Refused
23577,BCS70,bcs10_qualifications,b10efees,Who paid fees for course,-8.0,Don't know
