variable_name,value_value,value_label,avail_from_dt,table_name
B10QUALTP,-9,Refused,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,-8,Don't know,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,-1,Not applicable,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,1,GCSE grade A-C,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,2,GCSE grade D or E,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,3,AS level grade A-C,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,4,AS level grade D or E,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,5,A level grade A-C,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,6,A level grade D or E,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,7,Access 3 qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,8,Standard grade qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,9,Intermediate 1 qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,10,Intermediate 2 qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,11,Highers,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,12,Advanced Highers,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,13,Certificate of Sixth Year Studies quali,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,15,Degree,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,16,Other degree level qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,17,Higher degree,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,18,Nursing or paramedical qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,20,Other teaching qualifications,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,21,BTEC,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,22,City and Guilds qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,23,Level of RSA Qualif,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,24,Pitman qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,25,NVQ qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,26,GNVQ qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,27,ONC/OND qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,28,HNC/HND qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,29,Trade apprenticeship qualification,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10QUALTP,32,Type of other qualification obtained,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EWHEN,-9,Refused,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EWHEN,-8,Don't know,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EWHEN,-1,Not applicable,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFTPT,-9,Refused,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFTPT,-8,Don't know,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFTPT,-1,Not applicable,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFTPT,1,Full-time,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFTPT,2,Part-time,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFEES,-9,Refused,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFEES,-8,Don't know,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFEES,-1,Not applicable,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFEES,1,Employer,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFEES,2,"Respondent, family member or relative",2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFEES,3,Someone else,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EFEES,4,There were no fees,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EDEGGR,-9,Refused,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EDEGGR,-8,Don't know,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EDEGGR,-1,Not applicable,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EDEGGR,1,First,2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
B10EDEGGR,2,Upper second [2:1],2022-01-10 02:46:04.067,bcs10_qualifications_v0001_20211101
