,Source,Block Name,Variable Name,Variable Description,Value,Value Description
24819,BCS70,bcs10_relationships,study_id_e,,,
24820,BCS70,bcs10_relationships,relno,sortkey: Loop ID,,
24821,BCS70,bcs10_relationships,b10rnrany,Whether living with someone as a couple,-9.0,Refused
24822,BCS70,bcs10_relationships,b10rnrany,Whether living with someone as a couple,-8.0,Not known
24823,BCS70,bcs10_relationships,b10rnrany,Whether living with someone as a couple,-1.0,Not applicable
24824,BCS70,bcs10_relationships,b10rnrany,Whether living with someone as a couple,1.0,Yes
24825,BCS70,bcs10_relationships,b10rnrany,Whether living with someone as a couple,2.0,No
24826,BCS70,bcs10_relationships,b10rstm,When started living together - Month,-9.0,Refused
24827,BCS70,bcs10_relationships,b10rstm,When started living together - Month,-8.0,Not known
24828,BCS70,bcs10_relationships,b10rstm,When started living together - Month,-1.0,Not applicable
24829,BCS70,bcs10_relationships,b10rstm,When started living together - Month,1.0,January
24830,BCS70,bcs10_relationships,b10rstm,When started living together - Month,2.0,February
24831,BCS70,bcs10_relationships,b10rstm,When started living together - Month,3.0,March
24832,BCS70,bcs10_relationships,b10rstm,When started living together - Month,4.0,April
24833,BCS70,bcs10_relationships,b10rstm,When started living together - Month,5.0,May
24834,BCS70,bcs10_relationships,b10rstm,When started living together - Month,6.0,June
24835,BCS70,bcs10_relationships,b10rstm,When started living together - Month,7.0,July
24836,BCS70,bcs10_relationships,b10rstm,When started living together - Month,8.0,August
24837,BCS70,bcs10_relationships,b10rstm,When started living together - Month,9.0,September
24838,BCS70,bcs10_relationships,b10rstm,When started living together - Month,10.0,October
24839,BCS70,bcs10_relationships,b10rstm,When started living together - Month,11.0,November
24840,BCS70,bcs10_relationships,b10rstm,When started living together - Month,12.0,December
24841,BCS70,bcs10_relationships,b10rsty,When started living together - Year,-9.0,Refused
24842,BCS70,bcs10_relationships,b10rsty,When started living together - Year,-8.0,Not known
24843,BCS70,bcs10_relationships,b10rsty,When started living together - Year,-1.0,Not applicable
24844,BCS70,bcs10_relationships,b10rsex,Partner sex,-9.0,Refused
24845,BCS70,bcs10_relationships,b10rsex,Partner sex,-8.0,Not known
24846,BCS70,bcs10_relationships,b10rsex,Partner sex,-1.0,Not applicable
24847,BCS70,bcs10_relationships,b10rsex,Partner sex,1.0,Male
24848,BCS70,bcs10_relationships,b10rsex,Partner sex,2.0,Female
24849,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,-9.0,Refused
24850,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,-8.0,Not known
24851,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,-1.0,Not applicable
24852,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,1.0,January
24853,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,2.0,February
24854,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,3.0,March
24855,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,4.0,April
24856,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,5.0,May
24857,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,6.0,June
24858,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,7.0,July
24859,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,8.0,August
24860,BCS70,bcs10_relationships,b10rdobm,Partner date of birth - Month,9.0,September
