variable_name,value_value,value_label,avail_from_dt,table_name
B10RNRANY,-9,Refused,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RNRANY,-8,Not known,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RNRANY,-1,Not applicable,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RNRANY,1,Yes,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RNRANY,2,No,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,-9,Refused,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,-8,Not known,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,-1,Not applicable,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,1,January,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,2,February,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,3,March,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,4,April,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,5,May,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,6,June,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,7,July,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,8,August,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,9,September,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,10,October,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,11,November,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTM,12,December,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTY,-9,Refused,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTY,-8,Not known,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSTY,-1,Not applicable,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSEX,-9,Refused,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSEX,-8,Not known,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSEX,-1,Not applicable,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSEX,1,Male,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RSEX,2,Female,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,-9,Refused,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,-8,Not known,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,-1,Not applicable,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,1,January,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,2,February,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,3,March,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,4,April,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,5,May,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,6,June,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,7,July,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,8,August,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,9,September,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,10,October,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,11,November,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBM,12,December,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBY,-9,Refused,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBY,-8,Not known,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RDOBY,-1,Not applicable,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RAGE,-9,Refused,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
B10RAGE,-8,Not known,2022-01-10 10:17:22.097,bcs10_relationships_v0001_20211101
