,Source,Block Name,Variable Name,Variable Description,Value,Value Description
30765,BCS70,bcs1_22month,study_id_e,,,
30766,BCS70,bcs1_22month,b0002,SINGLETON/TWIN CODE OF CHILD,0.0,SINGLETON
30767,BCS70,bcs1_22month,b0002,SINGLETON/TWIN CODE OF CHILD,1.0,FIRST TWIN
30768,BCS70,bcs1_22month,b0002,SINGLETON/TWIN CODE OF CHILD,2.0,SECOND TWIN
30769,BCS70,bcs1_22month,b0003,RANDOM CONTROL INCLUSION GROUP,0.0,NO
30770,BCS70,bcs1_22month,b0003,RANDOM CONTROL INCLUSION GROUP,1.0,YES     RANDOM
30771,BCS70,bcs1_22month,b0004,MULTIPLE BIRTH INCLUSION GROUP,0.0,NO
30772,BCS70,bcs1_22month,b0004,MULTIPLE BIRTH INCLUSION GROUP,1.0,YES     MULTIPLE
30773,BCS70,bcs1_22month,b0005,POSTMATURE INCLUSION GROUP,0.0,NO
30774,BCS70,bcs1_22month,b0005,POSTMATURE INCLUSION GROUP,1.0,YES POST-MATURE
30775,BCS70,bcs1_22month,b0005,POSTMATURE INCLUSION GROUP,2.0,YES LMP DATE UNC
30776,BCS70,bcs1_22month,b0006,SMALL FOR DATES INCLUSION GROUP,0.0,NO
30777,BCS70,bcs1_22month,b0006,SMALL FOR DATES INCLUSION GROUP,1.0,YES     S F DATE
30778,BCS70,bcs1_22month,b0006,SMALL FOR DATES INCLUSION GROUP,2.0,YES LMP DATE UNC
30779,BCS70,bcs1_22month,b0007,AGE AT EXAMINATION,-3.0,NOT STATED
30780,BCS70,bcs1_22month,b0007,AGE AT EXAMINATION,-2.0,NOT KNOWN
30781,BCS70,bcs1_22month,b0008,IN WHAT DWELLING WAS THE CHILD LIVING,-6.0,UNABLE TO EXAMINE
30782,BCS70,bcs1_22month,b0008,IN WHAT DWELLING WAS THE CHILD LIVING,-3.0,NOT STATED
30783,BCS70,bcs1_22month,b0008,IN WHAT DWELLING WAS THE CHILD LIVING,-2.0,NOT KNOWN
30784,BCS70,bcs1_22month,b0008,IN WHAT DWELLING WAS THE CHILD LIVING,-1.0,NOT APPLICABLE
30785,BCS70,bcs1_22month,b0008,IN WHAT DWELLING WAS THE CHILD LIVING,1.0,WHOLE HOUSE
30786,BCS70,bcs1_22month,b0008,IN WHAT DWELLING WAS THE CHILD LIVING,2.0,S.C. FLAT/MAISONETTE
30787,BCS70,bcs1_22month,b0008,IN WHAT DWELLING WAS THE CHILD LIVING,3.0,ROOMS
30788,BCS70,bcs1_22month,b0008,IN WHAT DWELLING WAS THE CHILD LIVING,4.0,OTHER
30789,BCS70,bcs1_22month,b0009,CODE FOR OTHER TYPE OF ACCOMODATION,-6.0,UNABLE TO EXAMINE
30790,BCS70,bcs1_22month,b0009,CODE FOR OTHER TYPE OF ACCOMODATION,-3.0,NOT STATED
30791,BCS70,bcs1_22month,b0009,CODE FOR OTHER TYPE OF ACCOMODATION,-2.0,NOT KNOWN
30792,BCS70,bcs1_22month,b0009,CODE FOR OTHER TYPE OF ACCOMODATION,-1.0,NOT APPLICABLE
30793,BCS70,bcs1_22month,b0009,CODE FOR OTHER TYPE OF ACCOMODATION,10.0,BEDSIT SHARED TOILET
30794,BCS70,bcs1_22month,b0009,CODE FOR OTHER TYPE OF ACCOMODATION,11.0,RES. CHILDREN'S HOME
