variable_name,value_value,value_label,avail_from_dt,table_name
b0091,-3,NOT STATED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,-2,NOT KNOWN,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,-1,NOT APPLICABLE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,10,BREATH-HOLDING,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,11,ROLLED HEAD SIDE-S.,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,12,DRIBBLED CONSTANTLY,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,13,STRUCK MOTHER TEMPER,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,14,TENSES WHEN EXCITED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,15,HYPER-ACTIVE/KINETIC,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,16,GRUNTING,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,17,GRIMACING,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,18,IMMATURE BEHAVIOUR,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,19,TEMPER/T. TANTRUMS,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,20,"""MA""CHILD BITES T.""""",2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,21,BITING,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,22,CEREBRAL CRY,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0091,23,MUSCULAR TWITCHINGS,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0093,-6,UNABLE TO EXAMINE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0093,-3,NOT STATED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0093,-2,NOT KNOWN,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0093,-1,NOT APPLICABLE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0093,0,THE CHILD REFUSED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0094,-6,UNABLE TO EXAMINE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0094,-3,NOT STATED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0094,-2,NOT KNOWN,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0094,-1,NOT APPLICABLE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0094,1,YES,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0094,2,NO,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0095,-6,UNABLE TO EXAMINE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0095,-3,NOT STATED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0095,-2,NOT KNOWN,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0095,-1,NOT APPLICABLE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0095,0,THE CHILD REFUSED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0096,-6,UNABLE TO EXAMINE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0096,-3,NOT STATED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0096,-2,NOT KNOWN,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0096,-1,NOT APPLICABLE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0096,0,THE CHILD REFUSED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0097,-6,UNABLE TO EXAMINE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0097,-3,NOT STATED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0097,-2,NOT KNOWN,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0097,-1,NOT APPLICABLE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0097,0,THE CHILD REFUSED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0098,-6,UNABLE TO EXAMINE,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0098,-3,NOT STATED,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
b0098,-2,NOT KNOWN,2022-01-10 04:36:33.287,bcs1_22month_v0001_20211101
