variable_name,value_value,value_label,avail_from_dt,table_name
a0329,-3,Not Stated,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0329,-2,Not Known,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0329,-1,NA:Stillbirth,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0329,1,No Fractures,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0329,2,Fractured Bone(S),2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0020,5,No Children,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0020,8,Yes No Details,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,-3,Not Stated,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,-1,Not Applicable,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,1,Home-Homehelp,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,2,Home-Minder,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,3,Home-Nursery,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,4,Home-Other,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,5,Away-Friend/Relative,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,6,Away-Foster,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,7,Away-Nursery,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,8,Away-School,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0021,9,Away-Other,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0022,-3,Not Stated,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0022,-2,Not known,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,-3,Not Stated,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,-1,Not Applicable,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,1,Home-Homehelp,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,2,Home-Minder,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,3,Home-Nursery,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,4,Home-Other,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,5,Away-Friend/Relative,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,6,Away-Foster,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,7,Away-Nursery,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,8,Away-School,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0023,9,Away-Other,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0024,-3,Not Stated,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0024,-2,Not known,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,-3,Not Stated,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,-1,Not Applicable,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,1,Home-Homehelp,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,2,Home-Minder,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,3,Home-Nursery,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,4,Home-Other,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,5,Away-Friend/Relative,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,6,Away-Foster,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,7,Away-Nursery,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,8,Away-School,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0025,9,Away-Other,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0026,-3,Not Stated,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0026,-2,Not known,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0027,-3,Not Stated,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0027,-1,Not Applicable,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0027,1,Home-Homehelp,2022-01-10 03:28:22.810,bcs1_v0001_20211101
a0027,2,Home-Minder,2022-01-10 03:28:22.810,bcs1_v0001_20211101
