,Source,Block Name,Variable Name,Variable Description,Value,Value Description
38042,BCS70,bcs2_child,study_id_e,,,
38043,BCS70,bcs2_child,f003,Sex,-3.0,Not Attempted
38044,BCS70,bcs2_child,f003,Sex,-2.0,Not Scorable
38045,BCS70,bcs2_child,f003,Sex,-1.0,Interviewed Overseas
38046,BCS70,bcs2_child,f003,Sex,1.0,Boy
38047,BCS70,bcs2_child,f003,Sex,2.0,Girl
38048,BCS70,bcs2_child,f004,Copy Designs: Circle: Copy 1,-3.0,Not Attempted
38049,BCS70,bcs2_child,f004,Copy Designs: Circle: Copy 1,-2.0,Not Scorable
38050,BCS70,bcs2_child,f004,Copy Designs: Circle: Copy 1,-1.0,Not Applicable
38051,BCS70,bcs2_child,f004,Copy Designs: Circle: Copy 1,1.0,Good Copy
38052,BCS70,bcs2_child,f004,Copy Designs: Circle: Copy 1,2.0,Poor Copy
38053,BCS70,bcs2_child,f004,Copy Designs: Circle: Copy 1,3.0,
38054,BCS70,bcs2_child,f005,Copy Designs: Circle: Copy 2,-3.0,Not Attempted
38055,BCS70,bcs2_child,f005,Copy Designs: Circle: Copy 2,-2.0,Not Scorable
38056,BCS70,bcs2_child,f005,Copy Designs: Circle: Copy 2,-1.0,Not Applicable
38057,BCS70,bcs2_child,f005,Copy Designs: Circle: Copy 2,1.0,Good Copy
38058,BCS70,bcs2_child,f005,Copy Designs: Circle: Copy 2,2.0,Poor Copy
38059,BCS70,bcs2_child,f005,Copy Designs: Circle: Copy 2,3.0,
38060,BCS70,bcs2_child,f006,Copy Designs: Cross: Copy 1,-3.0,Not Attempted
38061,BCS70,bcs2_child,f006,Copy Designs: Cross: Copy 1,-2.0,Not Scorable
38062,BCS70,bcs2_child,f006,Copy Designs: Cross: Copy 1,-1.0,Not Applicable
38063,BCS70,bcs2_child,f006,Copy Designs: Cross: Copy 1,1.0,Good Copy
38064,BCS70,bcs2_child,f006,Copy Designs: Cross: Copy 1,2.0,Poor Copy
38065,BCS70,bcs2_child,f006,Copy Designs: Cross: Copy 1,3.0,
38066,BCS70,bcs2_child,f007,Copy Designs: Cross: Copy: 2,-3.0,Not Attempted
38067,BCS70,bcs2_child,f007,Copy Designs: Cross: Copy: 2,-2.0,Not Scorable
38068,BCS70,bcs2_child,f007,Copy Designs: Cross: Copy: 2,-1.0,Not Applicable
38069,BCS70,bcs2_child,f007,Copy Designs: Cross: Copy: 2,1.0,Good Copy
38070,BCS70,bcs2_child,f007,Copy Designs: Cross: Copy: 2,2.0,Poor Copy
38071,BCS70,bcs2_child,f007,Copy Designs: Cross: Copy: 2,3.0,
38072,BCS70,bcs2_child,f008,Copy Designs: Square: Copy 1,-3.0,Not Attempted
38073,BCS70,bcs2_child,f008,Copy Designs: Square: Copy 1,-2.0,Not Scorable
38074,BCS70,bcs2_child,f008,Copy Designs: Square: Copy 1,-1.0,Not Applicable
38075,BCS70,bcs2_child,f008,Copy Designs: Square: Copy 1,1.0,Good Copy
38076,BCS70,bcs2_child,f008,Copy Designs: Square: Copy 1,2.0,Poor Copy
38077,BCS70,bcs2_child,f008,Copy Designs: Square: Copy 1,3.0,
38078,BCS70,bcs2_child,f009,Copy Designs: Square: Copy 2,-3.0,Not Attempted
38079,BCS70,bcs2_child,f009,Copy Designs: Square: Copy 2,-2.0,Not Scorable
38080,BCS70,bcs2_child,f009,Copy Designs: Square: Copy 2,-1.0,Not Applicable
38081,BCS70,bcs2_child,f009,Copy Designs: Square: Copy 2,1.0,Good Copy
38082,BCS70,bcs2_child,f009,Copy Designs: Square: Copy 2,2.0,Poor Copy
38083,BCS70,bcs2_child,f009,Copy Designs: Square: Copy 2,3.0,
38084,BCS70,bcs2_child,f010,Copy Designs: Andrews Cross: Cpy 1,-3.0,Not Attempted
38085,BCS70,bcs2_child,f010,Copy Designs: Andrews Cross: Cpy 1,-2.0,Not Scorable
38086,BCS70,bcs2_child,f010,Copy Designs: Andrews Cross: Cpy 1,-1.0,Not Applicable
38087,BCS70,bcs2_child,f010,Copy Designs: Andrews Cross: Cpy 1,1.0,Good Copy
38088,BCS70,bcs2_child,f010,Copy Designs: Andrews Cross: Cpy 1,2.0,Poor Copy
38089,BCS70,bcs2_child,f010,Copy Designs: Andrews Cross: Cpy 1,3.0,
38090,BCS70,bcs2_child,f011,Copy Designs: Andrews Cross: Cpy 2,-3.0,Not Attempted
38091,BCS70,bcs2_child,f011,Copy Designs: Andrews Cross: Cpy 2,-2.0,Not Scorable
38092,BCS70,bcs2_child,f011,Copy Designs: Andrews Cross: Cpy 2,-1.0,Not Applicable
38093,BCS70,bcs2_child,f011,Copy Designs: Andrews Cross: Cpy 2,1.0,Good Copy
38094,BCS70,bcs2_child,f011,Copy Designs: Andrews Cross: Cpy 2,2.0,Poor Copy
38095,BCS70,bcs2_child,f011,Copy Designs: Andrews Cross: Cpy 2,3.0,
38096,BCS70,bcs2_child,f012,Copy Designs: Flag: Copy 1,-3.0,Not Attempted
38097,BCS70,bcs2_child,f012,Copy Designs: Flag: Copy 1,-2.0,Not Scorable
38098,BCS70,bcs2_child,f012,Copy Designs: Flag: Copy 1,-1.0,Not Applicable
38099,BCS70,bcs2_child,f012,Copy Designs: Flag: Copy 1,1.0,Good Copy
38100,BCS70,bcs2_child,f012,Copy Designs: Flag: Copy 1,2.0,Poor Copy
38101,BCS70,bcs2_child,f012,Copy Designs: Flag: Copy 1,3.0,
38102,BCS70,bcs2_child,f013,Copy Designs: Flag: Copy 2,-3.0,Not Attempted
38103,BCS70,bcs2_child,f013,Copy Designs: Flag: Copy 2,-2.0,Not Scorable
38104,BCS70,bcs2_child,f013,Copy Designs: Flag: Copy 2,-1.0,Not Applicable
38105,BCS70,bcs2_child,f013,Copy Designs: Flag: Copy 2,1.0,Good Copy
38106,BCS70,bcs2_child,f013,Copy Designs: Flag: Copy 2,2.0,Poor Copy
38107,BCS70,bcs2_child,f013,Copy Designs: Flag: Copy 2,3.0,
38108,BCS70,bcs2_child,f014,Copy Designs: Triangle: Copy 1,-3.0,Not Attempted
38109,BCS70,bcs2_child,f014,Copy Designs: Triangle: Copy 1,-2.0,Not Scorable
38110,BCS70,bcs2_child,f014,Copy Designs: Triangle: Copy 1,-1.0,Not Applicable
38111,BCS70,bcs2_child,f014,Copy Designs: Triangle: Copy 1,1.0,Good Copy
38112,BCS70,bcs2_child,f014,Copy Designs: Triangle: Copy 1,2.0,Poor Copy
38113,BCS70,bcs2_child,f014,Copy Designs: Triangle: Copy 1,3.0,
38114,BCS70,bcs2_child,f015,Copy Designs: Triangle: Copy 2,-3.0,Not Attempted
38115,BCS70,bcs2_child,f015,Copy Designs: Triangle: Copy 2,-2.0,Not Scorable
38116,BCS70,bcs2_child,f015,Copy Designs: Triangle: Copy 2,-1.0,Not Applicable
38117,BCS70,bcs2_child,f015,Copy Designs: Triangle: Copy 2,1.0,Good Copy
38118,BCS70,bcs2_child,f015,Copy Designs: Triangle: Copy 2,2.0,Poor Copy
38119,BCS70,bcs2_child,f015,Copy Designs: Triangle: Copy 2,3.0,
38120,BCS70,bcs2_child,f016,Copy Designs: Diamond: Copy 1,-3.0,Not Attempted
38121,BCS70,bcs2_child,f016,Copy Designs: Diamond: Copy 1,-2.0,Not Scorable
38122,BCS70,bcs2_child,f016,Copy Designs: Diamond: Copy 1,-1.0,Not Applicable
38123,BCS70,bcs2_child,f016,Copy Designs: Diamond: Copy 1,1.0,Good Copy
38124,BCS70,bcs2_child,f016,Copy Designs: Diamond: Copy 1,2.0,Poor Copy
38125,BCS70,bcs2_child,f016,Copy Designs: Diamond: Copy 1,3.0,
38126,BCS70,bcs2_child,f017,Copy Designs: Diamond: Copy 2,-3.0,Not Attempted
38127,BCS70,bcs2_child,f017,Copy Designs: Diamond: Copy 2,-2.0,Not Scorable
38128,BCS70,bcs2_child,f017,Copy Designs: Diamond: Copy 2,-1.0,Not Applicable
38129,BCS70,bcs2_child,f017,Copy Designs: Diamond: Copy 2,1.0,Good Copy
38130,BCS70,bcs2_child,f017,Copy Designs: Diamond: Copy 2,2.0,Poor Copy
38131,BCS70,bcs2_child,f017,Copy Designs: Diamond: Copy 2,3.0,
38132,BCS70,bcs2_child,f018,Copy Designs: Thick Cross: Copy 1,-3.0,Not Attempted
38133,BCS70,bcs2_child,f018,Copy Designs: Thick Cross: Copy 1,-2.0,Not Scorable
38134,BCS70,bcs2_child,f018,Copy Designs: Thick Cross: Copy 1,-1.0,Not Applicable
38135,BCS70,bcs2_child,f018,Copy Designs: Thick Cross: Copy 1,1.0,Good Copy
38136,BCS70,bcs2_child,f018,Copy Designs: Thick Cross: Copy 1,2.0,Poor Copy
38137,BCS70,bcs2_child,f018,Copy Designs: Thick Cross: Copy 1,3.0,
38138,BCS70,bcs2_child,f019,Copy Designs: Thick Cross: Copy 2,-3.0,Not Attempted
38139,BCS70,bcs2_child,f019,Copy Designs: Thick Cross: Copy 2,-2.0,Not Scorable
38140,BCS70,bcs2_child,f019,Copy Designs: Thick Cross: Copy 2,-1.0,Not Applicable
38141,BCS70,bcs2_child,f019,Copy Designs: Thick Cross: Copy 2,1.0,Good Copy
38142,BCS70,bcs2_child,f019,Copy Designs: Thick Cross: Copy 2,2.0,Poor Copy
38143,BCS70,bcs2_child,f019,Copy Designs: Thick Cross: Copy 2,3.0,
38144,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,-3.0,Not Attempted
38145,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,-2.0,Not Scorable
38146,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,-1.0,Not Applicable
38147,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,1.0,Male: Page 1
38148,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,2.0,Female: Page 1
38149,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,3.0,Other: Page 1
38150,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,4.0,No Response: P.1
38151,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,5.0,Male: Page 2
38152,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,6.0,Female: Page 2
38153,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,7.0,Other: Page 2
38154,BCS70,bcs2_child,f020,Human Fig.drwg.1 Childs Descript,8.0,No Response: P.2
