variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f003,Sex,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f004,Copy Designs: Circle: Copy 1,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f005,Copy Designs: Circle: Copy 2,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f006,Copy Designs: Cross: Copy 1,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f007,Copy Designs: Cross: Copy: 2,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f008,Copy Designs: Square: Copy 1,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f009,Copy Designs: Square: Copy 2,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f010,Copy Designs: Andrews Cross: Cpy 1,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f011,Copy Designs: Andrews Cross: Cpy 2,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f012,Copy Designs: Flag: Copy 1,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f013,Copy Designs: Flag: Copy 2,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f014,Copy Designs: Triangle: Copy 1,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f015,Copy Designs: Triangle: Copy 2,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f016,Copy Designs: Diamond: Copy 1,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f017,Copy Designs: Diamond: Copy 2,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f018,Copy Designs: Thick Cross: Copy 1,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f019,Copy Designs: Thick Cross: Copy 2,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f020,Human Fig.drwg.1 Childs Descript,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f021,Human Fig.drwg.1 Head,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f022,Human Fig.drwg.1 Eyes,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f023,Human Fig.drwg.1 Pupils,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f024,Human Fig.drwg.1 Eyebrows,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f025,Human Fig.drwg.1 Nose,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f026,Human Fig.drwg.1 Nostrils,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f027,Human Fig.drwg.1 Mouth,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f028,Human Fig.drwg.1 Two Lips,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f029,Human Fig.drwg.1 Ear,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f030,Human Fig.drwg.1 Hair,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f031,Human Fig.drwg.1 Neck,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f032,Human Fig.drwg.1 Body,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f033,Human Fig.drwg.1 Arms,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f034,Human Fig.drwg.1 Arms in 2 Dimen,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f035,Human Fig.drwg.1 Arms at Angle,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f036,Human Fig.drwg.1 Arms Attached,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f037,Human Fig.drwg.1 Elbow,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f038,Human Fig.drwg.1 Hands,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f039,Human Fig.drwg.1 Fingers,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f040,Human Fig.drwg.1 Corr No Fngrs,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f041,Human Fig.drwg.1 Legs,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f042,Human Fig.drwg.1 Legs in 2 Dimen,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f043,Human Fig.drwg.1 Knee,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f044,Human Fig.drwg.1 Feet,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f045,Human Fig.drwg.1 Ft.in 2 Dimen,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f046,Human Fig.drwg.1 Profile,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f047,Human Fig.drwg.1 Clothes 1 or 0,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f048,Human Fig.drwg.1 Clothes 2or3,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f049,Human Fig.drwg.1 Clothes 4: More,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f050,Human Fig.drwg.1 Good Proportion,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f051,Human Fig.drwg.1 Size of Fig,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f052,Human Fig.drwg.2 Childs Descript,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f053,Human Fig.drwg.2 Head,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f054,Human Fig.drwg.2 Eyes,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f055,Human Fi.,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f056,Human Fig.drwg.2 Eyebrows,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f057,Human Fig.drwg.2 Nose,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f058,Human Fig.drwg.2 Nostrils,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f059,Human Fig.drwg.2 Mouth,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f060,Human Fig.drwg.2 Two Lips,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f061,Human Fig.drwg.2 Ear,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f062,Human Fig.drwg.2 Hair,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f063,Human Fig.drwg.2 Neck,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f064,Human Fig.drwg.2 Body,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f065,Human Fig.drwg.2 Arms,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f066,Human Fig.drwg.2 Arms in 2 Dimen,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f067,Human Fig.drwg.2 Arms at Angle,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f068,Human Fig.drwg.2 Arms Attached,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f069,Human Fig.drwg.2 Elbow,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f070,Human Fig.drwg.2 Hands,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f071,Human Fig.drwg.2 Fingers,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f072,Human Fig.drwg.2 Corr No Fngrs,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f073,Human Fig.drwg.2 Legs,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f074,Human Fig.drwg.2 Legs in 2 Dimen,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f075,Human Fig.drwg.2 Knee,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f076,Human Fig.drwg.2 Feet,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f077,Human Fig.drwg.2 Feet in 2 Dimen,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f078,Human Fig.drwg.2 Profile,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f079,Human Fig.drwg.2 Clothes 1 or 0,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f080,Human Fig.drwg.2 Clothes 2 or 3,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f081,Human Fig.drwg.2 Clothes 4: More,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f082,Human Fig.drwg.2 Good Proportion,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f083,Human Fig.drwg.2 Size of Fig,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f084,E.P.V.T. Error Check,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f085,E.P.V.T. Base Item,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f086,E.P.V.T. Ceiling Item,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f087,E.P.V.T. Incorrect Responses,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f088,E.P.V.T. Perseveration,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f089,Profile Test Stage Recognised,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f090,Profile Test: Presence of Eyes,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f091,Profile Test: Presence of Ears,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f092,Profile Test: Presence of Nose,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f093,Profile Test: Presence of Mouth,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f094,Profile Test: Presence of Hair,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f095,Profile Test: Position of Eye,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f096,Profile Test: Position of Ear,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f097,Profile Test: Position of Hair,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f098,Profile Test: Shape of Eye,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f099,Schonell Read.test: Can Child Read,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f100,Read.test Score: Crect Response,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
f101,Read.test Score: Increct Response,2022-01-10 04:33:21.047,bcs2_child_v0001_20211101
