variable_name,value_value,value_label,avail_from_dt,table_name
f021,3,Head<body,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f021,4,Head=body,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f021,5,Head>body,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f022,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f022,-2,Not Scorab Le,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f022,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f022,0,Feature Absent,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f022,1,Feature Present,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f023,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f023,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f023,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f023,0,Feature Absent,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f023,1,Feature Present,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f024,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f024,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f024,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f024,0,Features Absent,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f024,1,Brows No Lashes,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f024,2,Lashes No Brows,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f024,3,Features Present,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,0,Any Other Position,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,1,Position 1,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,2,Position 2,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,3,Position 3,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,4,Position 4,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f025,5,Position 5,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f026,-3,Not Attemp Ted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f026,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f026,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f026,0,Feature Absent,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f026,1,Feature Present,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f027,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f027,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f027,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f027,0,Feature Absent,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f027,1,Feature Present,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f028,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f028,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f028,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f028,0,Feature Absent,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f028,1,Feature Present,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f029,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f029,-2,Not Scorab Le,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f029,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f029,0,Feature Absent,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f029,1,Feature Present,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f030,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f030,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f030,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f030,0,Feature Absent,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f030,1,Feature Present,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f031,-3,Not Attemp Ted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f031,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f031,-1,Not Applicable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f003,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f003,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f003,-1,Interviewed Overseas,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f003,1,Boy,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f003,2,Girl,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f004,-3,Not Attempted,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
f004,-2,Not Scorable,2022-01-10 04:20:04.213,bcs2_child_v0001_20211101
