variable_name,value_value,value_label,avail_from_dt,table_name
BD2CNTRY,-1,Not known,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2CNTRY,1,England,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2CNTRY,2,Wales,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2CNTRY,3,Scotland,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2CNTRY,4,Northern Ireland,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2CNTRY,12,Overseas,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,-2,Armed Services,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,-1,Unknown,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,1,North,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,2,Yorks and Humberside,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,3,East Midlands,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,4,East Anglia,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,5,South East,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,6,South West,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,7,West Midlands,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,8,North West,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,9,Wales,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,10,Scotland,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,11,Northern Ireland,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2REGN,12,Overseas,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2SOC,-1,info missing,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2SOC,0,student/voluntary work,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2SOC,1,V unskilled,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2SOC,2,IV partly-skilled,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2SOC,3,III manual,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2SOC,4,III non manual,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2SOC,5,II managerial and Technical,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2SOC,6,I professional,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2READ,-1,Not computed,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2RDAGE,-1,Not computed,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2IN,0,no info,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2IN,1,info at age 5,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MAL,-2,not stated any questions,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MAL,-1,incomplete info,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALA,-2,not stated any questions,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALA,-1,incomplete info,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALA,1,0-80th centile - normal behaviour,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALA,2,81st-95th centile-mod. behaviour probs,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALA,3,95+ centile - severe behaviour problems,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALB,-2,not stated any questions,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALB,-1,incomplete info,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALB,1,score of 0-7,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MALB,2,score of 8+,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2N,0,no info,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2N,1,info at age 5,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2RUTT,-2,not stated any questions,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2RUTT,-1,incomplete info,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MRUTG,-2,not stated any questions,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MRUTG,-1,incomplete info,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MRUTG,1,0-80th centile - normal behaviour,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MRUTG,2,81st-95th centile-mod. behaviour probs,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
BD2MRUTG,3,95+ centile - severe behaviour problems,2022-01-10 05:24:42.537,bcs2_derived_v0001_20211101
