variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e001,Singleton or Twin,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e004,Childs Place Of Residence,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e005,Number Of Persons in Household,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e006,Number Of Children Older Than Child,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e007,Number of Children Younger Than Child,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e008,Age of Mother,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e009,Age of Father,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e010,Relationship to Child of Mother Figure,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e010a,Changes in Situation,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e010b,Age at Change (YR),2022-01-10 04:39:47.620,bcs2_v0001_20211101
e011,Relationship to Child of Father Figure,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e011a,Changes in Situation,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e011b,Age at Change (YR),2022-01-10 04:39:47.620,bcs2_v0001_20211101
e012a,Birthweight in Ounces,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e012b,Gestation,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e012c,Method of Delivery,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e013,Number of Subsequent Children,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e014a,Child 2 Sex,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e014b,Child 2 Month of Birth,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e014c,Child 2 Year of Birth 1970-75,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e014d,Child 2 Birthweight (oz),2022-01-10 04:39:47.620,bcs2_v0001_20211101
e014e,Child 2 Gestation,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e014f,Child 2 Method of Delivery,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e014g,Child 2 Survival,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e015a,Child 3 Sex,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e015b,Child 3 Month of Birth,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e015c,Child 3 Year of Birth 1970-75,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e015d,Child 3 Birthweight,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e015e,Child 3 Gestation,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e015f,Child 3 Method Of Delivery,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e015g,Child 3 Survival,2022-01-10 04:39:47.620,bcs2_v0001_20211101
e016a,Child 4 Sex,2022-01-10 04:39:47.620,bcs2_v0001_20211101
