,Source,Block Name,Variable Name,Variable Description,Value,Value Description
38787,BCS70,bcs2_history,study_id_e,,,
38788,BCS70,bcs2_history,dhquest,Was Developmental History Questionnaire completed?,1.0,Yes
38789,BCS70,bcs2_history,dhquest,Was Developmental History Questionnaire completed?,2.0,No
38790,BCS70,bcs2_history,var5502,Singleton or Twin?,0.0,Singleton
38791,BCS70,bcs2_history,var5502,Singleton or Twin?,1.0,First Twin
38792,BCS70,bcs2_history,var5502,Singleton or Twin?,2.0,Second Twin
38793,BCS70,bcs2_history,var5503,Sex,1.0,Boy
38794,BCS70,bcs2_history,var5503,Sex,2.0,Girl
38795,BCS70,bcs2_history,var5506,Any Home Visit from Health Visitor?,-3.0,Not stated
38796,BCS70,bcs2_history,var5506,Any Home Visit from Health Visitor?,-1.0,Not applicable
38797,BCS70,bcs2_history,var5506,Any Home Visit from Health Visitor?,0.0,No Records
38798,BCS70,bcs2_history,var5506,Any Home Visit from Health Visitor?,1.0,Yes
38799,BCS70,bcs2_history,var5506,Any Home Visit from Health Visitor?,2.0,No
38800,BCS70,bcs2_history,var5506,Any Home Visit from Health Visitor?,3.0,Records Unclear
38801,BCS70,bcs2_history,var5507,Any Attendance at Child Health Clinic?,-3.0,Not stated
38802,BCS70,bcs2_history,var5507,Any Attendance at Child Health Clinic?,-1.0,Not applicable
38803,BCS70,bcs2_history,var5507,Any Attendance at Child Health Clinic?,0.0,No Records
38804,BCS70,bcs2_history,var5507,Any Attendance at Child Health Clinic?,1.0,Yes
38805,BCS70,bcs2_history,var5507,Any Attendance at Child Health Clinic?,2.0,No
38806,BCS70,bcs2_history,var5507,Any Attendance at Child Health Clinic?,3.0,Records Unclear
38807,BCS70,bcs2_history,var5508,Date of First Home Visit by Health Visitor (YMMDD format),-3.0,Not stated
38808,BCS70,bcs2_history,var5508,Date of First Home Visit by Health Visitor (YMMDD format),-1.0,Not applicable
38809,BCS70,bcs2_history,var5508,Date of First Home Visit by Health Visitor (YMMDD format),96.0,Received Home Visit
38810,BCS70,bcs2_history,var5508,Date of First Home Visit by Health Visitor (YMMDD format),97.0,No Home Visit
38811,BCS70,bcs2_history,var5508,Date of First Home Visit by Health Visitor (YMMDD format),98.0,Not Known
38812,BCS70,bcs2_history,var5511,Date first attended Child Health Clinic (YMMDD format),-3.0,Not stated
38813,BCS70,bcs2_history,var5511,Date first attended Child Health Clinic (YMMDD format),-1.0,Not applicable
38814,BCS70,bcs2_history,var5511,Date first attended Child Health Clinic (YMMDD format),96.0,Attended CHC
38815,BCS70,bcs2_history,var5511,Date first attended Child Health Clinic (YMMDD format),97.0,Not attended CHC
38816,BCS70,bcs2_history,var5511,Date first attended Child Health Clinic (YMMDD format),98.0,Not Known
38817,BCS70,bcs2_history,var5514,Number of HV visits 1st year,-3.0,Not stated
38818,BCS70,bcs2_history,var5514,Number of HV visits 1st year,-2.0,Not known
38819,BCS70,bcs2_history,var5514,Number of HV visits 1st year,-1.0,Not applicable
38820,BCS70,bcs2_history,var5514,Number of HV visits 1st year,0.0,None
38821,BCS70,bcs2_history,var5514,Number of HV visits 1st year,96.0,Blank but visited
38822,BCS70,bcs2_history,var5514,Number of HV visits 1st year,97.0,Never visited
38823,BCS70,bcs2_history,var5514,Number of HV visits 1st year,98.0,"Blank, situation not known"
38824,BCS70,bcs2_history,var5515,Number of HV visits 1st year,-3.0,Not stated
38825,BCS70,bcs2_history,var5515,Number of HV visits 1st year,-2.0,Not known
38826,BCS70,bcs2_history,var5515,Number of HV visits 1st year,-1.0,Not applicable
38827,BCS70,bcs2_history,var5515,Number of HV visits 1st year,0.0,None
38828,BCS70,bcs2_history,var5515,Number of HV visits 1st year,96.0,Blank but visited
38829,BCS70,bcs2_history,var5515,Number of HV visits 1st year,97.0,Never visited
38830,BCS70,bcs2_history,var5515,Number of HV visits 1st year,98.0,"Blank, situation not known"
38831,BCS70,bcs2_history,var5516,Number of HV visits 2nd year,-3.0,Not stated
38832,BCS70,bcs2_history,var5516,Number of HV visits 2nd year,-2.0,Not known
38833,BCS70,bcs2_history,var5516,Number of HV visits 2nd year,-1.0,Not applicable
38834,BCS70,bcs2_history,var5516,Number of HV visits 2nd year,0.0,None
38835,BCS70,bcs2_history,var5516,Number of HV visits 2nd year,96.0,Blank but visited
38836,BCS70,bcs2_history,var5516,Number of HV visits 2nd year,97.0,Never visited
38837,BCS70,bcs2_history,var5516,Number of HV visits 2nd year,98.0,"Blank, situation not known"
38838,BCS70,bcs2_history,var5517,Number of HV visits 2nd year,-3.0,Not stated
38839,BCS70,bcs2_history,var5517,Number of HV visits 2nd year,-2.0,Not known
38840,BCS70,bcs2_history,var5517,Number of HV visits 2nd year,-1.0,Not applicable
38841,BCS70,bcs2_history,var5517,Number of HV visits 2nd year,0.0,None
38842,BCS70,bcs2_history,var5517,Number of HV visits 2nd year,96.0,Blank but visited
38843,BCS70,bcs2_history,var5517,Number of HV visits 2nd year,97.0,Never visited
38844,BCS70,bcs2_history,var5517,Number of HV visits 2nd year,98.0,"Blank, situation not known"
38845,BCS70,bcs2_history,var5518,Number of HV visits 3rd year,-3.0,Not stated
38846,BCS70,bcs2_history,var5518,Number of HV visits 3rd year,-2.0,Not known
38847,BCS70,bcs2_history,var5518,Number of HV visits 3rd year,-1.0,Not applicable
38848,BCS70,bcs2_history,var5518,Number of HV visits 3rd year,0.0,None
