variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
DHQUEST,Was Developmental History Questionnaire completed?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5502,Singleton or Twin?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5503,Sex,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5506,Any Home Visit from Health Visitor?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5507,Any Attendance at Child Health Clinic?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5508,Date of First Home Visit by Health Visitor (YMMDD format),2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5511,Date first attended Child Health Clinic (YMMDD format),2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5514,Number of HV visits 1st year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5515,Number of HV visits 1st year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5516,Number of HV visits 2nd year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5517,Number of HV visits 2nd year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5518,Number of HV visits 3rd year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5519,Number of HV visits 3rd year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5520,Number of HV visits 4th year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5521,Number of HV visits 4th year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5522,Total HV visits since birth,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5523,Number of CHC attendances 1st year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5524,Number of CHC attendances 1st year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5525,Number of CHC attendances 2nd year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5526,Number of CHC attendances 2nd year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5527,Number of CHC attendances 3rd year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5528,Number of CHC attendances 3rd year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5529,Number of CHC attendances 4th year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5530,Number of CHC attendances 4th year,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5531,Total CHC attendances since birth,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5532,Number of 'no-access' health visitor home visits,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5533,Any Risk Factor recorded on Health Visitor Records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5534,Any Risk Factor recorded on CHC Records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5541,Is CM's birthweight logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5542,Actual birthweight (gms) logged on HV/CHC records,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5543,Is gestational maturity logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5544,Gestational maturity (weeks) logged on HV/CHC records,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5545,Any congenital defect logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5546,Any screening for PKU logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5547,Any screening for CDH (hip) logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5548,Any screening for hearing logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5549,Any screening for squint logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5550,Any screening for vision logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5551,Any general development check-ups logged on HV or CHC records?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5552,Details:observation of development problem,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5553,Recorded to have been seen for specialist hearing assessment?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5554,Recorded to have been seen for specialist visual assessment?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5555,Recorded to have been seen for specialist development assessment?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5556,Details of assessments used in HI questionnaire?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5557,Recorded to have attended hosp.outpat/spec clinic?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5558,Recorded to have been admited to hospital?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5559,Recorded to have been in care,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5560,Details of hospital outpatient admissions used in HI questionnaire?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5561,Rcrdd to have suffrd/suspected to have had a non-accid injury?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5562,Recorded to have had name on any register of any sort?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5564,Recorded that LEA ever decided CM in need of special education?,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
VAR5567,In summary,2022-01-10 04:43:01.820,bcs2_history_v0001_20211101
