,Source,Block Name,Variable Name,Variable Description,Value,Value Description
39804,BCS70,bcs2_maternal_sc,study_id_e,,,
39805,BCS70,bcs2_maternal_sc,d002,Singleton or Twin,-4.0,Vague
39806,BCS70,bcs2_maternal_sc,d002,Singleton or Twin,-3.0,Not Stated
39807,BCS70,bcs2_maternal_sc,d002,Singleton or Twin,-2.0,Not Known
39808,BCS70,bcs2_maternal_sc,d002,Singleton or Twin,-1.0,Not Applicable
39809,BCS70,bcs2_maternal_sc,d002,Singleton or Twin,0.0,Singleton
39810,BCS70,bcs2_maternal_sc,d002,Singleton or Twin,1.0,1st Twin
39811,BCS70,bcs2_maternal_sc,d002,Singleton or Twin,2.0,2nd Twin
39812,BCS70,bcs2_maternal_sc,d003,Childs Sex,-4.0,Vague
39813,BCS70,bcs2_maternal_sc,d003,Childs Sex,-3.0,Not Stated
39814,BCS70,bcs2_maternal_sc,d003,Childs Sex,-2.0,Not Known
39815,BCS70,bcs2_maternal_sc,d003,Childs Sex,-1.0,Not Applicable
39816,BCS70,bcs2_maternal_sc,d003,Childs Sex,1.0,Boy
39817,BCS70,bcs2_maternal_sc,d003,Childs Sex,2.0,Girl
39818,BCS70,bcs2_maternal_sc,d006,Child Has Headaches,-4.0,Vague
39819,BCS70,bcs2_maternal_sc,d006,Child Has Headaches,-3.0,Not Stated
39820,BCS70,bcs2_maternal_sc,d006,Child Has Headaches,-2.0,Not Known
39821,BCS70,bcs2_maternal_sc,d006,Child Has Headaches,-1.0,Not Applicable
39822,BCS70,bcs2_maternal_sc,d006,Child Has Headaches,1.0,Never in Last Yr
39823,BCS70,bcs2_maternal_sc,d006,Child Has Headaches,2.0,Lt 1-Mth
39824,BCS70,bcs2_maternal_sc,d006,Child Has Headaches,3.0,Ge 1-Mth
39825,BCS70,bcs2_maternal_sc,d006,Child Has Headaches,4.0,Ge 1-Wk
39826,BCS70,bcs2_maternal_sc,d007,Child Has Stomach Ache or Vomits,-4.0,Vague
39827,BCS70,bcs2_maternal_sc,d007,Child Has Stomach Ache or Vomits,-3.0,Not Stated
39828,BCS70,bcs2_maternal_sc,d007,Child Has Stomach Ache or Vomits,-2.0,Not Known
39829,BCS70,bcs2_maternal_sc,d007,Child Has Stomach Ache or Vomits,-1.0,Not Applicable
39830,BCS70,bcs2_maternal_sc,d007,Child Has Stomach Ache or Vomits,1.0,Never in Last Yr
39831,BCS70,bcs2_maternal_sc,d007,Child Has Stomach Ache or Vomits,2.0,Lt 1-Mth
39832,BCS70,bcs2_maternal_sc,d007,Child Has Stomach Ache or Vomits,3.0,Ge 1-Mth
39833,BCS70,bcs2_maternal_sc,d007,Child Has Stomach Ache or Vomits,4.0,Ge 1-Wk
39834,BCS70,bcs2_maternal_sc,d008,Child Has Biliousness,-4.0,Vague
39835,BCS70,bcs2_maternal_sc,d008,Child Has Biliousness,-3.0,Not Stated
39836,BCS70,bcs2_maternal_sc,d008,Child Has Biliousness,-2.0,Not Known
39837,BCS70,bcs2_maternal_sc,d008,Child Has Biliousness,-1.0,Not Applicable
39838,BCS70,bcs2_maternal_sc,d008,Child Has Biliousness,1.0,Never in Last Yr
39839,BCS70,bcs2_maternal_sc,d008,Child Has Biliousness,2.0,Lt 1-Mth
39840,BCS70,bcs2_maternal_sc,d008,Child Has Biliousness,3.0,Ge 1-Mth
39841,BCS70,bcs2_maternal_sc,d008,Child Has Biliousness,4.0,Ge 1-Wk
39842,BCS70,bcs2_maternal_sc,d009,Child Has Temper Tantrums,-4.0,Vague
39843,BCS70,bcs2_maternal_sc,d009,Child Has Temper Tantrums,-3.0,Not Stated
39844,BCS70,bcs2_maternal_sc,d009,Child Has Temper Tantrums,-2.0,Not Known
39845,BCS70,bcs2_maternal_sc,d009,Child Has Temper Tantrums,-1.0,Not Applicable
39846,BCS70,bcs2_maternal_sc,d009,Child Has Temper Tantrums,1.0,Never in Last Yr
39847,BCS70,bcs2_maternal_sc,d009,Child Has Temper Tantrums,2.0,Lt 1-Mth
39848,BCS70,bcs2_maternal_sc,d009,Child Has Temper Tantrums,3.0,Ge 1-Mth
39849,BCS70,bcs2_maternal_sc,d009,Child Has Temper Tantrums,4.0,Ge 1-Wk
39850,BCS70,bcs2_maternal_sc,d010,Child Has Sleeping Difficulty,-4.0,Vague
39851,BCS70,bcs2_maternal_sc,d010,Child Has Sleeping Difficulty,-3.0,Not Stated
39852,BCS70,bcs2_maternal_sc,d010,Child Has Sleeping Difficulty,-2.0,Not Known
39853,BCS70,bcs2_maternal_sc,d010,Child Has Sleeping Difficulty,-1.0,Not Applicable
