variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d002,Singleton or Twin,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d003,Childs Sex,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d006,Child Has Headaches,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d007,Child Has Stomach Ache or Vomits,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d008,Child Has Biliousness,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d009,Child Has Temper Tantrums,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d010,Child Has Sleeping Difficulty,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d011,Difficulty Getting Off to Sleep,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d012,Waking During the Night,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d013,Waking Early in the Morning,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d014,Nightmares or Night Terrors,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d015,Sleepwalking,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d016a,Does Child Wet Bed at Night,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d016b,Does Child Wet Bed at Night,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d017a,Daytime Wetting,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d017b,Daytime Wetting,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d018a,Soiling,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d018b,Soiling,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d019,Eating or Appetite Problems,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d020,Not Eating Enough,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d021,Overeating,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d022,Faddiness,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d023,Other Eating Problem,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d024a,Attends School,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d024b,Tears on Arrival at School,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d025,Restless,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
d026,Squirmy,2022-01-10 04:16:51.980,bcs2_maternal_sc_v0001_20211101
