variable_name,value_value,value_label,avail_from_dt,table_name
d041,-1,Not Applicable,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d041,1,Does Not Apply,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d041,2,Applies Somewhat,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d041,3,Certnly Applies,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d042,-4,Vague,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d042,-3,Not Stated,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d042,-2,Not Known,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d042,-1,Not Applicable,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d042,1,Does Not Apply,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d042,2,Applies Somewhat,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d042,3,Certnly Applies,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d043,-4,Vague,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d043,-3,Not Stated,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d043,-2,Not Known,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d043,-1,Not Applicable,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d043,1,Does Not Apply,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d043,2,Applies Somewhat,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d043,3,Certnly Applies,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d044,-4,Vague,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
d044,-3,Not Stated,2022-01-10 04:00:40.980,bcs2_maternal_sc_v0001_20211101
