,Source,Block Name,Variable Name,Variable Description,Value,Value Description
42724,BCS70,bcs3_audiometry,study_id_e,,,
42725,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,-4.0,No audiometry test performed at all
42726,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,-2.0,"Not sweep audiogram, no tone test"
42727,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,1.0,Minimal loss both ears
42728,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,2.0,Moderate loss both ears
42729,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,3.0,Severe loss both ears
42730,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,4.0,Moderate and severe
42731,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,5.0,Minimal and severe
42732,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,6.0,Minimal and moderate
42733,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,7.0,"1 or 2 ab ears on sweep audio, no tone"
42734,BCS70,bcs3_audiometry,ncdkid,Summary of audiogram results,8.0,Passed sweep audiogram both ears
42735,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,-1.0,Not stated/no audiogram
42736,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,0.0,"No sweep audio done, no tone test"
42737,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,1.0,"Normal on sweep audio, no tone test"
42738,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,2.0,"Abnormal on sweep audio, tone test done"
42739,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,3.0,Ear not tested on sweep nor pure-tone
42740,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,4.0,"Normal on sweep audio, pure-tone done"
42741,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,5.0,"Abnormal on sweep audio, no tone done"
42742,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,6.0,"Nosweep audio done, pure-tone test done"
42743,BCS70,bcs3_audiometry,a103a,Sweep Right Ear - Expanded Categories,7.0,"Ear not tested on audio, pure-tone done"
42744,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,-1.0,Not stated/no audiogram
42745,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,0.0,"No sweep audio done, no tone test"
42746,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,1.0,"Normal on sweep audio, no tone test"
42747,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,2.0,"Abnormal on sweep audio, tone test done"
42748,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,3.0,Ear not tested on sweep nor pure-tone
42749,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,4.0,"Normal on sweep audio, pure-tone done"
42750,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,5.0,"Abnormal on sweep audio, no tone done"
42751,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,6.0,"Nosweep audio done, pure-tone test done"
42752,BCS70,bcs3_audiometry,a105a,Sweep Left Ear - Expanded Categories,7.0,"Ear not tested on audio, pure-tone done"
42753,BCS70,bcs3_audiometry,rtotloss,Total Right Freqs Lost(Needs RCOUNT),-1.0,No right freq tests performed
42754,BCS70,bcs3_audiometry,rcount,No of Right Freqs Performed,-1.0,No pure-tone test done on either ear
42755,BCS70,bcs3_audiometry,ltotloss,Total Left Freqs Lost(Needs LCOUNT),-1.0,No left freq tests performed
42756,BCS70,bcs3_audiometry,lcount,No of Left Freqs Performed,-1.0,No pure-tone test done on either ear
42757,BCS70,bcs3_audiometry,v3,None,,
42758,BCS70,bcs3_audiometry,avail_from_dt,,,
