variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4CNTRY,1986: Country of Interview,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4REGN,1986: Standard Region of residence,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4GOR,1986: Government Office Region of residence,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4PSOC,1986: Social class from fathers occup (or mothers if missing) (t11.2 + t11.9),2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4AGE,1986: Age of cohort member when sat assessments (from fdoc_mt fdoc_yr),2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4RREAD,1986: Raw Vocabulary Test score (cv01 to cv075),2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4READ,1986: Standardised Vocabulary Test score (b16read),2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4RDAGE,1986: Estimated reading age at age 16 (derived from zb16read and average age),2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4MMAL,1986: (CM's parent) total Malaise score,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4MMALA,1986: (CM's parent) total Malaise score - grouped based on distribution,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4MMALB,1986: (CM's parent) total Malaise score grouped ( age 16),2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4MAL,1986: (CM) total Malaise score (22 questions),2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4MALG,1986: (CM) total Malaise score (22 questions) grouped,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4IN,1986: CM's parent gave information on at least 1 Rutter question,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4RUTT,1986: (CM's parent) total Rutter behaviour score,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4MRUTG,1986: (CM's parent)  total Rutter behaviour score  - grouped,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
BD4STYPE,DV: School Type Age 16 (derived from STYPE,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
V3,None,2022-01-10 05:54:06.523,bcs4_derived_v0001_20211101
