,Source,Block Name,Variable Name,Variable Description,Value,Value Description
65449,BCS70,bcs5,study_id_e,,,
65450,BCS70,bcs5,sex,Sex from Address File,1.0,Male
65451,BCS70,bcs5,sex,Sex from Address File,2.0,Female
65452,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,-8.0,Inappropriate Answer
65453,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,-2.0,Does Not Apply
65454,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,-1.0,Not Answered
65455,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,1.0,Strongly agree
65456,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,2.0,Agree
65457,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,3.0,Uncertain
65458,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,4.0,Disagree
65459,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,5.0,Strongly disagree
65460,BCS70,bcs5,b960120,The law should be obeyed even if a particular law is wrong,8.0,
65461,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,-8.0,Inappropriate Answer
65462,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,-2.0,Does Not Apply
65463,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,-1.0,Not Answered
65464,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,1.0,Strongly agree
65465,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,2.0,Agree
65466,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,3.0,Uncertain
65467,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,4.0,Disagree
65468,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,5.0,Strongly disagree
65469,BCS70,bcs5,b960121,There should be more women bosses in important jobs inbusiness & industry,8.0,
65470,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,-8.0,Inappropriate Answer
65471,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,-2.0,Does Not Apply
65472,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,-1.0,Not Answered
65473,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,1.0,Strongly agree
65474,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,2.0,Agree
65475,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,3.0,Uncertain
65476,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,4.0,Disagree
65477,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,5.0,Strongly disagree
65478,BCS70,bcs5,b960122,Having almost any job is better than being unemployed,8.0,
65479,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,-8.0,Inappropriate Answer
65480,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,-2.0,Does Not Apply
65481,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,-1.0,Not Answered
65482,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,1.0,Strongly agree
65483,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,2.0,Agree
65484,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,3.0,Uncertain
65485,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,4.0,Disagree
65486,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,5.0,Strongly disagree
65487,BCS70,bcs5,b960123,For some crimes the death penalty most appropriate,8.0,
65488,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,-8.0,Inappropriate Answer
65489,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,-2.0,Does Not Apply
65490,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,-1.0,Not Answered
65491,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,1.0,Strongly agree
65492,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,2.0,Agree
65493,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,3.0,Uncertain
65494,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,4.0,Disagree
65495,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,5.0,Strongly disagree
65496,BCS70,bcs5,b960124,When both partners work full-time the man should takeequal share of domestic chores,8.0,
65497,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,-8.0,Inappropriate Answer
65498,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,-2.0,Does Not Apply
65499,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,-1.0,Not Answered
65500,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,1.0,Strongly agree
65501,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,2.0,Agree
65502,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,3.0,Uncertain
65503,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,4.0,Disagree
65504,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,5.0,Strongly disagree
65505,BCS70,bcs5,b960125,It does not really make much difference which politicalparty is in power in GB,8.0,
65506,BCS70,bcs5,b960126,Divorce is too easy to get these days,-8.0,Inappropriate Answer
65507,BCS70,bcs5,b960126,Divorce is too easy to get these days,-2.0,Does Not Apply
65508,BCS70,bcs5,b960126,Divorce is too easy to get these days,-1.0,Not Answered
65509,BCS70,bcs5,b960126,Divorce is too easy to get these days,1.0,Strongly agree
65510,BCS70,bcs5,b960126,Divorce is too easy to get these days,2.0,Agree
65511,BCS70,bcs5,b960126,Divorce is too easy to get these days,3.0,Uncertain
65512,BCS70,bcs5,b960126,Divorce is too easy to get these days,4.0,Disagree
65513,BCS70,bcs5,b960126,Divorce is too easy to get these days,5.0,Strongly disagree
65514,BCS70,bcs5,b960126,Divorce is too easy to get these days,8.0,
