variable_name,value_value,value_label,avail_from_dt,table_name
othbread,4,1-2 days a week,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg2,16,Armed forces,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
sc2,1,I Professional,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
sc2,2,II Managerial-technical,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
sc2,3.1,IIINM Skilled non-manual,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
sc2,3.2,IIIM Skilled manual,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
sc2,4,IV Partly skilled,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
sc2,5,V Unskilled,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
sc2,6,Others,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
iempsta3,1,Employee,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
iempsta3,2,Supervisor/Foreman,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
iempsta3,3,"Self-employed, no employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
iempsta3,4,"Self-employed, <25 employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
iempsta3,5,"Self-employed, >=25 employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
iempsta3,6,"Manager, <25 employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
iempsta3,7,"Manager, >=25 employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
empstat3,1,Employee,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
empstat3,2,Supervisor/Foreman,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
empstat3,3,"Self-employed, no employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
empstat3,4,"Self-employed, <25 employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
empstat3,5,"Self-employed, >=25 employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
empstat3,6,"Manager, <25 employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
empstat3,7,"Manager, >=25 employees",2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,1,2 Managers - large estab,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,1.1,Employers â€“ large estab,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,2.1,Employers â€“ small estab,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,2.2,Managers - small estab,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,3,Prof: Self-employed,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,4,Prof: Employees,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,5.1,Intermed non-man: Ancilliary,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,5.2,Intermed non-man: Foremen,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,6,Junior non-manual,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,7,Personal service,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,8,Foremen+supervisors: manual,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,9,Skilled manual,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,10,Semi-skilled manual,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,11,Unskilled manual,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,12,Own account: non prof,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,13,Farmers:employers+mngrs,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,14,Farmers: own account,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
seg3,15,Agricultural workers,2022-01-10 06:55:48.830,bcs6_v0001_5_20211101
