variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
DMSex,Cohort Member's sex,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litmc20,BCS70 2004: Literacy MC assessment: total score for all CMs - assume lower tier would answer upper tier incorrect,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litmc30,BCS70 2004: Literacy MC assessment: total score for all CMs over 30 questions - assume lt answer ut incorrect,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litor01a,BCS70 2004: Literacy OR Assessment: question 01a (FL),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litor01b,BCS70 2004: Literacy OR Assessment: question 01b (FL),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litor02a,BCS70 2004: Literacy OR Assessment: question 02a (L1),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litor02b,BCS70 2004: Literacy OR Assessment: question 02b (L1),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litor03a,BCS70 2004: Literacy OR Assessment: question 03a (L1),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litor03b,BCS70 2004: Literacy OR Assessment: question 03b (L2),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litor03c,BCS70 2004: Literacy OR Assessment: question 03c (L2),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litort,BCS70 2004: Literacy OR Assessment: total score for all CMs on 7 literacy questions,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litall27,BCS70 2004: Literacy assessment - total score for MC and OR questions litmc20 + litort - max 27,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litall37,BCS70 2004: Literacy assessment - total score for MC and OR questions litmc30 + litort - max 37,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litlev,BCS70 2004: Literacy MC Assessment - CMs performance assessed by Level,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
litlevg,BCS70 2004: Literacy MC Assessment - CMs performance assessed by Level,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
nummct,BCS70 2004: Numeracy MC Assessment - total score for 17 MC questions,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numor01a,BCS70 2004: Numeracy OR Assessment - question 01a (FL),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numor01b,BCS70 2004: Numeracy OR Assessment - question 01b (FL),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numor02a,BCS70 2004: Numeracy OR Assessment - question 02a (L1),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numor03a,BCS70 2004: Numeracy OR Assessment - question 03a (L1),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numor04a,BCS70 2004: Numeracy OR Assessment - question 04a (L2),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numor04b,BCS70 2004: Numeracy OR Assessment - question 04b (L2),2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numort,BCS70 2004: Numeracy OR Assessment - total score for 6 questions,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numall,BCS70 2004: Numeracy MC and OR assessment - total score for all 23 questions,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
NUMLEV,BCS70 2004: Numeracy MC assessment - CM performance assessed by level,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
numlevg,BCS70 2004: Numeracy MC assessment - CM performance assessed by level,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
V3,None,2022-01-10 07:24:52.570,bcs7_adult_assessment_basic_skills_v0001_20211101
