,Source,Block Name,Variable Name,Variable Description,Value,Value Description
94927,BCS70,bcs7_child_assessment_bas,study_id_e,,,
94928,BCS70,bcs7_child_assessment_bas,childid,Child number,-9.0,Refusal
94929,BCS70,bcs7_child_assessment_bas,childid,Child number,-8.0,Don't Know
94930,BCS70,bcs7_child_assessment_bas,nmonth,Child's age (month part),-9.0,Refusal
94931,BCS70,bcs7_child_assessment_bas,nmonth,Child's age (month part),-8.0,Don't Know
94932,BCS70,bcs7_child_assessment_bas,sex,Child's sex,-9.0,Refusal
94933,BCS70,bcs7_child_assessment_bas,sex,Child's sex,-8.0,Don't Know
94934,BCS70,bcs7_child_assessment_bas,sex,Child's sex,1.0,Male
94935,BCS70,bcs7_child_assessment_bas,sex,Child's sex,2.0,Female
94936,BCS70,bcs7_child_assessment_bas,bstart,Beginning of Early Year assessment,1.0,Continue
94937,BCS70,bcs7_child_assessment_bas,pconsent,Whether parental permission has been granted for this task,1.0,Yes
94938,BCS70,bcs7_child_assessment_bas,pconsent,Whether parental permission has been granted for this task,2.0,No
94939,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,-9.0,refusal
94940,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,-8.0,dont know
94941,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,-7.0,Item not asked / other missing
94942,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,-1.0,N/a child not aged 3-5 years or parental consent withheld
94943,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,1.0,Correct: Shoe
94944,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,2.0,"Acceptable: name of any type of shoe (eg trainer, boot)"
94945,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,3.0,Incorrect: thing you can wear (probe)
94946,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,4.0,Incorrect: put on your foot (probe)
94947,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,5.0,Incorrect: Leather (probe)
94948,BCS70,bcs7_child_assessment_bas,basnv01,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV01: SHOE,6.0,Incorrect: other
94949,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,-9.0,refusal
94950,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,-8.0,dont know
94951,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,-7.0,Item not asked / other missing
94952,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,-1.0,N/a child not aged 3-5 years or parental consent withheld
94953,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,1.0,Correct: Chair
94954,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,2.0,Acceptable: Seat
94955,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,3.0,Incorrect: Stool (probe)
94956,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,4.0,Incorrect: sit on (probe)
94957,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,5.0,Incorrect: Wood (probe)
94958,BCS70,bcs7_child_assessment_bas,basnv02,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV02:CHAIR,6.0,Incorrect: other
94959,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,-9.0,refusal
94960,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,-8.0,dont know
94961,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,-7.0,Item not asked / other missing
94962,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,-1.0,N/a child not aged 3-5 years or parental consent withheld
94963,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,1.0,Correct: Bicycle
94964,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,2.0,Acceptable: Bike
94965,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,3.0,"Acceptable: name of any type bicycle, if bicycle/bike incl"
94966,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,4.0,Incorrect: thing with wheels (probe)
94967,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,5.0,Incorrect: thing you can ride (probe)
94968,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,6.0,Incorrect: Tricycle
94969,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,7.0,Incorrect: Vehicle
94970,BCS70,bcs7_child_assessment_bas,basnv03,BCS70 3004 P&C Survey: BAS II Naming Vocabulary NV03:BICYCLE,8.0,Incorrect: other
94971,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,-9.0,refusal
94972,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,-8.0,dont know
94973,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,-7.0,Item not asked / other missing
94974,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,-1.0,N/a child not aged 3-5 years or parental consent withheld
94975,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,1.0,Correct: book
94976,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,2.0,"Acceptable: name of any type of book, provided book is incl."
94977,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,3.0,Incorrect: Story (probe)
94978,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,4.0,Incorrect: Paper (probe)
94979,BCS70,bcs7_child_assessment_bas,basnv04,BCS70 2004 P&C Survey: BAS II Naming Vocabulary NV04:BOOK,5.0,Incorrect: thing you can read (probe)
