,Source,Block Name,Variable Name,Variable Description,Value,Value Description
163182,BCS70,bcs7_derived,study_id_e,,,
163183,BCS70,bcs7_derived,bd7cntry,Country of Interview  (2004),-1.0,Not known
163184,BCS70,bcs7_derived,bd7cntry,Country of Interview  (2004),1.0,England
163185,BCS70,bcs7_derived,bd7cntry,Country of Interview  (2004),2.0,Wales
163186,BCS70,bcs7_derived,bd7cntry,Country of Interview  (2004),3.0,Scotland
163187,BCS70,bcs7_derived,bd7cntry,Country of Interview  (2004),4.0,Northern Ireland
163188,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,-2.0,Armed Services
163189,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,-1.0,Unknown
163190,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,1.0,North
163191,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,2.0,Yorks and Humberside
163192,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,3.0,East Midlands
163193,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,4.0,East Anglia
163194,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,5.0,South East
163195,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,6.0,South West
163196,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,7.0,West Midlands
163197,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,8.0,North West
163198,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,9.0,Wales
163199,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,10.0,Scotland
163200,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,11.0,Northern Ireland
163201,BCS70,bcs7_derived,bd7regn,2004: Standard Region of residence,12.0,Overseas
163202,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,-1.0,Unknown
163203,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,1.0,North East
163204,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,2.0,North West
163205,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,3.0,Yorkshire and Humberside
163206,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,4.0,East Midlands
163207,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,5.0,West Midlands
163208,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,6.0,East of England
163209,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,7.0,London
163210,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,8.0,South East
163211,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,9.0,South West
163212,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,10.0,Wales
163213,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,11.0,Scotland
163214,BCS70,bcs7_derived,bd7gor,2004: Government Office Region of residence,12.0,Northern Ireland
163215,BCS70,bcs7_derived,bd7mal,2004: Total Malaise score (9 questions),-2.0,not stated any questions
163216,BCS70,bcs7_derived,bd7mal,2004: Total Malaise score (9 questions),-1.0,incomplete info
163217,BCS70,bcs7_derived,bd7malg,2004: Total Malaise score (9 questions) grouped,-2.0,not stated any questions
163218,BCS70,bcs7_derived,bd7malg,2004: Total Malaise score (9 questions) grouped,-1.0,incomplete info
163219,BCS70,bcs7_derived,bd7malg,2004: Total Malaise score (9 questions) grouped,1.0,0-3
163220,BCS70,bcs7_derived,bd7malg,2004: Total Malaise score (9 questions) grouped,2.0,4+
163221,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,-1.0,Level not calculable
163222,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,0.0,No academic qualification
163223,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,1.0,GCSE D-E
163224,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,2.0,Other Scottish Quals
163225,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,3.0,"GCSE A-C, Scot Standards/Intermediate 1"
163226,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,4.0,Scot Intermediate 2 / AS Levels or 1 A
163227,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,5.0,"2+ A Levels, Scot Higher/6th"
163228,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,6.0,Diploma
163229,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,7.0,"Degree, PGCE, Other Degree qual"
163230,BCS70,bcs7_derived,bd7achq1,2004: Highest Academic Qualification CM obtained in 2004 survey,8.0,Higher Degree
163231,BCS70,bcs7_derived,bd7anvq1,2004: Highest NVQ level from an academic qualification in 2004 survey,-1.0, not applicable
163232,BCS70,bcs7_derived,bd7anvq1,2004: Highest NVQ level from an academic qualification in 2004 survey,0.0,None
163233,BCS70,bcs7_derived,bd7anvq1,2004: Highest NVQ level from an academic qualification in 2004 survey,1.0,NVQ1 level
163234,BCS70,bcs7_derived,bd7anvq1,2004: Highest NVQ level from an academic qualification in 2004 survey,2.0,NVQ2 level
163235,BCS70,bcs7_derived,bd7anvq1,2004: Highest NVQ level from an academic qualification in 2004 survey,3.0,NVQ3 level
163236,BCS70,bcs7_derived,bd7anvq1,2004: Highest NVQ level from an academic qualification in 2004 survey,4.0,NVQ4 level
