,Source,Block Name,Variable Name,Variable Description,Value,Value Description
163288,BCS70,bcs7_parent_and_child,study_id_e,,,
163289,BCS70,bcs7_parent_and_child,b7chdid,Child number,-9.0,Refusal
163290,BCS70,bcs7_parent_and_child,b7chdid,Child number,-8.0,Don't Know
163291,BCS70,bcs7_parent_and_child,b7age,Child's age,-9.0,Refusal
163292,BCS70,bcs7_parent_and_child,b7age,Child's age,-8.0,Don't Know
163293,BCS70,bcs7_parent_and_child,b7nmonth,Child's age (month part),-9.0,Refusal
163294,BCS70,bcs7_parent_and_child,b7nmonth,Child's age (month part),-8.0,Don't Know
163295,BCS70,bcs7_parent_and_child,b7csex,Child's sex,-9.0,Refusal
163296,BCS70,bcs7_parent_and_child,b7csex,Child's sex,-8.0,Don't Know
163297,BCS70,bcs7_parent_and_child,b7csex,Child's sex,1.0,Male
163298,BCS70,bcs7_parent_and_child,b7csex,Child's sex,2.0,Female
163299,BCS70,bcs7_parent_and_child,b7intmon,Month of interview,,
163300,BCS70,bcs7_parent_and_child,b7intyr,Year of interview,,
163301,BCS70,bcs7_parent_and_child,b7oucooe,Outcome code,111.0,"111 - Fully productive, Core only"
163302,BCS70,bcs7_parent_and_child,b7oucooe,Outcome code,112.0,"112 - Fully productive, all P&C elements"
163303,BCS70,bcs7_parent_and_child,b7oucooe,Outcome code,113.0,"113 - Fully productive, not all P&C"
163304,BCS70,bcs7_parent_and_child,b7oucooe,Outcome code,130.0,"130 - Fully productive, proxy (Core)"
163305,BCS70,bcs7_parent_and_child,b7oucooe,Outcome code,211.0,"211 - Partially productive, Core only"
163306,BCS70,bcs7_parent_and_child,b7oucooe,Outcome code,212.0,"212 - Partially productive, all P&C elements"
163307,BCS70,bcs7_parent_and_child,b7oucooe,Outcome code,213.0,"213 - Partially productive, not all P&C"
163308,BCS70,bcs7_parent_and_child,b7nocch1,Total number of children,-9.0,Refusal
163309,BCS70,bcs7_parent_and_child,b7nocch1,Total number of children,-8.0,Don't Know
