variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7chdid,Child number,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7age,Child's age,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7nmonth,Child's age (month part),2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7csex,Child's sex,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7intmon,Month of interview,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7intyr,Year of interview,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7oucooe,Outcome code,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7nocch1,Total number of children,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7nocch2,Total number of children aged 0 - 11 months,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7nocch3,Total number of children aged 1 - 2 years,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7nocch4,Total number of children aged 3 - 5 years,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7nocch5,Total number of children aged 6 - 16 years,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7nocch6,Total number of children aged 10 - 16 years,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
bd7cdn,(Derived) Completed parent and child module.,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcint3,Cohort Member's sex,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcethe,Child's perceived ethnic group (England),2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcethw,Child's perceived ethnic group (Wales),2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pceths,Child's perceived ethnic group (Scotland),2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
bd7pce2e,British/Irish White or other ethnicity - England,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
bd7pce2w,British/Irish White or other ethnicity - Wales,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
bd7pce2s,British/Irish White or other ethnicity - Scotland,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
bd7chdn,(Derived) Completed parent and child health questions.,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchea1,Whether child has long-standing illness,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xche2a,(ICD-10) Type of long-standing illness,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xche2b,(ICD-10) Type of long-standing illness,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xche2c,(ICD-10) Type of long-standing illness,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xche2d,(ICD-10) Type of long-standing illness,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchea3,Whether long-standing conditions limit child from everyday activities,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchea4,Whether Cohort Member spends more time looking after child due to conditions,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pche51,Child's disability (if registered disabled) - 01,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pche52,Child's disability (if registered disabled) - 02,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xche6a,(ICD-10) Type of disability child has,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xche6b,(ICD-10) Type of disability child has,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xche6c,(ICD-10) Type of disability child has,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchp1,Whether child has had accident / injuries requiring doctor's attention,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchp1n,Number of accidents / injuries requiring doctor's attention child has had,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchp2,Most severe (or only) accident or injury,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xch2a,(ICD-10) Type of accident or injury child has had,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xch2b,(ICD-10) Type of accident or injury child has had,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchog2,Child's age when this accident / injury happened,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchp3,Whether child has been admitted to hospital due to an illness / health problem,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchp3n,Number of times child has been admitted to hospital due to an illness,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xchp3a,(ICD-10) Reason for most serious (or only) admission to hospital,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xchp3b,(ICD-10) Reason for most serious (or only) admission to hospital,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xchp3c,(ICD-10) Reason for most serious (or only) admission to hospital,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7xchp3d,(ICD-10) Reason for most serious (or only) admission to hospital,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pchog3,Child's age when admitted to hospital,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcimm1,Number of immunisations child had during his/her early years,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcim21,Types of immunisations child had during his/her early years - 01,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcim22,Types of immunisations child had during his/her early years - 02,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcim23,Types of immunisations child had during his/her early years - 03,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcim24,Types of immunisations child had during his/her early years - 04,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcim25,Types of immunisations child had during his/her early years - 05,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
b7pcin11,Illnesses child has had - 01,2022-01-10 12:55:00.620,bcs7_parent_and_child_v0001_20211101
