,Source,Block Name,Variable Name,Variable Description,Value,Value Description
622654,BCS70,bcs9_absent_older_child,study_id_e,,,
622655,BCS70,bcs9_absent_older_child,b9abchid,bcs9 person grids position number,,
622656,BCS70,bcs9_absent_older_child,b9abcord,Absent and older child record number,,
622657,BCS70,bcs9_absent_older_child,b9noabcr,Absent child responses missing where expected,0.0,Absent child responses as expected
622658,BCS70,bcs9_absent_older_child,b9noabcr,Absent child responses missing where expected,1.0,Absent child responses missing where expected
622659,BCS70,bcs9_absent_older_child,b9noldcr,Older child responses missing where expected,0.0,Older child responses as expected
622660,BCS70,bcs9_absent_older_child,b9noldcr,Older child responses missing where expected,1.0,Older child responses missing where expected
622661,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,-9.0,Refused
622662,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,-8.0,Don't know
622663,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,-3.0,
622664,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,-1.0,Not applicable
622665,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,1.0,Alone
622666,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,2.0,With own spouse/ partner
622667,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,3.0,With friends
622668,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,4.0,"W/ flatmates, uni, nurses resid, army"
622669,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,5.0,With other parent
622670,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,6.0,With other non-adopting relatives
622671,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,7.0,With other adopting relatives
622672,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,8.0,With other non-related adopters
622673,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,9.0,In local authority care
622674,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,10.0,In foster care
622675,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,11.0,In a hostel
622676,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,12.0,Other
622677,BCS70,bcs9_absent_older_child,b9abclve,Who absent child lives with,13.0,SPONTANEOUS: Child has died
622678,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,-9.0,Refused
622679,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,-8.0,Don't know
622680,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,-3.0,
622681,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,-1.0,Not applicable
622682,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,1.0,Three or more times a week
622683,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,2.0,Once or twice a week
622684,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,3.0,Once or twice a month
622685,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,4.0,Every few months
622686,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,5.0,Once or twice a year
622687,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,6.0,Less than once a year
622688,BCS70,bcs9_absent_older_child,b9abcg91,How often see absent child,7.0,Never
