variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCHID,bcs9 person grids position number,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCORD,Absent and older child record number,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9NOABCR,Absent child responses missing where expected,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9NOLDCR,Older child responses missing where expected,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCLVE,Who absent child lives with,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCG91,How often see absent child,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCH91,Whether regularly contribute money to maintenance,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMAAM,Regular maintenance payment - amount,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMAIP,Regular maintenance payment - period,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABACT,Economic activity of older child,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABLFTD,Age older child left full time eductaion,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC01,Older child qualification - Higher degree (Masters or PhD),2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC02,Older child qualification - Postgraduate diplomas including PGCE,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC03,Older child qualification - Degree (BA,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC04,Older child qual - Prof quals at degree level e.g. grad member prof inst etc.,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC05,Older child qual - A Level/ AS level/ Scottish Highers,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC06,Older child qualification - GCSE/ O level / SCE Standard,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC07,Older child qualification - Vocational qualifications (e.g. NVQ),2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC08,Older child qualification - Higher education diploma,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC09,Older child qualification - Nursing or paramedical qualifications,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC10,Older child qualification - Other qualifications,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC11,Older child qualification - No qualifications,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC12,Older child qualification - Don't know,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQC13,Older child qualification - Refused,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABQCDR,Older child highest qualification - DR only,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCHMS,Older child marital status,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCFMY,When older child got married - year or age,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCHFM,When older child got married - ANSWER FORMAT,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABEVCH,Whether older child has had chilldren,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCNCY,When older child had first child (year or age),2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABCHYR,When older child had first child - answer format,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMET1,Entry point into ABM1 brackets,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMA1,Maintenance payment: more or less than Â£50 a week,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMB1,Maintenance payment: more or less than Â£75 a week,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMC1,Maintenance payment: more or less than Â£100 a week,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMD1,Maintenance payment: more or less than Â£150 a week,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMN1,Weekly maintenance payment - lower bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMX1,Weekly maintenance payment - upper bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMAN1,Whether answered ABM1 unfolding brackets questions,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMET2,Entry point into ABM2 brackets,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMA2,Maintenance payment: more or less than Â£100 a fortnight,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMB2,Maintenance payment: more or less than Â£150 a fortnight,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMC2,Maintenance payment: more or less than Â£200 a fortnight,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMD2,Maintenance payment: more or less than Â£300 a fortnight,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMN2,Fortnightly maintenance payment - lower bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMX2,Fortnightly maintenance payment - upper bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMAN2,Whether answered ABM2 unfolding brackets questions,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMET3,Entry point into ABM3 brackets,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMA3,Maintenance payment: more or less than Â£200 a month,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
