,Source,Block Name,Variable Name,Variable Description,Value,Value Description
621888,BCS70,bcs9_child_died,study_id_e,,,
621889,BCS70,bcs9_child_died,b9dchid,Children who died record number,-1.0,Not applicable
621890,BCS70,bcs9_child_died,b9dchsex,Child's sex,-9.0,Refused
621891,BCS70,bcs9_child_died,b9dchsex,Child's sex,-8.0,Don't know
621892,BCS70,bcs9_child_died,b9dchsex,Child's sex,-1.0,Not applicable
621893,BCS70,bcs9_child_died,b9dchsex,Child's sex,1.0,Male
621894,BCS70,bcs9_child_died,b9dchsex,Child's sex,2.0,Female
621895,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,-9.0,Refused
621896,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,-8.0,Don't know
621897,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,-1.0,Not applicable
621898,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,1.0,January
621899,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,2.0,February
621900,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,3.0,March
621901,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,4.0,April
621902,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,5.0,May
621903,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,6.0,June
621904,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,7.0,July
621905,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,8.0,August
621906,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,9.0,September
621907,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,10.0,October
621908,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,11.0,November
621909,BCS70,bcs9_child_died,b9dchdbm,Child's DOB Month,12.0,December
621910,BCS70,bcs9_child_died,b9dchdby,Child's DOB Year,-9.0,Refused
621911,BCS70,bcs9_child_died,b9dchdby,Child's DOB Year,-8.0,Don't know
621912,BCS70,bcs9_child_died,b9dchdby,Child's DOB Year,-1.0,Not applicable
621913,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,-9.0,Refused
621914,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,-8.0,Don't know
621915,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,-1.0,Not applicable
621916,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,1.0,own child
621917,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,2.0,adopted child
621918,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,3.0,child of current spouse/partner
621919,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,4.0,child of previous spouse/partner
621920,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,5.0,or fostered child
621921,BCS70,bcs9_child_died,b9dchrtk,Child's relationship to CM,6.0,Other
621922,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,-9.0,Refused
621923,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,-8.0,Don't know
621924,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,-1.0,Not applicable
621925,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,1.0,January
621926,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,2.0,February
621927,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,3.0,March
621928,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,4.0,April
621929,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,5.0,May
621930,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,6.0,June
621931,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,7.0,July
621932,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,8.0,August
621933,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,9.0,September
621934,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,10.0,October
621935,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,11.0,November
621936,BCS70,bcs9_child_died,b9dchdm,When child died MONTH,12.0,December
621937,BCS70,bcs9_child_died,b9dchdy,When child died YEAR,-9.0,Refused
621938,BCS70,bcs9_child_died,b9dchdy,When child died YEAR,-8.0,Don't know
621939,BCS70,bcs9_child_died,b9dchdy,When child died YEAR,-1.0,Not applicable
621940,BCS70,bcs9_child_died,v3,None,,
621941,BCS70,bcs9_child_died,avail_from_dt,,,
