variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9CNTRY,Country of Interview  (2012),2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9GOR,Government Office Region of residence (2012),2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9REGN,Standard Region of residence (2012),2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9HSIZE,(Derived) HH Size,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9MS,(Derived) CM's legal marital status,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9COHAB,(Derived) Whether CM cohabiting as a couple,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9PARTP,(Derived) Whether CM lives with a spouse or partner,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9PAGE,(Derived) Age Of CM's Partner,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9PID,(Derived) HH Number Of CM's Partner/Spouse/Civil Partner,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9PSEX,(Derived) Gender Of CM's Partner,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NUMCH,(Derived) Number Of Children in HH,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9FATHN,(Derived) Whether CM's Father in HH (incl adoptive / step),2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9MOTHN,(Derived) Whether CM's Mother in HH (incl adoptive / step),2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NOCHH,(Derived) Number of own children in household,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NPCHH,(Derived) Number of children of current or previous partner in household,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9AYCHH,(Derived) Age of youngest child (under 19) in household,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NC2H,(Derived) Number of children aged 0 to 2 in household,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NC4H,(Derived) Number of children aged 3 to 4 in household,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NC11H,(Derived) Number of children aged 5 to 11 in household,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NC15H,(Derived) Number of children aged 12 to 15 in household,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NACAB,(Derived) Number of absent children (including step-children etc),2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NOCAB,(Derived) Number of absent children - own children only,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9TOTAC,(Derived) Total number of children (in HH or absent,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9TOTOC,(Derived) Total number of children (in HH or absent) - own children only,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9WCDIE,(Derived) Whether had any (own) children who have died,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NCDIE,(Derived) Number of own children who have died,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9TOTCE,(Derived) Total number of own children ever had,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9WMABC,(Derived) Whether contributes to maintenance of any absent children,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9WMCPP,(Derived) Whether received maintenance for children from previous partner,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9MALIV,(Derived) Whether mother alive,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9PALIV,(Derived) Whether father alive,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9ECACT,(Derived) Current economic activity status,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9PEACT,(Derived) Partner's current economic activity status,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9WRBEN,(Derived) Whether receives any benefits,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9ALFED,(Derived) Age left full time education,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9ACHQ1,(Derived) Highest Academic Qualification CM obtained in 2012 survey,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9ANVQ1,(Derived) Highest NVQ level from an academic qualification in 2012 survey,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9VNVQ1,(Derived) Highest NVQ Level from a Vocational Qualification in 2012 survey,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NVQ1,(Derived) Highest NVQ Level from an Academic or Vocational Qual in 2012 survey,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9HACHQ,(Derived) Highest Academic Qualification up to 2012,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9HANVQ,(Derived) Highest NVQ level from an academic qualification up to 2012,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9HVNVQ,(Derived) Highest NVQ Level from a Vocational Qualification  up to 2012,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9HNVQ,(Derived) Highest NVQ Level from an Academic or Vocational Qual  up to 2012,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9NUALC,(Derived) Number of units of alcohol consumed in last 7 days,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9HGHTM,(Derived) Height in metres,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9WGHTK,(Derived) Weight in kilograms,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9BMI,(Derived) Body mass index,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9WHYST,(Derived) Whether had hysterectomy or ovaries removed,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9WP12M,(Derived) Whether had period in last 12 months,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9ALSTP,(Derived) Age at last period,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9MAL,(Derived) Total Malaise score (9 questions),2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9MALG,(Derived) Total Malaise score - grouped,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9AUDIT,(Derived) Total AUDIT-PC Score,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9AUDG,(Derived) AUDIT-PC Group,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9WEMWB,(Derived) Warwick Edinburgh Mental Well-Being Scale,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9DISEQ,(Derived) Disability classification Equality act (2010),2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
BD9DISLS,(Derived) Disability classification EU-SILC,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
V3,None,2022-01-10 12:58:12.990,bcs9_derived_v0001_20211101
