variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ACTID,Activity record number,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AYEND,Main reason stopped that period of employment/self-employment,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AENDY,When period of economic activity ended - Year,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AENDM,When period of economic activity ended - Month,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AACTIV,Next economic activity,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AWRKHR,Whether changed employer as well as hours,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AJSUP,Whether had managerial duties or supervised other employees,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ASUPNM,Whether supervised more than 25 people,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AJSMP,Whether worked on own or had employees,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AJSNP,Number of people employed at place where worked,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9AS2000,SOC 2000 code (CM activity history),2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ANSSEC,NS-SEC Full Operational Categories (CM activity history),2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ANSSCC,NS-SEC Combined Operational Categories (CM activity history),2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ANS8,NS-SEC Analytic Categories (CM activity history),2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ASC,Social class 1990   (CM activity history),2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ASEG,SEG: Socio-economic Group (CM activity history),2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ACURAC,Whether this is current job/activity,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
B9ACURAS,Whether this job/activity has been continuous,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
V3,None,2022-01-10 08:51:44.280,bcs9_employment_v0001_20211101
