variable_name,value_value,value_label,avail_from_dt,table_name
B9AS2000,8119,Process operatives n.e.c.,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8121,Paper and wood machine operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8122,Coal mine operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8123,Quarry workers and related operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8124,Energy plant operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8125,Metal working machine operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8126,Water and sewerage plant operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8129,Plant and machine operatives n.e.c.,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8131,Assemblers (electrical products),2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8132,Assemblers (vehicles and metal goods),2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8133,Routine inspectors and testers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8134,"Weighers, graders, sorters",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8135,"Tyre, exhaust and windscreen fitters",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8136,Clothing cutters,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8137,Sewing machinists,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8138,Routine laboratory testers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8139,Assemblers and routine operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8141,"Scaffolders, stagers, riggers",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8142,Road construction operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8143,Rail construction and maintenance,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8149,Construction operatives n.e.c.,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8211,Heavy goods vehicle drivers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8212,Van drivers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8213,Bus and coach drivers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8214,"Taxi, cab drivers and chauffeurs",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8215,Driving instructors,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8216,Rail transport operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8217,Merchant navy and boat operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8218,Air transport operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8219,Transport operatives n.e.c.,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8221,Crane drivers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8222,Fork-lift truck drivers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8223,Agricultural machinery drivers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,8229,Mobile machine drivers and operatives,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9111,Farm workers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9112,Forestry workers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9119,Fishing and agriculture related,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9121,Labourers in building and woodworking,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9129,Labourers in other construction trades,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9131,Labourers in foundries,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9132,Industrial cleaning process occupations,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9133,Printing machine minders and assistants,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9134,"Packers, bottlers, canners, fillers",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9139, Process and plant labourers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9141,"Stevedores, dockers and slingers",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9149,Goods handling and storage occupations,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9211,"Postal workers,,messengers, couriers",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9219,Elementary office occupations n.e.c.,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9221,Hospital porters,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9222,Hotel porters,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9223,Kitchen and catering assistants,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9224,"Waiters, waitresses",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9225,Bar staff,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9226,Leisure and theme park attendants,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9229,Elementary personal services,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9231,Window cleaners,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9232,Road sweepers,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9233,"Cleaners, domestics",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9234,"Launderers, dry cleaners, pressers",2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9235,Refuse and salvage occupations,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9239,Elementary cleaning occupations n.e.c.,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9241,Security guards and related occupations,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
B9AS2000,9242,Traffic wardens,2022-01-10 09:04:59.247,bcs9_employment_v0001_20211101
