,Source,Block Name,Variable Name,Variable Description,Value,Value Description
622770,BCS70,bcs9_housing,study_id_e,,,
622771,BCS70,bcs9_housing,b9homeid,Housing record number,,
622772,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,-9.0,Refused
622773,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,-8.0,Don't know
622774,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,0.0,Before 2000
622775,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,1.0,January
622776,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,2.0,February
622777,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,3.0,March
622778,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,4.0,April
622779,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,5.0,May
622780,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,6.0,June
622781,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,7.0,July
622782,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,8.0,August
622783,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,9.0,September
622784,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,10.0,October
622785,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,11.0,November
622786,BCS70,bcs9_housing,b9homedm,When moved out of address or stopped travelling - Month,12.0,December
622787,BCS70,bcs9_housing,b9homedy,When moved out of address or stopped travelling - Year,-9.0,Refused
622788,BCS70,bcs9_housing,b9homedy,When moved out of address or stopped travelling - Year,-8.0,Don't know
622789,BCS70,bcs9_housing,b9homedy,When moved out of address or stopped travelling - Year,0.0,Before 2000
622790,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,-9.0,Refused
622791,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,-8.0,Don't know
622792,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,-1.0,Not applicable
622793,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,1.0,Wanted to buy
622794,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,2.0,Wanted larger home
622795,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,3.0,Wanted better home
622796,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,4.0,Job changed/to be nearer work
622797,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,5.0,Moved to better area
622798,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,6.0,For children's education
622799,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,7.0,Wanted place of own
622800,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,8.0,Due to a relationship breakdown
622801,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,9.0,Due to a new relationship
622802,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,10.0,To be nearer relatives
622803,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,11.0,Need cheaper home/cdn't afford home
622804,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,12.0,Problems with neighbours
622805,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,13.0,Health or other personal problems
622806,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,14.0,Evicted/home repossessed
622807,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,15.0,Tenancy ended/landlord sold property
622808,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,16.0,Moved /returned from abroad
622809,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,17.0,Wanted/was offered local authority home
622810,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,18.0,Downsize
622811,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,19.0,It was temporary accommodation
622812,BCS70,bcs9_housing,b9homeg,Main reason moved out of address,20.0,Other reason
622813,BCS70,bcs9_housing,b9homei,Whether next moved to current address,-9.0,Refused
622814,BCS70,bcs9_housing,b9homei,Whether next moved to current address,-8.0,Don't know
622815,BCS70,bcs9_housing,b9homei,Whether next moved to current address,-1.0,Not applicable
622816,BCS70,bcs9_housing,b9homei,Whether next moved to current address,1.0,Current address
622817,BCS70,bcs9_housing,b9homei,Whether next moved to current address,2.0,Different address
622818,BCS70,bcs9_housing,b9homei,Whether next moved to current address,3.0,No fixed address for 1 mth+ (spont)
622819,BCS70,bcs9_housing,b9homei,Whether next moved to current address,4.0,No fixed addr rest of time (spont)
622820,BCS70,bcs9_housing,v3,None,,
622821,BCS70,bcs9_housing,avail_from_dt,,,
