,Source,Block Name,Variable Name,Variable Description,Value,Value Description
623987,BCS70,bcs9_persongrid,study_id_e,,,
623988,BCS70,bcs9_persongrid,b9gridid,HHgrid: person position,-1.0,Not applicable
623989,BCS70,bcs9_persongrid,b9gsex,HHgrid: person sex,-8.0,Don't know
623990,BCS70,bcs9_persongrid,b9gsex,HHgrid: person sex,-1.0,Not applicable
623991,BCS70,bcs9_persongrid,b9gsex,HHgrid: person sex,1.0,Male
623992,BCS70,bcs9_persongrid,b9gsex,HHgrid: person sex,2.0,Female
623993,BCS70,bcs9_persongrid,b9gdied,HHgrid: whether household member had died,-8.0,Don't know
623994,BCS70,bcs9_persongrid,b9gdied,HHgrid: whether household member had died,-1.0,Not applicable
623995,BCS70,bcs9_persongrid,b9gdied,HHgrid: whether household member had died,0.0,No
623996,BCS70,bcs9_persongrid,b9gdied,HHgrid: whether household member had died,1.0,Yes
623997,BCS70,bcs9_persongrid,b9gslive,HHgrid: whether person living with CM at interview,-1.0,Not applicable
623998,BCS70,bcs9_persongrid,b9gslive,HHgrid: whether person living with CM at interview,0.0,No
623999,BCS70,bcs9_persongrid,b9gslive,HHgrid: whether person living with CM at interview,1.0,Yes
624000,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,-9.0,Refused
624001,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,-8.0,Don't know
624002,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,-1.0,Not applicable
624003,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,1.0,Spouse
624004,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,2.0,Civil partner
624005,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,3.0,Cohabiting partner
624006,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,4.0,Own child
624007,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,5.0,Adopted child
624008,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,6.0,Child of current spouse/partner
624009,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,7.0,Child of previous spouse/partner
624010,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,8.0,Fostered child
624011,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,9.0,Full brother/sister
624012,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,10.0,Half/adopted/step brother/sister
624013,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,11.0,Brother/sister in-law
624014,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,12.0,Natural mother
624015,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,13.0,Adoptive mother
624016,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,14.0,Natural father
624017,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,15.0,Adoptive father
624018,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,16.0,Step mother
624019,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,17.0,Step father
624020,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,18.0,Parent in-law
624021,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,19.0,Grandparent
624022,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,20.0,Grandchild
624023,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,21.0,Other blood relative
624024,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,22.0,Other In-Law
624025,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,23.0,Friend/Unrelated Sharer
624026,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,24.0,Landlord
624027,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,25.0,Lodger
624028,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,26.0,Employer
624029,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,27.0,"Nanny, Au Pair etc"
624030,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,28.0,Child of non rel adult living in the HH
624031,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,29.0,Other
624032,BCS70,bcs9_persongrid,b9grtok,HHgrid: Person's relationship to CM,30.0,Non-natural absent child
624033,BCS70,bcs9_persongrid,b9gdiedy,HHgrid: Date person died (if reported dead at this sweep) - year,-9.0,Refused
624034,BCS70,bcs9_persongrid,b9gdiedy,HHgrid: Date person died (if reported dead at this sweep) - year,-8.0,Don't know
624035,BCS70,bcs9_persongrid,b9gdiedy,HHgrid: Date person died (if reported dead at this sweep) - year,-2.0,Script error
624036,BCS70,bcs9_persongrid,b9gdiedy,HHgrid: Date person died (if reported dead at this sweep) - year,-1.0,Not applicable
624037,BCS70,bcs9_persongrid,b9gdiedm,HHgrid: Date person died (if reported dead at this sweep) - month,-9.0,Refused
624038,BCS70,bcs9_persongrid,b9gdiedm,HHgrid: Date person died (if reported dead at this sweep) - month,-8.0,Don't know
624039,BCS70,bcs9_persongrid,b9gdiedm,HHgrid: Date person died (if reported dead at this sweep) - month,-2.0,Script error
624040,BCS70,bcs9_persongrid,b9gdiedm,HHgrid: Date person died (if reported dead at this sweep) - month,-1.0,Not applicable
624041,BCS70,bcs9_persongrid,b9gsty,HHgrid: Date person started living with CM - year (new non-birth chd/partner),-9.0,Refused
624042,BCS70,bcs9_persongrid,b9gsty,HHgrid: Date person started living with CM - year (new non-birth chd/partner),-8.0,Don't know
624043,BCS70,bcs9_persongrid,b9gsty,HHgrid: Date person started living with CM - year (new non-birth chd/partner),-2.0,Script error
624044,BCS70,bcs9_persongrid,b9gsty,HHgrid: Date person started living with CM - year (new non-birth chd/partner),-1.0,Not applicable
624045,BCS70,bcs9_persongrid,b9gstm,HHgrid: Date person started living with CM - month (new non-birth chd/partner),-9.0,Refused
624046,BCS70,bcs9_persongrid,b9gstm,HHgrid: Date person started living with CM - month (new non-birth chd/partner),-8.0,Don't know
624047,BCS70,bcs9_persongrid,b9gstm,HHgrid: Date person started living with CM - month (new non-birth chd/partner),-2.0,Script error
624048,BCS70,bcs9_persongrid,b9gstm,HHgrid: Date person started living with CM - month (new non-birth chd/partner),-1.0,Not applicable
624049,BCS70,bcs9_persongrid,b9glefty,HHgrid: Date person last lived with CM (if reported left at this sweep)- year,-9.0,Refused
624050,BCS70,bcs9_persongrid,b9glefty,HHgrid: Date person last lived with CM (if reported left at this sweep)- year,-8.0,Don't know
624051,BCS70,bcs9_persongrid,b9glefty,HHgrid: Date person last lived with CM (if reported left at this sweep)- year,-2.0,Script error
624052,BCS70,bcs9_persongrid,b9glefty,HHgrid: Date person last lived with CM (if reported left at this sweep)- year,-1.0,Not applicable
624053,BCS70,bcs9_persongrid,b9gleftm,HHgrid: Date person last lived with CM (if reported left at this sweep)- month,-9.0,Refused
624054,BCS70,bcs9_persongrid,b9gleftm,HHgrid: Date person last lived with CM (if reported left at this sweep)- month,-8.0,Don't know
624055,BCS70,bcs9_persongrid,b9gleftm,HHgrid: Date person last lived with CM (if reported left at this sweep)- month,-2.0,Script error
624056,BCS70,bcs9_persongrid,b9gleftm,HHgrid: Date person last lived with CM (if reported left at this sweep)- month,-1.0,Not applicable
624057,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,-8.0,Don't know
624058,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,1.0,January
624059,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,2.0,February
624060,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,3.0,March
624061,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,4.0,April
624062,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,5.0,May
624063,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,6.0,June
624064,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,7.0,July
624065,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,8.0,August
624066,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,9.0,September
624067,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,10.0,October
624068,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,11.0,Novemeber
624069,BCS70,bcs9_persongrid,b9gdobm,HHgrid: Person date of birth - month,12.0,December
624070,BCS70,bcs9_persongrid,b9gdoby,HHgrid: Person date of birth -  year,-8.0,Don't know
624071,BCS70,bcs9_persongrid,b9gage,HHgrid: Person's age last birthday,-9.0,Refused
624072,BCS70,bcs9_persongrid,b9gage,HHgrid: Person's age last birthday,-8.0,Don't know
624073,BCS70,bcs9_persongrid,b9gage,HHgrid: Person's age last birthday,-1.0,Not applicable person died
624074,BCS70,bcs9_persongrid,b9gcrlp,HHgrid: Whether child is current partner's own child,-9.0,Refused
624075,BCS70,bcs9_persongrid,b9gcrlp,HHgrid: Whether child is current partner's own child,-8.0,Don't know
624076,BCS70,bcs9_persongrid,b9gcrlp,HHgrid: Whether child is current partner's own child,-1.0,Not Applicable
624077,BCS70,bcs9_persongrid,b9gcrlp,HHgrid: Whether child is current partner's own child,1.0,Yes
624078,BCS70,bcs9_persongrid,b9gcrlp,HHgrid: Whether child is current partner's own child,2.0,No
624079,BCS70,bcs9_persongrid,b9gcrlp2,HHgrid: Relationship of child to current partner,-9.0,Refused
624080,BCS70,bcs9_persongrid,b9gcrlp2,HHgrid: Relationship of child to current partner,-8.0,Don't know
624081,BCS70,bcs9_persongrid,b9gcrlp2,HHgrid: Relationship of child to current partner,-1.0,Not Applicable
624082,BCS70,bcs9_persongrid,b9gcrlp2,HHgrid: Relationship of child to current partner,0.0,Own child
624083,BCS70,bcs9_persongrid,b9gcrlp2,HHgrid: Relationship of child to current partner,1.0,Adopted child
624084,BCS70,bcs9_persongrid,b9gcrlp2,HHgrid: Relationship of child to current partner,2.0,Child of previous partner
624085,BCS70,bcs9_persongrid,b9gcrlp2,HHgrid: Relationship of child to current partner,3.0,Fostered child
624086,BCS70,bcs9_persongrid,b9gcrlp2,HHgrid: Relationship of child to current partner,4.0,None of these
624087,BCS70,bcs9_persongrid,v3,None,,
624088,BCS70,bcs9_persongrid,avail_from_dt,,,
