variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GRIDID,HHgrid: person position,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GSEX,HHgrid: person sex,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GDIED,HHgrid: whether household member had died,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GSLIVE,HHgrid: whether person living with CM at interview,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GRTOK,HHgrid: Person's relationship to CM,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GDIEDY,HHgrid: Date person died (if reported dead at this sweep) - year,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GDIEDM,HHgrid: Date person died (if reported dead at this sweep) - month,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GSTY,HHgrid: Date person started living with CM - year (new non-birth chd/partner),2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GSTM,HHgrid: Date person started living with CM - month (new non-birth chd/partner),2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GLEFTY,HHgrid: Date person last lived with CM (if reported left at this sweep)- year,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GLEFTM,HHgrid: Date person last lived with CM (if reported left at this sweep)- month,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GDOBM,HHgrid: Person date of birth - month,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GDOBY,HHgrid: Person date of birth -  year,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GAGE,HHgrid: Person's age last birthday,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GCRLP,HHgrid: Whether child is current partner's own child,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
B9GCRLP2,HHgrid: Relationship of child to current partner,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
V3,None,2022-01-10 09:44:05.880,bcs9_persongrid_v0001_20211101
