variable_name,value_value,value_label,avail_from_dt,table_name
B9GRIDID,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSEX,-8,Don't know,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSEX,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSEX,1,Male,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSEX,2,Female,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIED,-8,Don't know,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIED,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIED,0,No,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIED,1,Yes,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSLIVE,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSLIVE,0,No,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSLIVE,1,Yes,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,-9,Refused,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,-8,Don't know,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,1,Spouse,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,2,Civil partner,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,3,Cohabiting partner,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,4,Own child,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,5,Adopted child,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,6,Child of current spouse/partner,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,7,Child of previous spouse/partner,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,8,Fostered child,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,9,Full brother/sister,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,10,Half/adopted/step brother/sister,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,11,Brother/sister in-law,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,12,Natural mother,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,13,Adoptive mother,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,14,Natural father,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,15,Adoptive father,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,16,Step mother,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,17,Step father,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,18,Parent in-law,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,19,Grandparent,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,20,Grandchild,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,21,Other blood relative,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,22,Other In-Law,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,23,Friend/Unrelated Sharer,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,24,Landlord,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,25,Lodger,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,26,Employer,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,27,"Nanny, Au Pair etc",2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,28,Child of non rel adult living in the HH,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,29,Other,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GRTOK,30,Non-natural absent child,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIEDY,-9,Refused,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIEDY,-8,Don't know,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIEDY,-2,Script error,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIEDY,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIEDM,-9,Refused,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIEDM,-8,Don't know,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIEDM,-2,Script error,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GDIEDM,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSTY,-9,Refused,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSTY,-8,Don't know,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSTY,-2,Script error,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSTY,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSTM,-9,Refused,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSTM,-8,Don't know,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSTM,-2,Script error,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
B9GSTM,-1,Not applicable,2022-01-10 09:14:59.797,bcs9_persongrid_v0001_20211101
