variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9QUALID,Qualifications record number,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9QUALTP,Type of qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9WHQUID,Within qualification record number,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9EWHEN,Year obtained qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9EFTPT,Whether studied full or part time,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9EFEES,Who paid fees for course,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9EDEGGR,Degree grade,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9BTECLV,Level of BTEC Qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9CITYLV,Level of City and Guilds Qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9RSALV,Level of RSA Qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9PITLV,Level of Pitman Qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9NVQLV,Level of NVQ Qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9GNVQLV,Level of GNVQ Qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9ONCLV,Level of ONC Qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
B9HNCLV,Level of HNC Qualification,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
V3,None,2022-01-10 10:04:07.293,bcs9_qualifications_v0001_20211101
