variable_name,value_value,value_label,avail_from_dt,table_name
B9QUALTP,1,GCSE A-C,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,2,GCSE D-E,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,3,AS LEVELS A-C,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,4,AS LEVELS D-E,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,5,A LEVELS A-C,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,6,A LEVELS D-E,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,7,DEGREE,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,8,DEGREE LEVEL QUALIFICATIONS,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,9,HIGHER DEGREE,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,10,NURSING QUALIFICATIONS,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,11,TEACHING QUALIFICATIONS,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,12,BTEC,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,13,CITY,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,14,RSA,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,15,PITMAN,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,16,NVQ,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,17,GNVQ,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,18,ONC,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,19,HNC,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,20,APPRENTICESHIPS,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,21,OTHER VOCATIONAL QUALIFICATIONS,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,22,SCOTTISH ACCESS3,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,23,SCOTTISH STANDARD GRADE,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,24,SCOTTISH INTERMEDIATE 1,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,25,SCOTTISH INTERMEDIATE 2,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,26,SCOTTISH HIGHER,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,27,SCOTTISH ADVANCED HIGHER,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,28,SCOTTISH CERTIFICATE OF 6TH YEAR STUDIES,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,29,DIPLOMA OF HIGHER EDUCATION,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,30,PGCE,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,31,HGV or LGV,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9QUALTP,32,PSV or PCV,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EWHEN,-9,Refused,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EWHEN,-8,Don't know,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EWHEN,-1,Not applicable,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFTPT,-9,Refused,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFTPT,-8,Don't know,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFTPT,-1,Not applicable,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFTPT,1,Full-time,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFTPT,2,Part-time,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFEES,-9,Refused,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFEES,-8,Don't know,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFEES,-1,Not applicable,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFEES,1,Employer,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFEES,2,"Self, family or relative",2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFEES,3,Other,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
B9EFEES,4,No fees,2022-01-10 09:24:42.517,bcs9_qualifications_v0001_20211101
