variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RELHID,Relationship history record number,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RNRANY,Whether lived with anyone as a couple since last period,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RSTM,When started living together - month,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RSTY,When started living together - year,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RCPREV,Whether previous partner,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RDET1,All details correct,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RDET2,Gender is incorrect,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RDET3,Date of birth is incorrect,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RSEX,Partner sex,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RDOBM,Partner month of birth,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RDOBY,Partner year of birth,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RAGE,Partner age,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RNOWMA,Whether married partner,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RWHMAM,Date of marriage - month,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RWHMAY,Date of marriage - year,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RSLIVE,Whether still live together as a couple,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RLIVPA,Whether lived with partner continuously,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RHWEND,Whether split up or partner died,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RENDM,When stopped living together - month,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RENDY,When stopped living together - year,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RDIVOR,Whether divorced,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RDIVM,When divorced - month,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
B9RDIVY,When divorced - year,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
V3,None,2022-01-10 09:47:20.107,bcs9_relationships_v0001_20211101
