,Source,Block Name,Variable Name,Variable Description,Value,Value Description
647050,BCS70,response_1970_2016,study_id_e,,,
647051,BCS70,response_1970_2016,sex,Sex of cohort member,1.0,Male
647052,BCS70,response_1970_2016,sex,Sex of cohort member,2.0,Female
647053,BCS70,response_1970_2016,sex,Sex of cohort member,3.0,Not Known
647054,BCS70,response_1970_2016,cob,Country of birth of cohort member,-1.0,Never participated
647055,BCS70,response_1970_2016,cob,Country of birth of cohort member,0.0,Unknown
647056,BCS70,response_1970_2016,cob,Country of birth of cohort member,1.0,England
647057,BCS70,response_1970_2016,cob,Country of birth of cohort member,2.0,Wales
647058,BCS70,response_1970_2016,cob,Country of birth of cohort member,3.0,Scotland
647059,BCS70,response_1970_2016,cob,Country of birth of cohort member,4.0,Northern Ireland
647060,BCS70,response_1970_2016,cob,Country of birth of cohort member,5.0,Southern Ireland
647061,BCS70,response_1970_2016,cob,Country of birth of cohort member,6.0,Overseas
647062,BCS70,response_1970_2016,cob,Country of birth of cohort member,7.0,GB
647063,BCS70,response_1970_2016,multipno,Twin or triplet identity,-1.0,Not applicable
647064,BCS70,response_1970_2016,multipno,Twin or triplet identity,1.0,First Twin
647065,BCS70,response_1970_2016,multipno,Twin or triplet identity,2.0,Second Twin
647066,BCS70,response_1970_2016,twincode,Corresponding multiple identifier,-1.0,Not applicable
647067,BCS70,response_1970_2016,outcme01,Outcome to BCS1 (1970),0.0,Refusal/Non-contact
647068,BCS70,response_1970_2016,outcme01,Outcome to BCS1 (1970),1.0,Productive
647069,BCS70,response_1970_2016,outcme01,Outcome to BCS1 (1970),2.0,Refusal
647070,BCS70,response_1970_2016,outcme01,Outcome to BCS1 (1970),3.0,Non-contact
647071,BCS70,response_1970_2016,outcme01,Outcome to BCS1 (1970),4.0,Other unproductive
647072,BCS70,response_1970_2016,outcme01,Outcome to BCS1 (1970),5.0,Ineligible
647073,BCS70,response_1970_2016,outcme01,Outcome to BCS1 (1970),6.0,Not Issued
647074,BCS70,response_1970_2016,outcme01,Outcome to BCS1 (1970),7.0,Not Issued - Emigrant
