variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
SEX,Sex of cohort member,2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
COB,Country of birth of cohort member,2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
MULTIPNO,Twin or triplet identity,2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
TWINCODE,Corresponding multiple identifier,2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME01,Outcome to BCS1 (1970),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME02,Outcome to BCS2 (1975),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME03,Outcome to BCS3 (1980),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME04,Outcome to BCS4 (1986),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME05,Outcome to BCS5 (1996),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME06,Outcome to BCS6 (2000),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME07,Outcome to BCS7 (2004),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME08,Outcome to BCS8 (2008),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME09,Outcome to BCS9 (2012),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
OUTCME10,Outcome to BCS10 (2016),2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
V3,None,2022-01-10 09:37:37.447,response_1970_2016_v0001_20211101
