variable_name,value_value,value_label,avail_from_dt,table_name
SEX,1,Male,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
SEX,2,Female,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
SEX,3,Not Known,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,-1,Never participated,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,0,Unknown,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,1,England,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,2,Wales,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,3,Scotland,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,4,Northern Ireland,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,5,Southern Ireland,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,6,Overseas,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
COB,7,GB,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
MULTIPNO,-1,Not applicable,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
MULTIPNO,1,First Twin,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
MULTIPNO,2,Second Twin,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
TWINCODE,-1,Not applicable,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,0,Refusal/Non-contact,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,1,Productive,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,2,Refusal,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,3,Non-contact,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,4,Other unproductive,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,5,Ineligible,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,6,Not Issued,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,7,Not Issued - Emigrant,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME01,8,Dead,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME02,0,Refusal/Non-contact,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME02,1,Productive,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME02,2,Refusal,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME02,3,Non-contact,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME02,4,Other unproductive,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME02,5,Ineligible,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
OUTCME02,6,Not Issued,2022-01-10 10:00:15.053,response_1970_2016_v0001_20211101
