,Source,Block Name,Variable Name,Variable Description,Value,Value Description
645994,BIB,CV19adult_P1,study_id_e,,,
645995,BIB,CV19adult_P1,cohort,Cohort,1.0,BiB
645996,BIB,CV19adult_P1,cohort,Cohort,2.0,Better Start
645997,BIB,CV19adult_P1,bibparticipanttype,BiB Participant Type,,
645998,BIB,CV19adult_P1,ethnicity,Ethnic group combined from different cohort data sources,1.0,White British
645999,BIB,CV19adult_P1,ethnicity,Ethnic group combined from different cohort data sources,2.0,Pakistani
646000,BIB,CV19adult_P1,ethnicity,Ethnic group combined from different cohort data sources,3.0,Other
646001,BIB,CV19adult_P1,country,Country,,
646002,BIB,CV19adult_P1,region,Region,,
646003,BIB,CV19adult_P1,imddecile,Index of Multiple Deprivation (IMD) Decile,,
646004,BIB,CV19adult_P1,age_01april2020,Age (years) as at 1st April 2020,,
646005,BIB,CV19adult_P1,gender,Respondent gender,1.0,Female
646006,BIB,CV19adult_P1,gender,Respondent gender,2.0,Male
646007,BIB,CV19adult_P1,hh_relship,What is your current relationship status?,-1.0,Do not wish to answer
646008,BIB,CV19adult_P1,hh_relship,What is your current relationship status?,1.0,Single
646009,BIB,CV19adult_P1,hh_relship,What is your current relationship status?,2.0,Married
646010,BIB,CV19adult_P1,hh_relship,What is your current relationship status?,3.0,Not married but in a relationship
646011,BIB,CV19adult_P1,hh_living,Are you currently living with your partner?,1.0,Yes
646012,BIB,CV19adult_P1,hh_living,Are you currently living with your partner?,2.0,No
646013,BIB,CV19adult_P1,hh_living,Are you currently living with your partner?,3.0,Not applicable - Single
646014,BIB,CV19adult_P1,hh_nchild,Do any children aged 16 and under live in your home?,0.0,No
646015,BIB,CV19adult_P1,hh_nchild,Do any children aged 16 and under live in your home?,1.0,Yes
646016,BIB,CV19adult_P1,hh_nchild_04,How many children aged between 0 and 4 years live in your home?,,
646017,BIB,CV19adult_P1,hh_nchild_510,How many children aged between 5 and 10 years live in your home?,,
646018,BIB,CV19adult_P1,hh_nchild_1116,How many children aged between 11 and 16 years live in your home?,,
646019,BIB,CV19adult_P1,hh_childlw,Does your child (or children) live with you all the time?,0.0,No - shared parenting
646020,BIB,CV19adult_P1,hh_childlw,Does your child (or children) live with you all the time?,1.0,Yes
646021,BIB,CV19adult_P1,hh_nadult,How many adults (people aged over 16 years) live in your home?,,
646022,BIB,CV19adult_P1,hh_nadult_70,How many of these adults are over the age of 70?,,
646023,BIB,CV19adult_P1,hh_slfisol_any,Has anyone in household been advised by a health professional that they are high,0.0,No
646024,BIB,CV19adult_P1,hh_slfisol_any,Has anyone in household been advised by a health professional that they are high,1.0,Yes
646025,BIB,CV19adult_P1,hh_slfisol_resp,Have you been advised by a health professional that they are high risk/ vulnerab,0.0,No
646026,BIB,CV19adult_P1,hh_slfisol_resp,Have you been advised by a health professional that they are high risk/ vulnerab,1.0,Yes
646027,BIB,CV19adult_P1,hh_slfisol_oth,Have a person other than you in the household been advised by a health professio,0.0,No
646028,BIB,CV19adult_P1,hh_slfisol_oth,Have a person other than you in the household been advised by a health professio,1.0,Yes
646029,BIB,CV19adult_P1,hh_pregyou,Are you currently pregnant?,0.0,No
646030,BIB,CV19adult_P1,hh_pregyou,Are you currently pregnant?,1.0,Yes
646031,BIB,CV19adult_P1,hh_pregyou_wks,How many weeks pregnant are you?,,
646032,BIB,CV19adult_P1,hh_pregoth,Are any other women in your household pregnant?,0.0,No
646033,BIB,CV19adult_P1,hh_pregoth,Are any other women in your household pregnant?,1.0,Yes
646034,BIB,CV19adult_P1,hh_pregoth_wks,How many weeks pregnant are they?,,
646035,BIB,CV19adult_P1,yh_own,Do you (or your household) own or rent the home you live in?,1.0,Own it outright
646036,BIB,CV19adult_P1,yh_own,Do you (or your household) own or rent the home you live in?,2.0,Buying it with the help of a mortgage/loan
646037,BIB,CV19adult_P1,yh_own,Do you (or your household) own or rent the home you live in?,3.0,Part own and part rent (shared ownership)
646038,BIB,CV19adult_P1,yh_own,Do you (or your household) own or rent the home you live in?,4.0,Rent it (includes all those who are on Housing Benefit or Local Housing Allowance)
646039,BIB,CV19adult_P1,yh_own,Do you (or your household) own or rent the home you live in?,5.0,Live here rent-free (including rent-free in relatives/friends property but excluding squatters)
646040,BIB,CV19adult_P1,yh_own,Do you (or your household) own or rent the home you live in?,6.0,Squatting
646041,BIB,CV19adult_P1,yh_own_rent,Who is your landlord?,-2.0,Dont know
646042,BIB,CV19adult_P1,yh_own_rent,Who is your landlord?,1.0,Private landlord or letting agency
646043,BIB,CV19adult_P1,yh_own_rent,Who is your landlord?,2.0,Housing association; housing co-operative; charitable trust
646044,BIB,CV19adult_P1,yh_own_rent,Who is your landlord?,3.0,Local authority; local council
646045,BIB,CV19adult_P1,yh_own_rent,Who is your landlord?,4.0,Relative or friend (before you lived here) of a household member
646046,BIB,CV19adult_P1,yh_own_rent,Who is your landlord?,5.0,Employer (individual) of a household member
646047,BIB,CV19adult_P1,yh_own_rent,Who is your landlord?,6.0,Employer (company) of a household member
646048,BIB,CV19adult_P1,yh_own_rent,Who is your landlord?,7.0,Another organisation
646049,BIB,CV19adult_P1,yh_bdroom,How many bedrooms are there in your home?,,
646050,BIB,CV19adult_P1,yh_net,Can you access the internet from your home (e.g. broadband / data on phone)?,0.0,No
646051,BIB,CV19adult_P1,yh_net,Can you access the internet from your home (e.g. broadband / data on phone)?,1.0,Yes
