,Source,Block Name,Variable Name,Variable Description,Value,Value Description
647213,BIB,CV19child_P1sdq,study_id_e,,,
647214,BIB,CV19child_P1sdq,cohort,Cohort,,
647215,BIB,CV19child_P1sdq,timestamp,,,
647216,BIB,CV19child_P1sdq,age_years,,,
647217,BIB,CV19child_P1sdq,gender,Child's gender,0.0,Male
647218,BIB,CV19child_P1sdq,gender,Child's gender,1.0,Female
647219,BIB,CV19child_P1sdq,ethnicity_mother,Ethnic group (mother),1.0,White British
647220,BIB,CV19child_P1sdq,ethnicity_mother,Ethnic group (mother),2.0,Pakistani
647221,BIB,CV19child_P1sdq,ethnicity_mother,Ethnic group (mother),3.0,Other
647222,BIB,CV19child_P1sdq,sdq_consid,Considerate of other peoples feelings,0.0,Not True
647223,BIB,CV19child_P1sdq,sdq_consid,Considerate of other peoples feelings,1.0,Somewhat True
647224,BIB,CV19child_P1sdq,sdq_consid,Considerate of other peoples feelings,2.0,Certainly True
647225,BIB,CV19child_P1sdq,sdq_restles,Restless; overactive; cannot stay still for long,0.0,Not True
647226,BIB,CV19child_P1sdq,sdq_restles,Restless; overactive; cannot stay still for long,1.0,Somewhat True
647227,BIB,CV19child_P1sdq,sdq_restles,Restless; overactive; cannot stay still for long,2.0,Certainly True
647228,BIB,CV19child_P1sdq,sdq_somatic,Often complains of headaches; stomach-aches or sickness,0.0,Not True
647229,BIB,CV19child_P1sdq,sdq_somatic,Often complains of headaches; stomach-aches or sickness,1.0,Somewhat True
647230,BIB,CV19child_P1sdq,sdq_somatic,Often complains of headaches; stomach-aches or sickness,2.0,Certainly True
647231,BIB,CV19child_P1sdq,sdq_shares,Shares readily with other children (treats;...; pencils etc.),0.0,Not True
647232,BIB,CV19child_P1sdq,sdq_shares,Shares readily with other children (treats;...; pencils etc.),1.0,Somewhat True
647233,BIB,CV19child_P1sdq,sdq_shares,Shares readily with other children (treats;...; pencils etc.),2.0,Certainly True
647234,BIB,CV19child_P1sdq,sdq_tantrum,Often has temper tantrums or hot tempers,0.0,Not True
647235,BIB,CV19child_P1sdq,sdq_tantrum,Often has temper tantrums or hot tempers,1.0,Somewhat True
647236,BIB,CV19child_P1sdq,sdq_tantrum,Often has temper tantrums or hot tempers,2.0,Certainly True
647237,BIB,CV19child_P1sdq,sdq_loner,Rather solitary; tends to play alone,0.0,Not True
647238,BIB,CV19child_P1sdq,sdq_loner,Rather solitary; tends to play alone,1.0,Somewhat True
647239,BIB,CV19child_P1sdq,sdq_loner,Rather solitary; tends to play alone,2.0,Certainly True
647240,BIB,CV19child_P1sdq,sdq_obeys,Generally obedient; usually does what adults request,0.0,Not True
647241,BIB,CV19child_P1sdq,sdq_obeys,Generally obedient; usually does what adults request,1.0,Somewhat True
647242,BIB,CV19child_P1sdq,sdq_obeys,Generally obedient; usually does what adults request,2.0,Certainly True
647243,BIB,CV19child_P1sdq,sdq_worries,Many worries; often seems worried,0.0,Not True
647244,BIB,CV19child_P1sdq,sdq_worries,Many worries; often seems worried,1.0,Somewhat True
647245,BIB,CV19child_P1sdq,sdq_worries,Many worries; often seems worried,2.0,Certainly True
647246,BIB,CV19child_P1sdq,sdq_caring,Helpful if someone is hurt; upset or feeling ill,0.0,Not True
647247,BIB,CV19child_P1sdq,sdq_caring,Helpful if someone is hurt; upset or feeling ill,1.0,Somewhat True
647248,BIB,CV19child_P1sdq,sdq_caring,Helpful if someone is hurt; upset or feeling ill,2.0,Certainly True
647249,BIB,CV19child_P1sdq,sdq_fidgety,Constantly fidgeting or squirming,0.0,Not True
647250,BIB,CV19child_P1sdq,sdq_fidgety,Constantly fidgeting or squirming,1.0,Somewhat True
647251,BIB,CV19child_P1sdq,sdq_fidgety,Constantly fidgeting or squirming,2.0,Certainly True
647252,BIB,CV19child_P1sdq,sdq_friend,Has at least one good friend,0.0,Not True
647253,BIB,CV19child_P1sdq,sdq_friend,Has at least one good friend,1.0,Somewhat True
647254,BIB,CV19child_P1sdq,sdq_friend,Has at least one good friend,2.0,Certainly True
647255,BIB,CV19child_P1sdq,sdq_fights,Often fights with other children or bullies them,0.0,Not True
647256,BIB,CV19child_P1sdq,sdq_fights,Often fights with other children or bullies them,1.0,Somewhat True
647257,BIB,CV19child_P1sdq,sdq_fights,Often fights with other children or bullies them,2.0,Certainly True
647258,BIB,CV19child_P1sdq,sdq_unhappy,Often unhappy; down-hearted or tearful,0.0,Not True
