,Source,Block Name,Variable Name,Variable Description,Value,Value Description
648952,BIB,CV19child_P2survey,study_id_e,,,
648953,BIB,CV19child_P2survey,cohort,Cohort,,
648954,BIB,CV19child_P2survey,timestamp,,,
648955,BIB,CV19child_P2survey,age_years,,,
648956,BIB,CV19child_P2survey,gender,Child's gender,1.0,Male
648957,BIB,CV19child_P2survey,gender,Child's gender,2.0,Female
648958,BIB,CV19child_P2survey,ethnicity_mother,Ethnic group (mother),1.0,White British
648959,BIB,CV19child_P2survey,ethnicity_mother,Ethnic group (mother),2.0,Pakistani
648960,BIB,CV19child_P2survey,ethnicity_mother,Ethnic group (mother),3.0,Other
648961,BIB,CV19child_P2survey,imddecile,IMD 2019 National Decile (1 = most deprived),,
648962,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,1.0,Bangladeshi
648963,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,2.0,Indian
648964,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,3.0,Pakistani
648965,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,4.0,Chinese/ Other Asian
648966,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,5.0,African
648967,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,6.0,Black Carribbean/ Black Other
648968,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,7.0,Mixed
648969,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,8.0,White British
648970,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,9.0,White Other
648971,BIB,CV19child_P2survey,edcont_ethnic_origin,Child Ethnic Origin Code,10.0,Other Ethnic Groups
648972,BIB,CV19child_P2survey,edcont_eal,Whether English is an adittional language,1.0,No
648973,BIB,CV19child_P2survey,edcont_eal,Whether English is an adittional language,2.0,Unknown
648974,BIB,CV19child_P2survey,edcont_eal,Whether English is an adittional language,3.0,Yes
648975,BIB,CV19child_P2survey,edcont_fsm,Whether child in receipt of freee school meals,1.0,No
648976,BIB,CV19child_P2survey,edcont_fsm,Whether child in receipt of freee school meals,2.0,Yes
648977,BIB,CV19child_P2survey,edcont_sen,Special educational needs catagory,1.0,EHCP
648978,BIB,CV19child_P2survey,edcont_sen,Special educational needs catagory,2.0,Not SEN
648979,BIB,CV19child_P2survey,edcont_sen,Special educational needs catagory,3.0,SEN Support
648980,BIB,CV19child_P2survey,edcont_sen,Special educational needs catagory,4.0,School Action
648981,BIB,CV19child_P2survey,edcont_sen,Special educational needs catagory,5.0,School Action Plus
648982,BIB,CV19child_P2survey,edcont_sen,Special educational needs catagory,6.0,Statement
648983,BIB,CV19child_P2survey,c19c2_date_id,Please write todays date,,
648984,BIB,CV19child_P2survey,chys_7timesleep_c19c2,Q1A) In the last 7 days what time have you normally fallen asleep?,,
648985,BIB,CV19child_P2survey,chys_7wknp_c19c2,Q1B) In the last 7 days what time have you normaly woken up?,,
648986,BIB,CV19child_P2survey,chfl_7physactwkdy_c19c2,Q2A) In the last 7 days; how much physical activity did you do on a weekday?,1.0,No activity (0 minutes)
648987,BIB,CV19child_P2survey,chfl_7physactwkdy_c19c2,Q2A) In the last 7 days; how much physical activity did you do on a weekday?,2.0,Small amount of activity (1 to 30 minutes)
648988,BIB,CV19child_P2survey,chfl_7physactwkdy_c19c2,Q2A) In the last 7 days; how much physical activity did you do on a weekday?,3.0,Small to Moderate amount activity (31 to 60 minutes)
648989,BIB,CV19child_P2survey,chfl_7physactwkdy_c19c2,Q2A) In the last 7 days; how much physical activity did you do on a weekday?,4.0,Moderate to Large amount of activity (1 to 2 hours)
648990,BIB,CV19child_P2survey,chfl_7physactwkdy_c19c2,Q2A) In the last 7 days; how much physical activity did you do on a weekday?,5.0,Large amount of activity (more than 2 hours)
648991,BIB,CV19child_P2survey,chfl_7physactwknd_c19c2,Q2B) In the last 7 days; how much physical activity did you do a weekend,1.0,No activity (0 minutes)
648992,BIB,CV19child_P2survey,chfl_7physactwknd_c19c2,Q2B) In the last 7 days; how much physical activity did you do a weekend,2.0,Small amount of activity (1 to 30 minutes)
648993,BIB,CV19child_P2survey,chfl_7physactwknd_c19c2,Q2B) In the last 7 days; how much physical activity did you do a weekend,3.0,Small to Moderate amount activity (31 to 60 minutes)
648994,BIB,CV19child_P2survey,chfl_7physactwknd_c19c2,Q2B) In the last 7 days; how much physical activity did you do a weekend,4.0,Moderate to Large amount of activity (1 to 2 hours)
648995,BIB,CV19child_P2survey,chfl_7physactwknd_c19c2,Q2B) In the last 7 days; how much physical activity did you do a weekend,5.0,Large amount of activity (more than 2 hours)
648996,BIB,CV19child_P2survey,c19c2_chfl_acttrvl_mor,Q2C) If in school holidays:  how many mornings actively travel to school?,1.0,None
648997,BIB,CV19child_P2survey,c19c2_chfl_acttrvl_mor,Q2C) If in school holidays:  how many mornings actively travel to school?,2.0,1 time last week
648998,BIB,CV19child_P2survey,c19c2_chfl_acttrvl_mor,Q2C) If in school holidays:  how many mornings actively travel to school?,3.0,2-3 times last week
648999,BIB,CV19child_P2survey,c19c2_chfl_acttrvl_mor,Q2C) If in school holidays:  how many mornings actively travel to school?,4.0,4 times last week
649000,BIB,CV19child_P2survey,c19c2_chfl_acttrvl_mor,Q2C) If in school holidays:  how many mornings actively travel to school?,5.0,5 times last week
649001,BIB,CV19child_P2survey,c19c2_chfl_brktme_act,Q2D) If on holiday/not in school: what did you mostly do at break times?,1.0,Sat down (talking; reading; doing schoolwork)
649002,BIB,CV19child_P2survey,c19c2_chfl_brktme_act,Q2D) If on holiday/not in school: what did you mostly do at break times?,2.0,Stood around or walked around
649003,BIB,CV19child_P2survey,c19c2_chfl_brktme_act,Q2D) If on holiday/not in school: what did you mostly do at break times?,3.0,Ran or played a little bit
649004,BIB,CV19child_P2survey,c19c2_chfl_brktme_act,Q2D) If on holiday/not in school: what did you mostly do at break times?,4.0,Ran around and played quite a bit
649005,BIB,CV19child_P2survey,c19c2_chfl_brktme_act,Q2D) If on holiday/not in school: what did you mostly do at break times?,5.0,Ran and played hard most of the time
649006,BIB,CV19child_P2survey,c19c2_chfl_lchtme_act,Q2E) If on holiday/not in school: what did you do at lunch (besides eating),1.0,Sat down (talking; reading; doing schoolwork)
649007,BIB,CV19child_P2survey,c19c2_chfl_lchtme_act,Q2E) If on holiday/not in school: what did you do at lunch (besides eating),2.0,Stood around or walked around
649008,BIB,CV19child_P2survey,c19c2_chfl_lchtme_act,Q2E) If on holiday/not in school: what did you do at lunch (besides eating),3.0,Ran or played a little bit
649009,BIB,CV19child_P2survey,c19c2_chfl_lchtme_act,Q2E) If on holiday/not in school: what did you do at lunch (besides eating),4.0,Ran around and played quite a bit
649010,BIB,CV19child_P2survey,c19c2_chfl_lchtme_act,Q2E) If on holiday/not in school: what did you do at lunch (besides eating),5.0,Ran and played hard most of the time
649011,BIB,CV19child_P2survey,c19c2_chfl_acttrvl_aft,Q2F) If in school holidays: how many afternoons actively travel from school?,1.0,None
