,Source,Block Name,Variable Name,Variable Description,Value,Value Description
648459,BIB,CV_W1,study_id_e,,,
648460,BIB,CV_W1,cohort,Cohort,1.0,BiB
648461,BIB,CV_W1,cohort,Cohort,2.0,Better Start
648462,BIB,CV_W1,bibparticipanttype,BiB Participant Type,,
648463,BIB,CV_W1,ethnicity,Ethnic group combined from different cohort data sources,1.0,White British
648464,BIB,CV_W1,ethnicity,Ethnic group combined from different cohort data sources,2.0,Pakistani
648465,BIB,CV_W1,ethnicity,Ethnic group combined from different cohort data sources,3.0,Other
648466,BIB,CV_W1,country,Country,,
648467,BIB,CV_W1,region,Region,,
648468,BIB,CV_W1,imddecile,Index of Multiple Deprivation (IMD) Decile,,
648469,BIB,CV_W1,hh_relship,What is your current relationship status?,-1.0,Do not wish to answer
648470,BIB,CV_W1,hh_relship,What is your current relationship status?,1.0,Single
648471,BIB,CV_W1,hh_relship,What is your current relationship status?,2.0,Married
648472,BIB,CV_W1,hh_relship,What is your current relationship status?,3.0,Not married but in a relationship
648473,BIB,CV_W1,hh_living,Are you currently living with your partner?,1.0,Yes
648474,BIB,CV_W1,hh_living,Are you currently living with your partner?,2.0,No
648475,BIB,CV_W1,hh_living,Are you currently living with your partner?,3.0,Not applicable - Single
648476,BIB,CV_W1,hh_nchild,Do any children aged 16 and under live in your home?,0.0,No
648477,BIB,CV_W1,hh_nchild,Do any children aged 16 and under live in your home?,1.0,Yes
648478,BIB,CV_W1,hh_nchild_04,How many children aged between 0 and 4 years live in your home?,,
648479,BIB,CV_W1,hh_nchild_510,How many children aged between 5 and 10 years live in your home?,,
648480,BIB,CV_W1,hh_nchild_1116,How many children aged between 11 and 16 years live in your home?,,
648481,BIB,CV_W1,hh_childlw,Does your child (or children) live with you all the time?,0.0,No - shared parenting
648482,BIB,CV_W1,hh_childlw,Does your child (or children) live with you all the time?,1.0,Yes
648483,BIB,CV_W1,hh_nadult,How many adults (people aged over 16 years) live in your home?,,
648484,BIB,CV_W1,hh_nadult_70,How many of these adults are over the age of 70?,,
648485,BIB,CV_W1,hh_slfisol_any,Has anyone in household been advised by a health professional that they are high,0.0,No
648486,BIB,CV_W1,hh_slfisol_any,Has anyone in household been advised by a health professional that they are high,1.0,Yes
648487,BIB,CV_W1,hh_slfisol_resp,Have you been advised by a health professional that they are high risk/ vulnerab,0.0,No
648488,BIB,CV_W1,hh_slfisol_resp,Have you been advised by a health professional that they are high risk/ vulnerab,1.0,Yes
648489,BIB,CV_W1,hh_slfisol_oth,Have a person other than you in the household been advised by a health professio,0.0,No
648490,BIB,CV_W1,hh_slfisol_oth,Have a person other than you in the household been advised by a health professio,1.0,Yes
648491,BIB,CV_W1,hh_pregyou,Are you currently pregnant?,0.0,No
648492,BIB,CV_W1,hh_pregyou,Are you currently pregnant?,1.0,Yes
648493,BIB,CV_W1,hh_pregyou_wks,How many weeks pregnant are you?,,
648494,BIB,CV_W1,hh_pregoth,Are any other women in your household pregnant?,0.0,No
648495,BIB,CV_W1,hh_pregoth,Are any other women in your household pregnant?,1.0,Yes
648496,BIB,CV_W1,hh_pregoth_wks,How many weeks pregnant are they?,,
648497,BIB,CV_W1,yh_own,Do you (or your household) own or rent the home you live in?,1.0,Own it outright
648498,BIB,CV_W1,yh_own,Do you (or your household) own or rent the home you live in?,2.0,Buying it with the help of a mortgage/loan
648499,BIB,CV_W1,yh_own,Do you (or your household) own or rent the home you live in?,3.0,Part own and part rent (shared ownership)
648500,BIB,CV_W1,yh_own,Do you (or your household) own or rent the home you live in?,4.0,Rent it (includes all those who are on Housing Benefit or Local Housing Allowance)
648501,BIB,CV_W1,yh_own,Do you (or your household) own or rent the home you live in?,5.0,Live here rent-free (including rent-free in relatives/friends property but excluding squatters)
648502,BIB,CV_W1,yh_own,Do you (or your household) own or rent the home you live in?,6.0,Squatting
648503,BIB,CV_W1,yh_own_rent,Who is your landlord?,-2.0,Dont know
648504,BIB,CV_W1,yh_own_rent,Who is your landlord?,1.0,Private landlord or letting agency
648505,BIB,CV_W1,yh_own_rent,Who is your landlord?,2.0,"Housing association, housing co-operative, charitable trust"
