,Source,Block Name,Variable Name,Variable Description,Value,Value Description
652486,BIB,SOCIODEMO,study_id_e,,,
652487,BIB,SOCIODEMO,bib_timestamp,,,
652488,BIB,SOCIODEMO,bib_sex,Sex: BiB Baseline questionnaire,0.0,Male
652489,BIB,SOCIODEMO,bib_sex,Sex: BiB Baseline questionnaire,1.0,Female
652490,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,1.0,"English, Welsh, Scottish, Northern Irish or British"
652491,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,2.0,Irish
652492,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,3.0,Any other White background
652493,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,4.0,White and Black Caribbean
652494,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,5.0,White and Black African
652495,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,6.0,White and Asian
652496,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,7.0,Any other Mixed background
652497,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,8.0,Indian
652498,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,9.0,Pakistani
652499,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,10.0,Bangladeshi
652500,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,11.0,Chinese
652501,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,12.0,Any other Asian background
652502,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,13.0,African
652503,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,14.0,Caribbean
652504,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,15.0,"Other Black, African or Caribbean background"
652505,BIB,SOCIODEMO,bib_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,16.0,Any other ethnic group
652506,BIB,SOCIODEMO,bib_age_y,,,
652507,BIB,SOCIODEMO,bib_highest_qual,Highest English equivilant qualification: BiB Baseline questionnaire,1.0,<5 GCSE equivalent
652508,BIB,SOCIODEMO,bib_highest_qual,Highest English equivilant qualification: BiB Baseline questionnaire,2.0,5 GCSE equivalent
652509,BIB,SOCIODEMO,bib_highest_qual,Highest English equivilant qualification: BiB Baseline questionnaire,3.0,A-level equivalent
652510,BIB,SOCIODEMO,bib_highest_qual,Highest English equivilant qualification: BiB Baseline questionnaire,4.0,Higher than A-level
652511,BIB,SOCIODEMO,bib_highest_qual,Highest English equivilant qualification: BiB Baseline questionnaire,5.0,Other
652512,BIB,SOCIODEMO,bib_highest_qual,Highest English equivilant qualification: BiB Baseline questionnaire,6.0,Don't know
652513,BIB,SOCIODEMO,bib_highest_qual,Highest English equivilant qualification: BiB Baseline questionnaire,7.0,Foreign Unknown
652514,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,1.0,Modern professional occupations
652515,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,2.0,Clerical and intermediate occupations
652516,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,3.0,Senior managers or administrators
652517,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,4.0,Technical and craft occupations
652518,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,5.0,Semi-rountine manual and service occupations
652519,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,6.0,Rountine manual and service occupations
652520,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,7.0,Middle or junior managers
652521,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,8.0,Traditional professional occupations
652522,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,9.0,Self-employed
652523,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,10.0,Student/in training
652524,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,11.0,Does not work-long term unemployed/sick
652525,BIB,SOCIODEMO,bib_occupation_type,Occupational type: BiB Baseline Questionnaire,12.0,Don't know
652526,BIB,SOCIODEMO,bib_employment_type,Type of employment: BiB Baseline Questionnaire,1.0,Employed-Non-Manual
652527,BIB,SOCIODEMO,bib_employment_type,Type of employment: BiB Baseline Questionnaire,2.0,Employed-Manual
652528,BIB,SOCIODEMO,bib_employment_type,Type of employment: BiB Baseline Questionnaire,3.0,Self-employed
652529,BIB,SOCIODEMO,bib_employment_type,Type of employment: BiB Baseline Questionnaire,4.0,Student
652530,BIB,SOCIODEMO,bib_employment_type,Type of employment: BiB Baseline Questionnaire,5.0,Unemployed
652531,BIB,SOCIODEMO,bib_employment_type,Type of employment: BiB Baseline Questionnaire,6.0,Don't know
652532,BIB,SOCIODEMO,bib_n_employ,Number of people who worked for employer: BiB Baseline Questionnaire,1.0,1-2
652533,BIB,SOCIODEMO,bib_n_employ,Number of people who worked for employer: BiB Baseline Questionnaire,2.0,3-24
652534,BIB,SOCIODEMO,bib_n_employ,Number of people who worked for employer: BiB Baseline Questionnaire,3.0,25-499
652535,BIB,SOCIODEMO,bib_n_employ,Number of people who worked for employer: BiB Baseline Questionnaire,4.0,500+
652536,BIB,SOCIODEMO,bib_n_employee,If self-employed; number of people employed: BiB Baseline Questionnaire,1.0,1-2
652537,BIB,SOCIODEMO,bib_n_employee,If self-employed; number of people employed: BiB Baseline Questionnaire,2.0,3-24
652538,BIB,SOCIODEMO,bib_n_employee,If self-employed; number of people employed: BiB Baseline Questionnaire,3.0,25-499
652539,BIB,SOCIODEMO,bib_n_employee,If self-employed; number of people employed: BiB Baseline Questionnaire,4.0,500+
652540,BIB,SOCIODEMO,bib_supervise,Supervise other employees: BiB Baseline Questionnaire,1.0,Manager
652541,BIB,SOCIODEMO,bib_supervise,Supervise other employees: BiB Baseline Questionnaire,2.0,Supervisor
652542,BIB,SOCIODEMO,bib_supervise,Supervise other employees: BiB Baseline Questionnaire,3.0,Other employee
652543,BIB,SOCIODEMO,bib_emp_status,Is respondent in employment: BiB Baseline questionnaire,1.0, Yes
652544,BIB,SOCIODEMO,bib_emp_status,Is respondent in employment: BiB Baseline questionnaire,2.0,No
652545,BIB,SOCIODEMO,bib_occupation,Current occupation: BiB Baseline Questionnaire,,
652546,BIB,SOCIODEMO,bib_finance_current,Current financial circumstances: BiB Baseline questionnaire,1.0,Living comfortably
652547,BIB,SOCIODEMO,bib_finance_current,Current financial circumstances: BiB Baseline questionnaire,2.0,Doing alright
652548,BIB,SOCIODEMO,bib_finance_current,Current financial circumstances: BiB Baseline questionnaire,3.0,Just about getting by
652549,BIB,SOCIODEMO,bib_finance_current,Current financial circumstances: BiB Baseline questionnaire,4.0,Quite difficult
652550,BIB,SOCIODEMO,bib_finance_current,Current financial circumstances: BiB Baseline questionnaire,5.0,Very difficult
652551,BIB,SOCIODEMO,bib_finance_current,Current financial circumstances: BiB Baseline questionnaire,6.0,Does not wish to answer
652552,BIB,SOCIODEMO,bib_finance_change,Financial circumstances compared to a year ago: BiB Baseline questionnaire,1.0,Better off
652553,BIB,SOCIODEMO,bib_finance_change,Financial circumstances compared to a year ago: BiB Baseline questionnaire,2.0,Worse off
652554,BIB,SOCIODEMO,bib_finance_change,Financial circumstances compared to a year ago: BiB Baseline questionnaire,3.0,About the same
652555,BIB,SOCIODEMO,bib_finance_change,Financial circumstances compared to a year ago: BiB Baseline questionnaire,4.0,Does not wish to answer
652556,BIB,SOCIODEMO,bib_tenure,Current tenure: BiB Baseline questionnaire,1.0,Owns outright
652557,BIB,SOCIODEMO,bib_tenure,Current tenure: BiB Baseline questionnaire,2.0,Mortgage
652558,BIB,SOCIODEMO,bib_tenure,Current tenure: BiB Baseline questionnaire,3.0,Rent free
652559,BIB,SOCIODEMO,bib_tenure,Current tenure: BiB Baseline questionnaire,4.0,Private landlord
652560,BIB,SOCIODEMO,bib_tenure,Current tenure: BiB Baseline questionnaire,5.0,Social housing
652561,BIB,SOCIODEMO,bib_tenure,Current tenure: BiB Baseline questionnaire,6.0,Other
652562,BIB,SOCIODEMO,bib_tenure,Current tenure: BiB Baseline questionnaire,7.0,DonÂ’t know
652563,BIB,SOCIODEMO,bib_occ_count,Total number of members in household: BiB Baseline questionnaire,,
652564,BIB,SOCIODEMO,bib_child_count,Number of children under 16 in household: BiB Baseline questionnaire,,
652565,BIB,SOCIODEMO,bib_bedroom_count,Number of bedrooms: BiB Baseline questionnaire,,
652566,BIB,SOCIODEMO,bib_partnership_status,Partnership status: BiB Baseline questionnaire,1.0,Married and living with partner
652567,BIB,SOCIODEMO,bib_partnership_status,Partnership status: BiB Baseline questionnaire,2.0,Not married and living with partner
652568,BIB,SOCIODEMO,bib_partnership_status,Partnership status: BiB Baseline questionnaire,3.0,Not living with partner
652569,BIB,SOCIODEMO,bib_gu_timestamp,Date questionnaire completed,,
652570,BIB,SOCIODEMO,bib_gu_age_y,Age at date of consent: BiB Growing Up questionnaire,,
652571,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,1.0,Modern professional
652572,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,2.0,Clerical and intermediate
652573,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,3.0,Senior managers/administrators
652574,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,4.0,Technical and craft
652575,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,5.0,Semi-routine manual
652576,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,6.0,Routine manual and service
652577,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,7.0,Middle/junior managers
652578,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,8.0,Traditional professional
652579,BIB,SOCIODEMO,bib_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,9.0,Other
652580,BIB,SOCIODEMO,bib_gu_employment_type,Type of employment: BiB Growing Up,1.0,Employee
